"Site","Date","DataType","Block","Plot","Subplot","Subsubplot","N","P","Micro","K+","Group","ANPPg_0.1m2"
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,3,"A",3,0,0,0,0,"Dead graminoid",2.23
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,3,"A",3,0,0,0,0,"Forb",3.71
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,3,"A",3,0,0,0,0,"Graminoid",2.89
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,3,"A",3,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,5,"A",3,0,0,0,0,"Dead graminoid",6.12
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,5,"A",3,0,0,0,0,"Forb",3.12
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,5,"A",3,0,0,0,0,"Graminoid",8.28
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,5,"A",3,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,7,"A",3,0,0,0,0,"Dead graminoid",3.27
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,7,"A",3,0,0,0,0,"Forb",7.57
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,7,"A",3,0,0,0,0,"Graminoid",4.34
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,7,"A",3,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,9,"A",3,0,0,0,0,"Dead graminoid",2.95
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,9,"A",3,0,0,0,0,"Forb",7.57
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,9,"A",3,0,0,0,0,"Graminoid",10.76
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,9,"A",3,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,1,"B",1,0,0,0,0,"Dead graminoid",3.71
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,1,"B",1,0,0,0,0,"Forb",5.63
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,1,"B",1,0,0,0,0,"Graminoid",3.69
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,1,"B",1,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,4,"A",2,0,0,0,0,"Dead graminoid",4.27
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,4,"A",2,0,0,0,0,"Forb",14.97
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,4,"A",2,0,0,0,0,"Graminoid",3.47
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,4,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,5,"A",2,0,0,0,0,"Dead graminoid",1.82
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,5,"A",2,0,0,0,0,"Forb",10.03
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,5,"A",2,0,0,0,0,"Graminoid",1.92
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,5,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,7,"A",2,0,0,0,0,"Dead graminoid",2.11
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,7,"A",2,0,0,0,0,"Forb",4.97
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,7,"A",2,0,0,0,0,"Graminoid",1.97
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,7,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,9,"B",1,0,0,0,0,"Dead graminoid",3.11
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,9,"B",1,0,0,0,0,"Forb",7.81
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,9,"B",1,0,0,0,0,"Graminoid",2.89
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,9,"B",1,0,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,1,NA,NA,0,0,0,0,"Forb",8.432
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,1,NA,NA,0,0,0,0,"Graminoid",6.937
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,1,NA,NA,0,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,2,NA,NA,0,0,1,0,"Forb",2.083
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,2,NA,NA,0,0,1,0,"Graminoid",10.596
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,2,NA,NA,0,0,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,3,NA,NA,0,1,0,0,"Forb",8.303
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,3,NA,NA,0,1,0,0,"Graminoid",8.075
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,3,NA,NA,0,1,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,4,NA,NA,1,0,0,0,"Forb",9.681
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,4,NA,NA,1,0,0,0,"Graminoid",15.827
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,4,NA,NA,1,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,5,NA,NA,0,1,1,0,"Forb",11.923
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,5,NA,NA,0,1,1,0,"Graminoid",3.712
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,5,NA,NA,0,1,1,0,"Legume",0.841
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,6,NA,NA,1,0,1,0,"Forb",13.75
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,6,NA,NA,1,0,1,0,"Graminoid",6.428
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,6,NA,NA,1,0,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,7,NA,NA,1,1,0,0,"Forb",21.359
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,7,NA,NA,1,1,0,0,"Graminoid",21.041
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,7,NA,NA,1,1,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,8,NA,NA,1,1,1,0,"Forb",12.642
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,8,NA,NA,1,1,1,0,"Graminoid",20.329
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,8,NA,NA,1,1,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,9,NA,NA,0,0,0,0,"Forb",7.183
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,9,NA,NA,0,0,0,0,"Graminoid",10.221
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,9,NA,NA,0,0,0,0,"Legume",0.153
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,10,NA,NA,1,1,1,0,"Forb",11.298
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,10,NA,NA,1,1,1,0,"Graminoid",15.914
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",1,10,NA,NA,1,1,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,1,NA,NA,0,0,0,0,"Forb",4.03
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,1,NA,NA,0,0,0,0,"Graminoid",8.426
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,1,NA,NA,0,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,2,NA,NA,0,0,1,0,"Forb",12.785
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,2,NA,NA,0,0,1,0,"Graminoid",7.96
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,2,NA,NA,0,0,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,3,NA,NA,0,1,0,0,"Forb",6.382
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,3,NA,NA,0,1,0,0,"Graminoid",5.918
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,3,NA,NA,0,1,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,4,NA,NA,1,0,0,0,"Forb",9.341
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,4,NA,NA,1,0,0,0,"Graminoid",14.205
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,4,NA,NA,1,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,5,NA,NA,0,1,1,0,"Forb",8.566
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,5,NA,NA,0,1,1,0,"Graminoid",7.736
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,5,NA,NA,0,1,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,6,NA,NA,1,0,1,0,"Forb",8.631
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,6,NA,NA,1,0,1,0,"Graminoid",10.11
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,6,NA,NA,1,0,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,7,NA,NA,1,1,0,0,"Forb",3.968
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,7,NA,NA,1,1,0,0,"Graminoid",30.991
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,7,NA,NA,1,1,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,8,NA,NA,1,1,1,0,"Forb",17.572
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,8,NA,NA,1,1,1,0,"Graminoid",17.028
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,8,NA,NA,1,1,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,9,NA,NA,0,0,0,0,"Forb",4.411
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,9,NA,NA,0,0,0,0,"Graminoid",16.702
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,9,NA,NA,0,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,10,NA,NA,1,1,1,0,"Forb",10.134
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,10,NA,NA,1,1,1,0,"Graminoid",18.507
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",2,10,NA,NA,1,1,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,1,NA,NA,0,0,0,0,"Forb",2.37
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,1,NA,NA,0,0,0,0,"Graminoid",4.496
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,1,NA,NA,0,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,2,NA,NA,0,0,1,0,"Forb",3.295
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,2,NA,NA,0,0,1,0,"Graminoid",7.611
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,2,NA,NA,0,0,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,3,NA,NA,0,1,0,0,"Forb",3.038
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,3,NA,NA,0,1,0,0,"Graminoid",7.38
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,3,NA,NA,0,1,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,4,NA,NA,1,0,0,0,"Forb",3.145
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,4,NA,NA,1,0,0,0,"Graminoid",15.075
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,4,NA,NA,1,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,5,NA,NA,0,1,1,0,"Forb",7.976
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,5,NA,NA,0,1,1,0,"Graminoid",10.759
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,5,NA,NA,0,1,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,6,NA,NA,1,0,1,0,"Forb",3.582
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,6,NA,NA,1,0,1,0,"Graminoid",11.229
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,6,NA,NA,1,0,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,7,NA,NA,1,1,0,0,"Forb",12.345
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,7,NA,NA,1,1,0,0,"Graminoid",14.791
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,7,NA,NA,1,1,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,8,NA,NA,1,1,1,0,"Forb",11.772
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,8,NA,NA,1,1,1,0,"Graminoid",10.318
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,8,NA,NA,1,1,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,9,NA,NA,0,0,0,0,"Forb",4.244
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,9,NA,NA,0,0,0,0,"Graminoid",6.753
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,9,NA,NA,0,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,10,NA,NA,1,1,1,0,"Forb",9.753
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,10,NA,NA,1,1,1,0,"Graminoid",20.515
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",3,10,NA,NA,1,1,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,1,NA,NA,0,0,0,0,"Forb",6.892
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,1,NA,NA,0,0,0,0,"Graminoid",5.511
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,1,NA,NA,0,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,2,NA,NA,0,0,1,0,"Forb",5.183
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,2,NA,NA,0,0,1,0,"Graminoid",6.757
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,2,NA,NA,0,0,1,0,"Legume",2.267
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,3,NA,NA,0,1,0,0,"Forb",10.522
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,3,NA,NA,0,1,0,0,"Graminoid",6.826
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,3,NA,NA,0,1,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,4,NA,NA,1,0,0,0,"Forb",5.12
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,4,NA,NA,1,0,0,0,"Graminoid",11.577
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,4,NA,NA,1,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,5,NA,NA,0,1,1,0,"Forb",2.524
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,5,NA,NA,0,1,1,0,"Graminoid",9.37
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,5,NA,NA,0,1,1,0,"Legume",0.501
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,6,NA,NA,1,0,1,0,"Forb",11.48
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,6,NA,NA,1,0,1,0,"Graminoid",6.82
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,6,NA,NA,1,0,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,7,NA,NA,1,1,0,0,"Forb",13.136
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,7,NA,NA,1,1,0,0,"Graminoid",18.155
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,7,NA,NA,1,1,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,8,NA,NA,1,1,1,0,"Forb",18.92
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,8,NA,NA,1,1,1,0,"Graminoid",37.53
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,8,NA,NA,1,1,1,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,9,NA,NA,0,0,0,0,"Forb",3.768
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,9,NA,NA,0,0,0,0,"Graminoid",5.939
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,9,NA,NA,0,0,0,0,"Legume",0
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,10,NA,NA,1,1,1,0,"Forb",16.912
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,10,NA,NA,1,1,1,0,"Graminoid",12.764
"NWT NutNet",2013-08-02,"Post-treatment (Experimental)",4,10,NA,NA,1,1,1,0,"Legume",0
