year,month,frosts0,frostsneg3
1995,5,30,22
1996,5,21,5
1997,5,24,13
1998,5,20,15
1999,5,25,14
2000,5,15,11
2001,5,17,11
2002,5,21,15
2003,5,16,15
2004,5,21,13
2005,5,23,16
2006,5,19,11
2007,5,22,13
2008,5,26,18
2009,5,24,15
2010,5,30,22
2011,5,27,23
2012,5,24,16
2013,5,21,17
2014,5,17,11
2015,5,29,13
2016,5,26,14
2017,5,23,15
2018,5,12,6
1982,6,24,9
1983,6,16,8
1984,6,11,8
1985,6,12,2
1986,6,13,2
1987,6,2,0
1988,6,1,1
1989,6,17,1
1990,6,3,2
1991,6,7,0
1992,6,8,1
1993,6,9,4
1994,6,1,0
1995,6,12,1
1996,6,4,0
1997,6,5,0
1998,6,14,6
1999,6,7,2
2000,6,5,1
2001,6,5,3
2002,6,4,0
2003,6,7,1
2004,6,12,5
2005,6,10,4
2006,6,4,0
2007,6,6,3
2008,6,11,5
2009,6,10,0
2010,6,7,0
2011,6,7,0
2012,6,1,0
2013,6,3,1
2014,6,6,2
2015,6,0,0
2016,6,2,0
2017,6,1,0
2018,6,1,0
1982,7,2,0
1983,7,1,0
1984,7,0,0
1985,7,0,0
1986,7,1,0
1987,7,0,0
1988,7,1,0
1989,7,0,0
1990,7,0,0
1991,7,0,0
1992,7,1,0
1993,7,3,0
1994,7,2,1
1995,7,2,0
1996,7,0,0
1997,7,1,0
1998,7,0,0
1999,7,0,0
2000,7,0,0
2001,7,0,0
2002,7,0,0
2003,7,0,0
2004,7,0,0
2005,7,0,0
2006,7,0,0
2007,7,0,0
2008,7,0,0
2009,7,1,0
2010,7,1,0
2011,7,0,0
2012,7,0,0
2013,7,0,0
2014,7,1,0
2015,7,0,0
2016,7,0,0
2017,7,0,0
2018,7,0,0
1982,8,0,0
1983,8,0,0
1984,8,0,0
1985,8,3,1
1986,8,0,0
1987,8,0,0
1988,8,0,0
1989,8,0,0
1990,8,0,0
1991,8,0,0
1992,8,1,0
1993,8,1,0
1994,8,0,0
1995,8,0,0
1996,8,0,0
1997,8,0,0
1998,8,0,0
1999,8,0,0
2000,8,0,0
2001,8,0,0
2002,8,0,0
2003,8,0,0
2004,8,2,0
2005,8,0,0
2006,8,0,0
2007,8,0,0
2008,8,3,0
2009,8,0,0
2010,8,0,0
2011,8,0,0
2012,8,0,0
2013,8,0,0
2014,8,0,0
2015,8,2,0
2016,8,0,0
2017,8,0,0
2018,8,0,0
1982,9,11,2
1983,9,13,7
1984,9,14,4
1985,9,14,9
1986,9,15,9
1987,9,13,8
1988,9,11,2
1989,9,15,8
1990,9,12,4
1991,9,6,0
1992,9,11,6
1993,9,7,2
1994,9,17,5
1995,9,11,3
1996,9,8,7
1997,9,9,9
1998,9,7,0
1999,9,3,0
2000,9,14,4
2001,9,6,4
2002,9,6,3
2003,9,13,4
2004,9,14,7
2005,9,14,8
2006,9,5,1
2007,9,15,8
2008,9,8,5
2009,9,12,1
2010,9,12,6
2011,9,8,0
2012,9,13,0
2013,9,12,1
2014,9,8,3
2015,9,4,4
2016,9,2,0
2017,9,7,3
2018,9,10,3
1982,10,30,28
1983,10,31,26
1984,10,31,27
1985,10,31,31
1986,10,31,26
1987,10,31,27
1988,10,26,19
1989,10,29,6
1990,10,28,23
1991,10,28,22
1992,10,26,15
1993,10,23,13
1994,10,27,24
1995,10,30,27
1996,10,29,23
1997,10,22,16
1998,10,25,19
1999,10,30,20
2000,10,24,18
2001,10,27,23
2002,10,27,19
2003,10,31,27
2004,10,22,13
2005,10,31,25
2006,10,27,19
2007,10,26,23
2008,10,28,17
2009,10,29,19
2010,10,31,29
2011,10,28,18
2012,10,24,21
2013,10,24,18
2014,10,27,20
2015,10,20,10
2016,10,18,8
2017,10,15,10
2018,10,26,21
1982,11,30,27
1983,11,30,30
1984,11,30,30
1985,11,30,30
1986,11,30,30
1987,11,30,30
1988,11,29,28
1989,11,30,29
1990,11,29,26
1991,11,29,28
1992,11,30,30
1993,11,30,30
1994,11,30,30
1995,11,30,29
1996,11,30,30
1997,11,30,27
1998,11,30,29
1999,11,30,29
2000,11,27,17
2001,11,30,30
2002,11,30,27
2003,11,30,30
2004,11,30,30
2005,11,30,28
2006,11,29,27
2007,11,29,25
2008,11,30,26
2009,11,30,27
2010,11,30,26
2011,11,30,29
2012,11,30,30
2013,11,30,26
2014,11,30,29
2015,11,29,26
2016,11,28,27
2017,11,29,19
2018,11,30,22
1982,12,31,31
1983,12,31,31
1984,12,31,31
1985,12,31,31
1986,12,31,31
1987,12,31,31
1988,12,31,30
1989,12,31,31
1990,12,31,31
1991,12,31,31
1992,12,31,31
1993,12,31,31
1994,12,31,31
1995,12,31,31
1996,12,31,31
1997,12,31,31
1998,12,31,31
1999,12,31,31
2000,12,31,31
2001,12,31,31
2002,12,31,31
2003,12,31,31
2004,12,31,31
2005,12,31,31
2006,12,31,31
2007,12,31,31
2008,12,31,31
2009,12,31,31
2010,12,31,31
2011,12,31,31
2012,12,31,31
2013,12,31,31
2014,12,31,31
2015,12,31,28
2016,12,31,31
2017,12,31,31
2018,12,31,31
