"LTER_site","local_site","year","date","precip","winter_adjusted","flag_1","flag_2","source_station","pvalue","rsquared","num_obs_in_regression_equation","regression_equation","raw_ppt_tot","raw_qdays","raw_flag_ppt_tot"
"NWT","SDL",1981,1981-08-17,3.21,3.21,"D","B","D1 Belfort Shielded",8.0742381834373e-20,0.588390294788501,96,"y = 0.736905072097641x + 0.321194691022451",15,7,NA
"NWT","SDL",1981,1981-08-18,3,3,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-08-19,2,2,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-08-20,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-08-21,11,11,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,11,1,NA
"NWT","SDL",1981,1981-08-22,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-08-23,3,3,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-08-24,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-08-25,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-08-26,3,3,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-08-27,5,5,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,5,1,NA
"NWT","SDL",1981,1981-08-28,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-08-29,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-08-30,2,2,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-08-31,6,6,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,6,1,NA
"NWT","SDL",1981,1981-09-01,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-02,15,15,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,15,1,NA
"NWT","SDL",1981,1981-09-03,4,4,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,4,1,NA
"NWT","SDL",1981,1981-09-04,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-05,11,11,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,11,1,NA
"NWT","SDL",1981,1981-09-06,4,4,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,4,1,NA
"NWT","SDL",1981,1981-09-07,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-08,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-09-09,2,2,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-09-10,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-09-11,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-09-12,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-13,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-14,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-15,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-16,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-17,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-18,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-19,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-20,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-09-21,5,5,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,5,1,NA
"NWT","SDL",1981,1981-09-22,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-23,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-24,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-09-25,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-26,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-09-27,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-28,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-29,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-09-30,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-10-01,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-10-02,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-10-03,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-10-04,1,0.39,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-10-05,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-10-06,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-10-07,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-10-08,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-10-09,1,0.39,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-10-10,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-10-11,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-10-12,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-10-13,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-10-14,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-10-15,8,3.12,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,8,1,NA
"NWT","SDL",1981,1981-10-16,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-10-17,5,1.95,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,5,1,NA
"NWT","SDL",1981,1981-10-18,1,0.39,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-10-19,0,0,"D","B","D1 Belfort Shielded",8.36705118930007e-08,0.300008776125935,83,"y = 0.620878574423221x + 0.666714674872996",NA,NA,NA
"NWT","SDL",1981,1981-10-20,0,0,"B","B","C1 Belfort Shielded",5.26917467935569e-05,0.756648417330966,14,"y = 0.79461524990298x + 0.282715347638651",NA,NA,NA
"NWT","SDL",1981,1981-10-21,0,0,"B","B","C1 Belfort Shielded",5.26917467935569e-05,0.756648417330966,14,"y = 0.79461524990298x + 0.282715347638651",NA,NA,NA
"NWT","SDL",1981,1981-10-22,0,0,"B","B","C1 Belfort Shielded",5.26917467935569e-05,0.756648417330966,14,"y = 0.79461524990298x + 0.282715347638651",NA,NA,NA
"NWT","SDL",1981,1981-10-23,0,0,"B","B","C1 Belfort Shielded",5.26917467935569e-05,0.756648417330966,14,"y = 0.79461524990298x + 0.282715347638651",NA,NA,NA
"NWT","SDL",1981,1981-10-24,12.08,4.71,"B","B","C1 Belfort Shielded",1.86871413714875e-05,0.767166543745153,15,"y = 0.836590638393491x + 0.283388492003464",NA,NA,NA
"NWT","SDL",1981,1981-10-25,1.92,0.75,"B","B","C1 Belfort Shielded",4.39858322457895e-06,0.788469488816896,16,"y = 0.839912568478157x + 0.282635013447303",NA,NA,NA
"NWT","SDL",1981,1981-10-26,0,0,"B","B","C1 Belfort Shielded",4.39858322457895e-06,0.788469488816896,16,"y = 0.839912568478157x + 0.282635013447303",14,8,NA
"NWT","SDL",1981,1981-10-27,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-10-28,1,0.39,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-10-29,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-10-30,9,3.51,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,9,1,NA
"NWT","SDL",1981,1981-10-31,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-01,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-02,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-03,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-04,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-05,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-06,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-07,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-11-08,1,0.39,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-11-09,1,0.39,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-11-10,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-11,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-12,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-13,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-14,1,0.39,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-11-15,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-11-16,1,0.39,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-11-17,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-18,7,2.73,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,7,1,NA
"NWT","SDL",1981,1981-11-19,1,0.39,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-11-20,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-11-21,5,1.95,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,5,1,NA
"NWT","SDL",1981,1981-11-22,8,3.12,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,8,1,NA
"NWT","SDL",1981,1981-11-23,7,2.73,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,7,1,NA
"NWT","SDL",1981,1981-11-24,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-25,4,1.56,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,4,1,NA
"NWT","SDL",1981,1981-11-26,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-11-27,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-11-28,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-11-29,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-11-30,10,3.9,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,10,1,NA
"NWT","SDL",1981,1981-12-01,24,9.36,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,24,1,NA
"NWT","SDL",1981,1981-12-02,20,7.8,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,20,1,NA
"NWT","SDL",1981,1981-12-03,4,1.56,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,4,1,NA
"NWT","SDL",1981,1981-12-04,8,3.12,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,8,1,NA
"NWT","SDL",1981,1981-12-05,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-12-06,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-12-07,4,1.56,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,4,1,NA
"NWT","SDL",1981,1981-12-08,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-12-09,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-12-10,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-12-11,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-12-12,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-12-13,4,1.56,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,4,1,NA
"NWT","SDL",1981,1981-12-14,14,5.46,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,14,1,NA
"NWT","SDL",1981,1981-12-15,17,6.63,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,17,1,NA
"NWT","SDL",1981,1981-12-16,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-12-17,10,3.9,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,10,1,NA
"NWT","SDL",1981,1981-12-18,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-12-19,11,4.29,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,11,1,NA
"NWT","SDL",1981,1981-12-20,14.87,5.8,"B","B","D1 Belfort Shielded",0.00175547645184629,0.22444125402477,41,"y = 0.402995471770686x + 1.32860462354051",NA,NA,NA
"NWT","SDL",1981,1981-12-21,10.13,3.95,"B","B","D1 Belfort Shielded",0.00251796508994803,0.215973530028371,40,"y = 0.392810530593853x + 1.35506731331741",25,2,NA
"NWT","SDL",1981,1981-12-22,9,3.51,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,9,1,NA
"NWT","SDL",1981,1981-12-23,6,2.34,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,6,1,NA
"NWT","SDL",1981,1981-12-24,11,4.29,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,11,1,NA
"NWT","SDL",1981,1981-12-25,9,3.51,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,9,1,NA
"NWT","SDL",1981,1981-12-26,7,2.73,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,7,1,NA
"NWT","SDL",1981,1981-12-27,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-12-28,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-12-29,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1981,1981-12-30,10,3.9,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,10,1,NA
"NWT","SDL",1981,1981-12-31,5,1.95,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,5,1,NA
"NWT","SDL",1982,1982-01-01,5,1.95,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,5,1,NA
"NWT","SDL",1982,1982-01-02,6,2.34,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,6,1,NA
"NWT","SDL",1982,1982-01-03,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1982,1982-01-04,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1982,1982-01-05,9,3.51,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,9,1,NA
"NWT","SDL",1982,1982-01-06,7,2.73,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,7,1,NA
"NWT","SDL",1982,1982-01-07,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1982,1982-01-08,35,13.65,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,35,1,NA
"NWT","SDL",1982,1982-01-09,13,5.07,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,13,1,NA
"NWT","SDL",1982,1982-01-10,5,1.95,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,5,1,NA
"NWT","SDL",1982,1982-01-11,6,2.34,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,6,1,NA
"NWT","SDL",1982,1982-01-12,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1982,1982-01-13,13,5.07,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,13,1,NA
"NWT","SDL",1982,1982-01-14,12,4.68,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,12,1,NA
"NWT","SDL",1982,1982-01-15,20,7.8,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,20,1,NA
"NWT","SDL",1982,1982-01-16,15,5.85,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,15,1,NA
"NWT","SDL",1982,1982-01-17,14,5.46,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,14,1,NA
"NWT","SDL",1982,1982-01-18,7.07,2.76,"B","A","D1 Belfort Shielded",0.00592757435815292,0.265703836473463,27,"y = 0.448396966949744x + 1.33469340840415",8,1,1
"NWT","SDL",1982,1982-01-19,7.63,2.98,"B","A","D1 Belfort Shielded",0.00624979277822703,0.262843878435989,27,"y = 0.444796251003283x + 1.31636331164882",7,1,1
"NWT","SDL",1982,1982-01-20,7.92,3.09,"B","A","D1 Belfort Shielded",0.0130063408495445,0.214747756252997,28,"y = 0.419137100897728x + 1.39464070152879",13,1,1
"NWT","SDL",1982,1982-01-21,5.39,2.1,"B","A","D1 Belfort Shielded",0.0130063408495445,0.214747756252997,28,"y = 0.419137100897728x + 1.39464070152879",4,1,1
"NWT","SDL",1982,1982-01-22,13.48,5.26,"B","A","D1 Belfort Shielded",0.00612785025722768,0.255023630643262,28,"y = 0.469135407514785x + 1.30034662335432",36,1,1
"NWT","SDL",1982,1982-01-23,0,0,"C","A","University Camp Snotel (838)",0.104301624532713,0.156386092737029,18,"y = 0.370594718232168x + 0.950772700843618",41,1,1
"NWT","SDL",1982,1982-01-24,8.22,3.2,"B","A","University Camp Snotel (838)",0.0365253830322551,0.260001567890054,17,"y = 0.48641070618384x + 0.649030086749046",19,1,1
"NWT","SDL",1982,1982-01-25,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1982,1982-01-26,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1982,1982-01-27,6,2.34,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,6,1,NA
"NWT","SDL",1982,1982-01-28,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1982,1982-01-29,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1982,1982-01-30,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1982,1982-01-31,6,2.34,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,6,1,NA
"NWT","SDL",1982,1982-02-01,1.57,0.61,"B","B","D1 Belfort Shielded",0.0120834894628026,0.226569372512565,27,"y = 0.501579672205362x + 0.934823317640226",NA,NA,NA
"NWT","SDL",1982,1982-02-02,1.1,0.43,"B","B","D1 Belfort Shielded",0.0110533933437509,0.231540005068484,27,"y = 0.506045938079668x + 0.925814816050075",NA,NA,NA
"NWT","SDL",1982,1982-02-03,1.54,0.6,"B","B","D1 Belfort Shielded",0.0132670821252464,0.221334770826054,27,"y = 0.506684745341904x + 0.912059364255365",NA,NA,NA
"NWT","SDL",1982,1982-02-04,2.44,0.95,"D","B","D1 Belfort Shielded",1.12274323130896e-08,0.228844830827968,128,"y = 0.507557779808668x + 1.16632618987883",NA,NA,NA
"NWT","SDL",1982,1982-02-05,2.08,0.81,"B","B","D1 Belfort Shielded",0.00768791789862239,0.25157757325286,27,"y = 0.570728684553797x + 0.750801246583569",NA,NA,NA
"NWT","SDL",1982,1982-02-06,0,0,"B","B","D1 Belfort Shielded",0.00253484856683129,0.310466522677854,27,"y = 0.654686566456984x + 0.596715742531537",NA,NA,NA
"NWT","SDL",1982,1982-02-07,0,0,"B","B","D1 Belfort Shielded",0.0026134542639569,0.308895130587266,27,"y = 0.65696359218579x + 0.634341692014584",NA,NA,NA
"NWT","SDL",1982,1982-02-08,1.27,0.5,"B","B","D1 Belfort Shielded",0.00306504751426751,0.300647244591159,27,"y = 0.600727480178664x + 0.656779819780809",10,8,NA
"NWT","SDL",1982,1982-02-09,7.02,2.74,"B","B","D1 Belfort Shielded",0.00195420863326541,0.313299277271454,28,"y = 0.63317393094739x + 0.576538054174196",NA,NA,NA
"NWT","SDL",1982,1982-02-10,9.09,3.54,"B","B","D1 Belfort Shielded",0.00152662946450241,0.315323826822424,29,"y = 0.630787148752716x + 0.58244069106919",NA,NA,NA
"NWT","SDL",1982,1982-02-11,0,0,"B","B","C1 Belfort Shielded",0.0450346764876418,0.24169892178601,17,"y = 0.515313873049992x + 1.2911249054517",NA,NA,NA
"NWT","SDL",1982,1982-02-12,0,0,"B","B","D1 Belfort Shielded",0.00345641948285306,0.275589675868658,29,"y = 0.635694017526398x + 0.713619816252383",NA,NA,NA
"NWT","SDL",1982,1982-02-13,0,0,"B","B","C1 Belfort Shielded",0.0150933267519477,0.353746965199898,16,"y = 0.630915173362283x + 1.09951989053554",NA,NA,NA
"NWT","SDL",1982,1982-02-14,0,0,"B","B","C1 Belfort Shielded",0.0195990453556541,0.331505739684108,16,"y = 0.656765385993681x + 0.935813798963269",NA,NA,NA
"NWT","SDL",1982,1982-02-15,3.9,1.52,"B","B","C1 Belfort Shielded",0.016376842662008,0.368646545245165,15,"y = 0.636056749030469x + 0.865910793124322",20,7,NA
"NWT","SDL",1982,1982-02-16,3,1.17,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,3,1,NA
"NWT","SDL",1982,1982-02-17,4,1.56,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,4,1,NA
"NWT","SDL",1982,1982-02-18,21,8.19,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,21,1,NA
"NWT","SDL",1982,1982-02-19,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1982,1982-02-20,4,1.56,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,4,1,NA
"NWT","SDL",1982,1982-02-21,2,0.78,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1982,1982-02-22,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1982,1982-02-23,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
