siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,endDate
CO02,4,1987,75,100,98,.201,.026,.015,.079,.035,.310,.078,.254,5.654,3.774,2344.000,6.351,3,28,"Mar 31 1987 12:00AM","Apr 28 1987 12:00AM"
CO02,5,1987,100,100,100,.119,.020,.014,.037,.202,1.013,.066,.875,4.891,9.643,4524.000,10.770,5,35,"Apr 28 1987 12:00AM","Jun  2 1987 12:00AM"
CO02,6,1987,100,100,100,.102,.014,.026,.035,.073,.633,.060,.449,5.093,5.742,2537.100,4.547,4,28,"Jun  2 1987 12:00AM","Jun 30 1987 12:00AM"
CO02,7,1987,100,100,100,.196,.023,.016,.076,.198,1.371,.088,1.021,4.745,12.314,4489.500,7.162,4,35,"Jun 30 1987 12:00AM","Aug  4 1987 12:00AM"
CO02,8,1987,100,100,100,.111,.019,.011,.097,.087,.628,.087,.452,5.411,4.824,1023.700,3.505,4,28,"Aug  4 1987 12:00AM","Sep  1 1987 12:00AM"
CO02,9,1987,100,100,100,.258,.032,.024,.092,.213,1.350,.120,.854,5.118,8.932,1521.700,2.134,3,28,"Sep  1 1987 12:00AM","Sep 29 1987 12:00AM"
CO02,1,1988,20,100,39,.090,.011,.014,.054,.010,.650,.070,.310,5.000,6.700,108.300,22.555,1,35,"Dec 29 1987 12:00AM","Feb  2 1988 12:00AM"
CO02,10,1988,100,100,100,.162,.023,.015,.077,.018,.854,.109,.617,5.151,7.063,1041.500,1.537,3,28,"Oct  4 1988 12:00AM","Nov  1 1988 12:00AM"
CO02,11,1988,100,100,100,.083,.014,.015,.072,.061,.356,.048,.440,5.335,4.141,1605.000,19.922,4,28,"Nov  1 1988 12:00AM","Nov 29 1988 12:00AM"
CO02,12,1988,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,24.232,0,35,"Nov 29 1988 12:00AM","Jan  3 1989 12:00AM"
CO02,2,1988,25,100,49,.080,.010,.005,.038,.010,.330,.050,.290,5.270,3.400,2264.700,21.133,1,28,"Feb  2 1988 12:00AM","Mar  1 1988 12:00AM"
CO02,3,1988,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,28.401,0,28,"Mar  1 1988 12:00AM","Mar 29 1988 12:00AM"
CO02,4,1988,80,100,78,.498,.050,.031,.174,.081,.662,.132,.827,5.675,6.894,2599.800,24.344,4,35,"Mar 29 1988 12:00AM","May  3 1988 12:00AM"
CO02,5,1988,75,100,32,.050,.012,.010,.028,.050,.470,.040,.440,5.070,5.300,2444.700,14.529,1,28,"May  3 1988 12:00AM","May 31 1988 12:00AM"
CO02,6,1988,25,100,18,.230,.037,.124,.128,.010,.015,.100,1.750,4.540,19.000,621.500,3.962,1,28,"May 31 1988 12:00AM","Jun 28 1988 12:00AM"
CO02,7,1988,40,100,57,.308,.046,.070,.112,.034,2.100,.168,1.745,4.556,19.556,1811.300,4.088,2,35,"Jun 28 1988 12:00AM","Aug  2 1988 12:00AM"
CO02,8,1988,100,100,100,.352,.049,.090,.096,.204,1.608,.153,1.269,5.042,11.563,1479.800,1.689,3,28,"Aug  2 1988 12:00AM","Aug 30 1988 12:00AM"
CO02,9,1988,100,100,100,.180,.025,.023,.080,.129,.480,.082,.676,4.984,8.692,2041.200,2.985,4,35,"Aug 30 1988 12:00AM","Oct  4 1988 12:00AM"
CO02,1,1989,25,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,10.871,0,28,"Jan  3 1989 12:00AM","Jan 31 1989 12:00AM"
CO02,10,1989,100,100,100,.147,.023,.056,.170,.596,.563,.133,.502,5.961,6.302,1350.200,7.226,3,28,"Oct  3 1989 12:00AM","Oct 31 1989 12:00AM"
CO02,11,1989,100,100,100,.262,.042,.045,.126,.061,.839,.130,.590,5.799,6.071,1365.800,28.804,4,28,"Oct 31 1989 12:00AM","Nov 28 1989 12:00AM"
CO02,12,1989,100,100,100,.114,.031,.067,.165,.207,.794,.246,.476,5.490,8.489,3444.800,32.817,5,35,"Nov 28 1989 12:00AM","Jan  2 1990 12:00AM"
CO02,2,1989,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,18.492,0,28,"Jan 31 1989 12:00AM","Feb 28 1989 12:00AM"
CO02,3,1989,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,14.808,0,35,"Feb 28 1989 12:00AM","Apr  4 1989 12:00AM"
CO02,4,1989,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,15.062,0,28,"Apr  4 1989 12:00AM","May  2 1989 12:00AM"
CO02,5,1989,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,6.325,0,28,"May  2 1989 12:00AM","May 30 1989 12:00AM"
CO02,6,1989,40,100,47,.210,.029,.031,.073,.260,1.110,.100,1.060,4.950,10.000,1441.300,4.585,1,35,"May 30 1989 12:00AM","Jul  4 1989 12:00AM"
CO02,7,1989,75,100,92,.147,.018,.031,.050,.492,1.314,.095,.852,5.292,8.218,4669.900,6.705,3,28,"Jul  4 1989 12:00AM","Aug  1 1989 12:00AM"
CO02,8,1989,100,100,100,.150,.025,.013,.051,.260,1.231,.120,.766,4.967,8.693,2628.100,4.483,3,28,"Aug  1 1989 12:00AM","Aug 29 1989 12:00AM"
CO02,9,1989,80,100,72,.498,.041,.023,.120,.163,1.132,.178,.938,5.258,9.201,1390.400,2.934,3,35,"Aug 29 1989 12:00AM","Oct  3 1989 12:00AM"
CO02,1,1990,25,100,7,.090,.012,.012,.028,.010,.370,.060,.190,5.460,3.400,472.900,20.523,1,28,"Jan  2 1990 12:00AM","Jan 30 1990 12:00AM"
CO02,10,1990,25,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,8.128,0,28,"Oct  2 1990 12:00AM","Oct 30 1990 12:00AM"
CO02,11,1990,40,100,0,.390,.053,.060,.178,.280,2.200,.280,.960,5.620,8.900,27.500,16.957,1,35,"Oct 30 1990 12:00AM","Dec  4 1990 12:00AM"
CO02,12,1990,48,100,57,.096,.010,.013,.121,.035,.395,.063,.233,5.412,3.793,492.200,26.213,2,27,"Dec  4 1990 12:00AM","Dec 31 1990 12:00AM"
CO02,2,1990,50,100,90,.160,.025,.028,.058,.089,.504,.104,.294,5.745,3.887,968.000,21.234,2,28,"Jan 30 1990 12:00AM","Feb 27 1990 12:00AM"
CO02,3,1990,100,100,100,.050,.009,.005,.048,.126,.597,.085,.294,5.226,4.537,4402.300,24.206,5,35,"Feb 27 1990 12:00AM","Apr  3 1990 12:00AM"
CO02,4,1990,100,100,100,.524,.076,.058,.117,.597,1.945,.158,1.575,5.477,12.066,3774.300,21.032,4,28,"Apr  3 1990 12:00AM","May  1 1990 12:00AM"
CO02,5,1990,75,100,81,1.712,.185,.107,.447,.698,3.321,.523,2.173,6.441,23.935,722.500,4.877,3,28,"May  1 1990 12:00AM","May 29 1990 12:00AM"
CO02,6,1990,40,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,7.519,0,35,"May 29 1990 12:00AM","Jul  3 1990 12:00AM"
CO02,7,1990,50,100,44,.083,.014,.008,.018,.230,.839,.091,.719,4.948,8.291,3353.800,10.363,2,28,"Jul  3 1990 12:00AM","Jul 31 1990 12:00AM"
CO02,8,1990,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,10.364,0,35,"Jul 31 1990 12:00AM","Sep  4 1990 12:00AM"
CO02,9,1990,25,100,44,.190,.048,.019,.067,.480,2.230,.270,1.070,5.750,11.300,32.500,4.673,1,28,"Sep  4 1990 12:00AM","Oct  2 1990 12:00AM"
CO02,1,1991,52,100,49,.179,.040,.026,.337,.040,1.201,.249,.518,5.957,5.674,131.900,20.203,2,29,"Dec 31 1990 12:00AM","Jan 29 1991 12:00AM"
CO02,10,1991,100,100,100,.088,.008,.005,.036,.024,.346,.046,.329,5.583,3.889,647.600,1.295,2,28,"Sep 30 1991 12:00AM","Oct 28 1991 12:00AM"
CO02,11,1991,100,100,100,.041,.009,.010,.024,.040,.404,.053,.307,5.219,4.087,2674.300,22.160,5,35,"Oct 28 1991 12:00AM","Dec  2 1991 12:00AM"
CO02,12,1991,100,100,100,.259,.047,.058,.107,.049,1.344,.161,.785,5.777,8.474,109.400,20.015,3,29,"Dec  2 1991 12:00AM","Dec 31 1991 12:00AM"
CO02,2,1991,24,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,19.710,0,29,"Jan 29 1991 12:00AM","Feb 27 1991 12:00AM"
CO02,3,1991,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,23.777,0,34,"Feb 27 1991 12:00AM","Apr  2 1991 12:00AM"
CO02,4,1991,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,17.780,0,28,"Apr  2 1991 12:00AM","Apr 30 1991 12:00AM"
CO02,5,1991,20,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,10.906,0,35,"Apr 30 1991 12:00AM","Jun  4 1991 12:00AM"
CO02,6,1991,25,100,7,.660,.088,.228,.206,.170,2.390,.240,2.510,5.050,16.800,215.800,3.025,1,28,"Jun  4 1991 12:00AM","Jul  2 1991 12:00AM"
CO02,7,1991,50,100,33,.074,.018,.057,.034,.266,.478,.050,.402,5.877,5.200,2324.100,10.668,2,28,"Jul  2 1991 12:00AM","Jul 30 1991 12:00AM"
CO02,8,1991,100,100,100,.151,.018,.013,.024,.268,1.253,.061,1.015,4.810,10.994,5797.400,8.077,5,35,"Jul 30 1991 12:00AM","Sep  3 1991 12:00AM"
CO02,9,1991,100,100,100,.139,.013,.014,.030,.179,1.433,.062,1.064,4.655,13.333,2467.800,3.759,3,27,"Sep  3 1991 12:00AM","Sep 30 1991 12:00AM"
CO02,1,1992,100,100,100,.120,.018,.060,.120,.041,.757,.172,.396,5.782,5.405,241.900,.356,4,35,"Dec 31 1991 12:00AM","Feb  4 1992 12:00AM"
CO02,10,1992,60,100,82,.052,.010,.011,.031,.020,.304,.039,.418,5.333,3.761,327.400,6.477,2,35,"Sep 29 1992 12:00AM","Nov  3 1992 12:00AM"
CO02,11,1992,75,100,81,.166,.020,.029,.108,.017,.854,.084,.431,5.162,6.983,823.600,46.101,3,28,"Nov  3 1992 12:00AM","Dec  1 1992 12:00AM"
CO02,12,1992,75,100,98,.421,.055,.047,.215,.066,2.672,.179,1.081,4.963,13.743,683.800,17.424,3,28,"Dec  1 1992 12:00AM","Dec 29 1992 12:00AM"
CO02,2,1992,25,100,45,.030,.006,.003,.037,.010,.240,.040,.170,5.300,3.200,753.600,5.618,1,28,"Feb  4 1992 12:00AM","Mar  3 1992 12:00AM"
CO02,3,1992,75,100,76,.104,.012,.009,.042,.145,.778,.055,.586,5.036,6.945,3362.000,24.586,3,28,"Mar  3 1992 12:00AM","Mar 31 1992 12:00AM"
CO02,4,1992,25,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,6.588,0,28,"Mar 31 1992 12:00AM","Apr 28 1992 12:00AM"
CO02,5,1992,60,100,20,.708,.087,.056,.214,.834,2.714,.152,2.280,5.723,16.535,693.100,5.004,3,35,"Apr 28 1992 12:00AM","Jun  2 1992 12:00AM"
CO02,6,1992,75,100,97,.255,.035,.076,.102,.199,1.132,.109,1.026,4.916,10.851,2697.600,5.436,3,28,"Jun  2 1992 12:00AM","Jun 30 1992 12:00AM"
CO02,7,1992,100,100,100,.252,.033,.036,.099,.254,1.269,.119,1.104,4.965,11.125,4007.300,6.211,5,35,"Jun 30 1992 12:00AM","Aug  4 1992 12:00AM"
CO02,8,1992,100,100,100,.185,.023,.030,.053,.258,1.182,.128,.885,4.852,10.450,5762.500,8.263,4,28,"Aug  4 1992 12:00AM","Sep  1 1992 12:00AM"
CO02,9,1992,100,100,100,.763,.077,.054,.270,.215,1.349,.305,1.422,5.381,12.671,1011.900,2.261,4,28,"Sep  1 1992 12:00AM","Sep 29 1992 12:00AM"
CO02,1,1993,80,100,92,.052,.008,.016,.033,.010,.231,.036,.243,5.613,2.741,1058.300,9.297,4,35,"Dec 29 1992 12:00AM","Feb  2 1993 12:00AM"
CO02,10,1993,100,100,100,.056,.008,.013,.045,.042,.525,.039,.326,5.258,4.797,2906.700,7.216,4,35,"Sep 28 1993 12:00AM","Nov  2 1993 12:00AM"
CO02,11,1993,100,100,100,.088,.012,.012,.065,.055,.573,.053,.521,5.232,4.780,1408.300,31.547,4,28,"Nov  2 1993 12:00AM","Nov 30 1993 12:00AM"
CO02,12,1993,60,100,67,.120,.015,.025,.048,.039,.681,.077,.266,5.310,4.064,1248.900,37.288,3,35,"Nov 30 1993 12:00AM","Jan  4 1994 12:00AM"
CO02,2,1993,100,100,100,.054,.007,.005,.037,.081,.615,.047,.454,5.009,6.221,1939.100,17.932,4,28,"Feb  2 1993 12:00AM","Mar  2 1993 12:00AM"
CO02,3,1993,76,100,93,.070,.009,.012,.033,.112,.598,.044,.514,5.036,6.143,2615.300,16.587,3,29,"Mar  2 1993 12:00AM","Mar 31 1993 12:00AM"
CO02,4,1993,18,100,30,.080,.019,.010,.031,.190,1.310,.040,1.040,4.640,13.700,622.300,40.858,1,34,"Mar 31 1993 12:00AM","May  4 1993 12:00AM"
CO02,5,1993,50,100,13,.119,.018,.015,.043,.160,.834,.060,.723,5.152,6.245,1512.800,13.767,2,28,"May  4 1993 12:00AM","Jun  1 1993 12:00AM"
CO02,6,1993,50,100,92,.236,.032,.027,.056,.151,1.399,.088,1.099,5.230,8.573,1642.700,11.240,2,28,"Jun  1 1993 12:00AM","Jun 29 1993 12:00AM"
CO02,7,1993,60,100,88,.150,.019,.019,.073,.148,.807,.088,.604,5.462,5.805,1154.700,2.921,3,35,"Jun 29 1993 12:00AM","Aug  3 1993 12:00AM"
CO02,8,1993,100,100,100,.301,.035,.050,.124,.435,2.444,.177,1.574,4.697,17.745,2032.300,2.768,4,28,"Aug  3 1993 12:00AM","Aug 31 1993 12:00AM"
CO02,9,1993,100,100,100,.166,.020,.018,.058,.221,1.166,.087,.861,4.852,10.008,3722.400,5.119,3,28,"Aug 31 1993 12:00AM","Sep 28 1993 12:00AM"
CO02,1,1994,100,100,100,.089,.012,.018,.055,.053,.686,.080,.439,4.884,7.208,627.800,21.209,3,28,"Jan  4 1994 12:00AM","Feb  1 1994 12:00AM"
CO02,10,1994,75,100,98,.029,.003,.009,.034,.141,.760,.056,.545,4.818,8.321,2028.600,15.087,3,28,"Oct  4 1994 12:00AM","Nov  1 1994 12:00AM"
CO02,11,1994,75,100,57,.047,.007,.012,.034,.064,.469,.054,.332,4.990,5.394,727.900,12.903,3,28,"Nov  1 1994 12:00AM","Nov 29 1994 12:00AM"
CO02,12,1994,80,100,99,.092,.014,.016,.119,.056,.833,.173,.271,4.919,6.812,510.000,20.879,4,35,"Nov 29 1994 12:00AM","Jan  3 1995 12:00AM"
CO02,2,1994,100,100,100,.043,.004,.009,.026,.047,.505,.017,.253,4.988,5.078,2996.400,26.602,4,28,"Feb  1 1994 12:00AM","Mar  1 1994 12:00AM"
CO02,3,1994,100,100,100,.125,.013,.007,.058,.174,.891,.045,.507,5.115,8.025,2323.700,20.752,4,28,"Mar  1 1994 12:00AM","Mar 29 1994 12:00AM"
CO02,4,1994,80,100,90,.214,.024,.020,.045,.233,.872,.061,.738,5.144,7.495,3682.800,14.783,4,35,"Mar 29 1994 12:00AM","May  3 1994 12:00AM"
CO02,5,1994,100,100,100,.225,.027,.023,.053,.529,1.581,.057,1.093,5.101,10.295,2847.400,4.344,3,28,"May  3 1994 12:00AM","May 31 1994 12:00AM"
CO02,6,1994,100,100,100,.184,.025,.068,.040,.244,1.206,.067,.859,4.830,11.236,1852.400,2.286,3,28,"May 31 1994 12:00AM","Jun 28 1994 12:00AM"
CO02,7,1994,60,100,93,.243,.028,.050,.059,.313,1.362,.124,.960,4.806,12.342,3396.500,5.334,3,35,"Jun 28 1994 12:00AM","Aug  2 1994 12:00AM"
CO02,8,1994,100,100,100,.141,.017,.018,.035,.219,1.428,.094,.930,4.650,13.996,4485.600,5.842,4,28,"Aug  2 1994 12:00AM","Aug 30 1994 12:00AM"
CO02,9,1994,100,100,100,.183,.022,.018,.046,.256,1.984,.088,1.256,4.487,18.708,3165.300,4.852,5,35,"Aug 30 1994 12:00AM","Oct  4 1994 12:00AM"
CO02,1,1995,100,100,100,.032,.006,.008,.048,.050,.460,.083,.332,4.996,5.864,355.500,20.584,3,28,"Jan  3 1995 12:00AM","Jan 31 1995 12:00AM"
CO02,10,1995,75,100,95,1.059,.112,.078,.131,.077,1.244,.139,1.006,5.402,10.531,343.500,10.083,3,28,"Oct  3 1995 12:00AM","Oct 31 1995 12:00AM"
CO02,11,1995,75,100,96,.116,.019,.047,.040,.034,.523,.066,.321,5.064,5.459,1778.500,29.565,3,28,"Oct 31 1995 12:00AM","Nov 28 1995 12:00AM"
CO02,12,1995,100,100,100,.099,.017,.044,.042,.035,.492,.049,.353,5.104,5.404,699.800,25.274,5,35,"Nov 28 1995 12:00AM","Jan  2 1996 12:00AM"
CO02,2,1995,100,100,100,.125,.016,.021,.116,.119,.952,.124,.692,4.847,9.109,602.100,24.994,4,28,"Jan 31 1995 12:00AM","Feb 28 1995 12:00AM"
CO02,3,1995,100,100,100,.154,.019,.018,.112,.263,1.609,.142,.671,4.867,10.566,2047.200,24.181,5,35,"Feb 28 1995 12:00AM","Apr  4 1995 12:00AM"
CO02,4,1995,75,100,67,.165,.022,.006,.050,.193,.671,.048,.519,5.249,5.453,3751.500,42.392,3,28,"Apr  4 1995 12:00AM","May  2 1995 12:00AM"
CO02,5,1995,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,29.550,0,28,"May  2 1995 12:00AM","May 30 1995 12:00AM"
CO02,6,1995,40,100,26,.070,.009,.019,.018,.080,.730,.050,.430,4.820,8.300,2273.200,13.758,1,35,"May 30 1995 12:00AM","Jul  4 1995 12:00AM"
CO02,7,1995,100,100,100,.293,.033,.068,.062,.236,1.636,.096,1.197,4.593,16.317,2974.100,4.419,4,28,"Jul  4 1995 12:00AM","Aug  1 1995 12:00AM"
CO02,8,1995,100,100,100,.297,.039,.027,.082,.351,2.357,.127,1.215,4.571,18.171,1896.900,2.870,4,28,"Aug  1 1995 12:00AM","Aug 29 1995 12:00AM"
CO02,9,1995,100,100,100,.160,.021,.022,.050,.203,.973,.111,.772,4.824,10.034,3650.100,6.680,5,35,"Aug 29 1995 12:00AM","Oct  3 1995 12:00AM"
CO02,1,1996,75,100,94,.087,.010,.018,.088,.077,.425,.091,.230,5.155,4.579,674.900,54.279,3,28,"Jan  2 1996 12:00AM","Jan 30 1996 12:00AM"
CO02,10,1996,100,100,100,.241,.029,.041,.037,.182,.996,.054,.727,5.147,7.528,2477.100,16.542,3,28,"Oct  1 1996 12:00AM","Oct 29 1996 12:00AM"
CO02,11,1996,100,100,100,.080,.011,.021,.036,.059,.804,.061,.364,4.878,7.306,2878.900,44.856,5,35,"Oct 29 1996 12:00AM","Dec  3 1996 12:00AM"
CO02,12,1996,100,100,100,.124,.014,.020,.039,.013,.534,.058,.267,5.088,4.877,1755.800,29.368,4,28,"Dec  3 1996 12:00AM","Dec 31 1996 12:00AM"
CO02,2,1996,25,100,34,.060,.006,.007,.060,.010,.240,.060,.150,5.320,2.900,532.800,33.758,1,28,"Jan 30 1996 12:00AM","Feb 27 1996 12:00AM"
CO02,3,1996,80,100,72,.246,.029,.033,.134,.268,1.163,.115,.710,5.122,8.307,1985.000,27.077,4,35,"Feb 27 1996 12:00AM","Apr  2 1996 12:00AM"
