site,yr,plotid,block,plot,meadow,snow,snow_notes,trt,trt2,ForbHits,GrassHits,NonVegHits,ShrubHits,TotalHits,PlantCov,VegHits,Forb_rel,Grass_rel,F2G_ratio,Geum_hits,Geum_rel,S,H,Forb_g_m2,Grass_g_m2,Total_g_m2
sdl,1997,5,NA,5,dry,no snow,never affected,N,N,20,45,30,0,95,70,65,30.76923076923077,69.23076923076923,0.4444444444444444,5,7.6923076923076925,13,1.7241714527503065,134.24999999999997,159.62499999999997,293.87499999999994
sdl,1997,6,NA,6,dry,no snow,never affected,N,N,38,42,21,0,101,79,80,47.5,52.5,0.9047619047619048,10,12.5,16,2.235491781696261,135.37499999999997,154.99999999999997,290.37499999999994
sdl,1997,7,NA,7,dry,no snow,never affected,N,N,29,41,30,0,100,70,70,41.42857142857143,58.57142857142858,0.7073170731707317,3,4.285714285714286,16,2.060495542831619,134.12499999999997,73.49999999999999,207.62499999999994
sdl,1997,8,NA,8,dry,no snow,never affected,N,N,21,51,29,0,101,71,72,29.166666666666668,70.83333333333334,0.4117647058823529,3,4.166666666666666,14,1.8595980717655278,37.62499999999999,92.12499999999999,129.74999999999997
sdl,1997,9,NA,9,dry,no snow,never affected,N+P,N+P,20,20,44,0,84,56,40,50,50,1,6,15,10,1.8970716892687731,89.99999999999997,227.62499999999997,317.62499999999994
sdl,1997,10,NA,10,dry,no snow,never affected,N+P,N+P,59,24,21,0,104,79,83,71.08433734939759,28.915662650602407,2.4583333333333335,15,18.072289156626507,19,2.473484733746367,216.62499999999994,28.249999999999993,244.87499999999994
sdl,1997,11,NA,11,dry,no snow,never affected,N+P,N+P,41,42,11,0,94,89,83,49.39759036144578,50.602409638554214,0.9761904761904762,13,15.66265060240964,17,2.1917520179023295,248.74999999999994,253.49999999999994,502.2499999999999
sdl,1997,12,NA,12,dry,no snow,never affected,N+P,N+P,28,44,28,0,100,72,72,38.88888888888889,61.111111111111114,0.6363636363636364,2,2.7777777777777777,16,2.2167737853386464,119.74999999999997,332.62499999999994,452.3749999999999
sdl,1997,13,NA,13,dry,no snow,never affected,P,P,72,14,13,0,99,87,86,83.72093023255815,16.27906976744186,5.142857142857143,29,33.72093023255814,16,2.1462875453931947,99.37499999999997,80.62499999999999,179.99999999999997
sdl,1997,14,NA,14,dry,no snow,never affected,P,P,66,35,18,0,119,82,101,65.34653465346535,34.65346534653465,1.8857142857142857,13,12.871287128712872,14,2.0442393238701464,227.74999999999994,102.37499999999999,330.12499999999994
sdl,1997,15,NA,15,dry,no snow,never affected,P,P,51,35,14,0,100,86,86,59.30232558139535,40.69767441860465,1.457142857142857,3,3.488372093023256,20,2.294956537476761,185.49999999999994,76.37499999999999,261.87499999999994
sdl,1997,16,NA,16,dry,no snow,never affected,P,P,18,56,26,0,100,74,74,24.324324324324326,75.67567567567568,0.32142857142857145,0,0,22,1.6448838904242233,17.499999999999996,105.87499999999997,123.37499999999997
sdl,1997,286,NA,286,dry,snow,NA,N,N,63,13,25,0,101,75,76,82.89473684210526,17.105263157894736,4.846153846153846,16,21.052631578947366,15,2.3685785835550996,NA,NA,NA
sdl,2003,1,NA,1,dry,no snow,never affected,C,C,47,53,0,0,100,NA,100,47,53,0.8867924528301887,8,8,NA,NA,NA,NA,NA
sdl,2003,2,NA,2,dry,no snow,never affected,C,C,76,24,0,0,100,NA,100,76,24,3.1666666666666665,29,28.999999999999996,NA,NA,NA,NA,NA
sdl,2003,3,NA,3,dry,no snow,never affected,C,C,59,39,10,0,108,NA,98,60.204081632653065,39.795918367346935,1.5128205128205128,29,29.591836734693878,NA,NA,NA,NA,NA
sdl,2003,4,NA,4,dry,no snow,never affected,C,C,69,28,3,0,100,NA,97,71.1340206185567,28.865979381443296,2.4642857142857144,10,10.309278350515463,NA,NA,NA,NA,NA
sdl,2003,5,NA,5,dry,no snow,never affected,N,N,48,43,0,0,91,NA,91,52.74725274725275,47.25274725274725,1.1162790697674418,16,17.582417582417584,NA,NA,NA,NA,NA
sdl,2003,6,NA,6,dry,no snow,never affected,N,N,54,44,0,0,98,NA,98,55.10204081632652,44.89795918367347,1.2272727272727273,26,26.53061224489796,NA,NA,NA,NA,NA
sdl,2003,7,NA,7,dry,no snow,never affected,N,N,49,36,2,0,87,NA,85,57.647058823529406,42.35294117647059,1.3611111111111112,13,15.294117647058824,NA,NA,NA,NA,NA
sdl,2003,8,NA,8,dry,no snow,never affected,N,N,48,42,0,0,90,NA,90,53.333333333333336,46.666666666666664,1.1428571428571428,18,20,NA,NA,NA,NA,NA
sdl,2003,9,NA,9,dry,no snow,never affected,N+P,N+P,61,28,0,0,89,NA,89,68.53932584269663,31.46067415730337,2.1785714285714284,28,31.46067415730337,NA,NA,NA,NA,NA
sdl,2003,10,NA,10,dry,no snow,never affected,N+P,N+P,86,16,0,0,102,NA,102,84.31372549019608,15.686274509803921,5.375,35,34.31372549019608,NA,NA,NA,NA,NA
sdl,2003,11,NA,11,dry,no snow,never affected,N+P,N+P,72,26,0,0,98,NA,98,73.46938775510205,26.53061224489796,2.769230769230769,16,16.3265306122449,NA,NA,NA,NA,NA
sdl,2003,12,NA,12,dry,no snow,never affected,N+P,N+P,71,30,0,0,101,NA,101,70.29702970297029,29.7029702970297,2.3666666666666667,12,11.881188118811881,NA,NA,NA,NA,NA
sdl,2003,13,NA,13,dry,no snow,never affected,P,P,44,54,2,0,100,NA,98,44.89795918367347,55.10204081632652,0.8148148148148148,9,9.183673469387756,NA,NA,NA,NA,NA
sdl,2003,14,NA,14,dry,no snow,never affected,P,P,63,33,4,0,100,NA,96,65.625,34.375,1.9090909090909092,14,14.583333333333334,NA,NA,NA,NA,NA
sdl,2003,15,NA,15,dry,no snow,never affected,P,P,55,38,2,0,95,NA,93,59.13978494623656,40.86021505376344,1.4473684210526316,3,3.225806451612903,NA,NA,NA,NA,NA
sdl,2003,16,NA,16,dry,no snow,never affected,P,P,22,72,6,0,100,NA,94,23.404255319148938,76.59574468085107,0.3055555555555556,5,5.319148936170213,NA,NA,NA,NA,NA
sdl,2003,17,NA,17,mesic,no snow,never affected,C,C,78,14,0,0,92,NA,92,84.78260869565217,15.217391304347828,5.571428571428571,48,52.17391304347826,NA,NA,NA,NA,NA
sdl,2003,18,NA,18,mesic,no snow,never affected,C,C,86,8,1,6,101,NA,100,86,8,10.75,24,24,NA,NA,NA,NA,NA
sdl,2003,19,NA,19,mesic,no snow,never affected,C,C,64,34,0,0,98,NA,98,65.3061224489796,34.69387755102041,1.8823529411764706,23,23.46938775510204,NA,NA,NA,NA,NA
sdl,2003,20,NA,20,mesic,no snow,never affected,C,C,38,47,3,0,88,NA,85,44.70588235294118,55.294117647058826,0.8085106382978723,7,8.235294117647058,NA,NA,NA,NA,NA
sdl,2003,21,NA,21,mesic,no snow,never affected,N,N,62,44,0,0,106,NA,106,58.490566037735846,41.509433962264154,1.4090909090909092,30,28.30188679245283,NA,NA,NA,NA,NA
sdl,2003,22,NA,22,mesic,no snow,never affected,N,N,71,21,0,0,92,NA,92,77.17391304347827,22.82608695652174,3.380952380952381,36,39.130434782608695,NA,NA,NA,NA,NA
sdl,2003,23,NA,23,mesic,no snow,never affected,N,N,35,47,0,0,82,NA,82,42.68292682926829,57.3170731707317,0.7446808510638298,16,19.51219512195122,NA,NA,NA,NA,NA
sdl,2003,24,NA,24,mesic,no snow,never affected,N,N,53,56,0,0,109,NA,109,48.62385321100918,51.37614678899083,0.9464285714285714,29,26.605504587155966,NA,NA,NA,NA,NA
sdl,2003,25,NA,25,mesic,no snow,never affected,N+P,N+P,29,68,0,0,97,NA,97,29.896907216494846,70.10309278350515,0.4264705882352941,23,23.711340206185564,NA,NA,NA,NA,NA
sdl,2003,26,NA,26,mesic,no snow,never affected,N+P,N+P,21,66,0,0,87,NA,87,24.137931034482758,75.86206896551724,0.3181818181818182,14,16.091954022988507,NA,NA,NA,NA,NA
sdl,2003,27,NA,27,mesic,no snow,never affected,N+P,N+P,19,64,0,2,85,NA,85,22.35294117647059,75.29411764705883,0.296875,15,17.647058823529413,NA,NA,NA,NA,NA
sdl,2003,28,NA,28,mesic,no snow,never affected,N+P,N+P,14,65,0,0,79,NA,79,17.72151898734177,82.27848101265823,0.2153846153846154,6,7.59493670886076,NA,NA,NA,NA,NA
sdl,2003,29,NA,29,mesic,no snow,never affected,P,P,64,40,0,0,104,NA,104,61.53846153846154,38.46153846153847,1.6,29,27.884615384615387,NA,NA,NA,NA,NA
sdl,2003,30,NA,30,mesic,no snow,never affected,P,P,73,2,0,0,75,NA,75,97.33333333333334,2.666666666666667,36.5,25,33.33333333333333,NA,NA,NA,NA,NA
sdl,2003,31,NA,31,mesic,no snow,never affected,P,P,54,30,0,0,84,NA,84,64.28571428571429,35.714285714285715,1.8,20,23.809523809523807,NA,NA,NA,NA,NA
sdl,2003,32,NA,32,mesic,no snow,never affected,P,P,54,44,0,0,98,NA,98,55.10204081632652,44.89795918367347,1.2272727272727273,26,26.53061224489796,NA,NA,NA,NA,NA
sdl,2003,33,NA,33,wet,snow,in snowfield,C,C,63,25,1,0,89,NA,88,71.5909090909091,28.40909090909091,2.52,51,57.95454545454546,NA,NA,NA,NA,NA
sdl,2003,34,NA,34,wet,snow,in snowfield,C,C,89,0,19,0,108,NA,89,100,0,Inf,65,73.03370786516854,NA,NA,NA,NA,NA
sdl,2003,35,NA,35,wet,snow,in snowfield,C,C,71,5,1,0,77,NA,76,93.42105263157895,6.578947368421052,14.2,43,56.57894736842105,NA,NA,NA,NA,NA
sdl,2003,36,NA,36,wet,snow,in snowfield,C,C,77,30,0,0,107,NA,107,71.96261682242991,28.037383177570092,2.566666666666667,12,11.214953271028037,NA,NA,NA,NA,NA
sdl,2003,37,NA,37,wet,snow,in snowfield,N,N,65,30,0,0,95,NA,95,68.42105263157895,31.57894736842105,2.1666666666666665,30,31.57894736842105,NA,NA,NA,NA,NA
sdl,2003,38,NA,38,wet,snow,in snowfield,N,N,19,82,0,0,101,NA,101,18.81188118811881,81.1881188118812,0.23170731707317074,0,0,NA,NA,NA,NA,NA
sdl,2003,39,NA,39,wet,snow,in snowfield,N,N,33,53,0,0,86,NA,86,38.372093023255815,61.627906976744185,0.6226415094339622,8,9.30232558139535,NA,NA,NA,NA,NA
sdl,2003,40,NA,40,wet,snow,in snowfield,N,N,22,64,0,0,86,NA,86,25.581395348837212,74.4186046511628,0.34375,5,5.813953488372093,NA,NA,NA,NA,NA
sdl,2003,41,NA,41,wet,snow,in snowfield,N+P,N+P,15,65,0,0,80,NA,80,18.75,81.25,0.23076923076923078,1,1.25,NA,NA,NA,NA,NA
sdl,2003,42,NA,42,wet,snow,in snowfield,N+P,N+P,14,82,2,0,98,NA,96,14.583333333333334,85.41666666666666,0.17073170731707318,2,2.083333333333333,NA,NA,NA,NA,NA
sdl,2003,43,NA,43,wet,snow,in snowfield,N+P,N+P,23,61,0,0,84,NA,84,27.380952380952383,72.61904761904762,0.3770491803278688,0,0,NA,NA,NA,NA,NA
sdl,2003,44,NA,44,wet,snow,in snowfield,N+P,N+P,10,90,0,0,100,NA,100,10,90,0.1111111111111111,0,0,NA,NA,NA,NA,NA
sdl,2003,45,NA,45,wet,snow,in snowfield,P,P,87,17,1,0,105,NA,104,83.65384615384616,16.346153846153847,5.117647058823529,48,46.15384615384615,NA,NA,NA,NA,NA
sdl,2003,46,NA,46,wet,snow,in snowfield,P,P,70,33,0,0,103,NA,103,67.96116504854369,32.038834951456316,2.121212121212121,37,35.92233009708738,NA,NA,NA,NA,NA
sdl,2003,47,NA,47,wet,snow,in snowfield,P,P,71,33,0,0,104,NA,104,68.26923076923077,31.73076923076923,2.1515151515151514,33,31.73076923076923,NA,NA,NA,NA,NA
sdl,2003,48,NA,48,wet,snow,in snowfield,P,P,46,44,0,0,90,NA,90,51.11111111111111,48.888888888888886,1.0454545454545454,21,23.333333333333332,NA,NA,NA,NA,NA
sdl,2003,49,NA,49,dry,snow,in snowfence area,C,C,90,14,8,0,112,NA,104,86.53846153846155,13.461538461538462,6.428571428571429,34,32.69230769230769,NA,NA,NA,NA,NA
sdl,2003,50,NA,50,dry,snow,in snowfence area,C,C,72,28,2,0,102,NA,100,72,28.000000000000004,2.5714285714285716,27,27,NA,NA,NA,NA,NA
sdl,2003,51,NA,51,dry,snow,in snowfence area,C,C,63,14,1,0,78,NA,77,81.81818181818183,18.181818181818183,4.5,26,33.76623376623377,NA,NA,NA,NA,NA
sdl,2003,52,NA,52,dry,snow,in snowfence area,C,C,71,34,0,0,105,NA,105,67.61904761904762,32.38095238095238,2.088235294117647,12,11.428571428571429,NA,NA,NA,NA,NA
