site,yr,date,plotid,block,plot,meadow,snow,snow_notes,trt,trt2,clean_code2,hits,simple_name,Scientific_Name_x,Common_Name,Category,Family,Family_Common_Name,Duration,Growth_Habit,simple_lifeform,simple_lifeform2
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,ERSI3,0.25,Erigeron simplex,Erigeron simplex Greene,onestem fleabane,Dicot,Asteraceae,Aster family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,FEBR,4,Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,alpine fescue,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,GERO2,17,Geum rossii,Geum rossii (R. Br.) Ser.,Ross' avens,Dicot,Rosaceae,Rose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,KOMY,18,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,LLSE,9,Lloydia serotina,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,MIOB2,8,Minuartia obtusiloba,Minuartia obtusiloba (Rydb.) House,twinflower sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,ORALA,6,Oreoxis alpina,Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina,alpine oreoxis,Dicot,Apiaceae,Carrot family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,PEPA3,2,Pedicularis parryi,Pedicularis parryi A. Gray,Parry's lousewort,Dicot,Scrophulariaceae,Figwort family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,PHPU5,0.25,Phlox pulvinata,Phlox pulvinata (Wherry) Cronquist,cushion phlox,Dicot,Polemoniaceae,Phlox family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,POAL2,3,Poa alpina,Poa alpina L.,alpine bluegrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,POBI6,1,Polygonum bistortoides,Polygonum bistortoides Pursh,American bistort,Dicot,Polygonaceae,Buckwheat family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,SEDES,8,Selaginella densa,Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Spike-moss family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,SELA,1,Sedum lanceolatum,Sedum lanceolatum Torr.,spearleaf stonecrop,Dicot,Crassulaceae,Stonecrop family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,SIACS2,4,Silene acaulis,Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John,moss campion,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,SOSIN,1,Solidago simplex,Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius,dwarf goldenrod,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,TEACC,1,Tetraneuris acaulis,Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson,caespitose four-nerve daisy,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,TEGR3,4,Tetraneuris grandiflora,Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker,graylocks four-nerve daisy,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,TRPAP,0.25,Trifolium parryi,Trifolium parryi A. Gray ssp. parryi,Parry's clover,Dicot,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",N-fixer,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,VIOLA,1,Viola sp.,Viola L.,violet,Dicot,Violaceae,Violet family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,2BARE,5,Bare Ground,NA,Bare Ground,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,2LICHN,2,Lichen,NA,Lichen,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,2LTR,7,Litter,NA,Litter,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,ACMIA,2,Achillea millefolium,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,ALGE,0.25,Allium geyeri,Allium geyeri S. Watson,Geyer's onion,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,ANAL4,0.25,Antennaria alpina,Antennaria alpina (L.) Gaertn.,alpine pussytoes,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,ARFEF3,3,Arenaria fendleri,Arenaria fendleri A. Gray var. fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,CAPU,0.25,Calamagrostis purpurascens,Calamagrostis purpurascens R. Br.,purple reedgrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,CARUD,4,Carex rupestris,Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey,Drummond's sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,CAUN2,8,Campanula uniflora,Campanula uniflora L.,arctic bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,CEARS2,0.25,Cerastium arvense,Cerastium arvense L. ssp. strictum (L.) Ugborogho,field chickweed,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,DRST4,0.25,Draba streptocarpa,Draba streptocarpa A. Gray,pretty draba,Dicot,Brassicaceae,Mustard family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,ERNA,0.25,Eritrichium nanum,Eritrichium nanum (Vill.) Schrad. ex Gaudin,arctic alpine forget-me-not,Dicot,Boraginaceae,Borage family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,KOMY,66,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,LLSE,5,Lloydia serotina,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,MELA3,1,Mertensia lanceolata,Mertensia lanceolata (Pursh) DC.,prairie bluebells,Dicot,Boraginaceae,Borage family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,MIOB2,6,Minuartia obtusiloba,Minuartia obtusiloba (Rydb.) House,twinflower sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,ORALA,21,Oreoxis alpina,Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina,alpine oreoxis,Dicot,Apiaceae,Carrot family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,PHPU5,5,Phlox pulvinata,Phlox pulvinata (Wherry) Cronquist,cushion phlox,Dicot,Polemoniaceae,Phlox family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,POAL2,1,Poa alpina,Poa alpina L.,alpine bluegrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,POBI6,1,Polygonum bistortoides,Polygonum bistortoides Pursh,American bistort,Dicot,Polygonaceae,Buckwheat family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,POVI3,2,Polygonum viviparum,Polygonum viviparum L.,alpine bistort,Dicot,Polygonaceae,Buckwheat family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,PRAN,0.25,Primula angustifolia,Primula angustifolia Torr.,alpine primrose,Dicot,Primulaceae,Primrose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,SARH2,1,Saxifraga rhomboidea,Saxifraga rhomboidea Greene,diamondleaf saxifrage,Dicot,Saxifragaceae,Saxifrage family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,SEDES,6,Selaginella densa,Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Spike-moss family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,SELA,0.25,Sedum lanceolatum,Sedum lanceolatum Torr.,spearleaf stonecrop,Dicot,Crassulaceae,Stonecrop family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,SOSIN,0.25,Solidago simplex,Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius,dwarf goldenrod,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,TEACC,4,Tetraneuris acaulis,Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson,caespitose four-nerve daisy,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_2,B1,2,dry,no snow,never affected,K,C,VIOLA,1,Viola sp.,Viola L.,violet,Dicot,Violaceae,Violet family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,2BARE,3,Bare Ground,NA,Bare Ground,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,2LTR,10,Litter,NA,Litter,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,2MOSS,3,Moss,NA,Moss,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,ALGE,0.25,Allium geyeri,Allium geyeri S. Watson,Geyer's onion,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,ANAL4,2,Antennaria alpina,Antennaria alpina (L.) Gaertn.,alpine pussytoes,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,ARFEF3,0.25,Arenaria fendleri,Arenaria fendleri A. Gray var. fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,ARSC,18,Artemisia scopulorum,Artemisia scopulorum A. Gray,alpine sagebrush,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,CAPU,1,Calamagrostis purpurascens,Calamagrostis purpurascens R. Br.,purple reedgrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,CARO2,4,Campanula rotundifolia,Campanula rotundifolia L.,bluebell bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,CARUD,12,Carex rupestris,Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey,Drummond's sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,CASC12,2,Carex scopulorum,Carex scopulorum T. Holm,mountain sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,CAUN2,1,Campanula uniflora,Campanula uniflora L.,arctic bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,CEARS2,1,Cerastium arvense,Cerastium arvense L. ssp. strictum (L.) Ugborogho,field chickweed,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,CHJA,7,Chionophila jamesii,Chionophila jamesii Benth.,Rocky Mountain snowlover,Dicot,Scrophulariaceae,Figwort family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,DECE,0.25,Deschampsia cespitosa,Deschampsia cespitosa (L.) P. Beauv.,tufted hairgrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,FEBR,4,Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,alpine fescue,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,GERO2,25,Geum rossii,Geum rossii (R. Br.) Ser.,Ross' avens,Dicot,Rosaceae,Rose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,KOMY,5,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,LEPY2,1,Lewisia pygmaea,Lewisia pygmaea (A. Gray) B.L. Rob.,alpine lewisia,Dicot,Portulacaceae,Purslane family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,LLSE,3,Lloydia serotina,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,MIOB2,8,Minuartia obtusiloba,Minuartia obtusiloba (Rydb.) House,twinflower sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,ORALA,0.25,Oreoxis alpina,Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina,alpine oreoxis,Dicot,Apiaceae,Carrot family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,PHPU5,2,Phlox pulvinata,Phlox pulvinata (Wherry) Cronquist,cushion phlox,Dicot,Polemoniaceae,Phlox family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,POARG,0.25,Poa arctica,Poa arctica R. Br. ssp. grayana (Vasey) Á. Löve & D. Löve & Kapoor,arctic bluegrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,POBI6,2,Polygonum bistortoides,Polygonum bistortoides Pursh,American bistort,Dicot,Polygonaceae,Buckwheat family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,PODI2,1,Potentilla diversifolia,Potentilla diversifolia Lehm.,varileaf cinquefoil,Dicot,Rosaceae,Rose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,POVI3,5,Polygonum viviparum,Polygonum viviparum L.,alpine bistort,Dicot,Polygonaceae,Buckwheat family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,SEDES,15,Selaginella densa,Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Spike-moss family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,SELA,3,Sedum lanceolatum,Sedum lanceolatum Torr.,spearleaf stonecrop,Dicot,Crassulaceae,Stonecrop family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,TEGR3,3,Tetraneuris grandiflora,Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker,graylocks four-nerve daisy,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,TRSP2,3,Trisetum spicatum,Trisetum spicatum (L.) K. Richt.,spike trisetum,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_3,B1,3,dry,no snow,never affected,P,P,VIOLA,0.25,Viola sp.,Viola L.,violet,Dicot,Violaceae,Violet family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,2BARE,1,Bare Ground,NA,Bare Ground,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,2LTR,2,Litter,NA,Litter,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,ALGE,8,Allium geyeri,Allium geyeri S. Watson,Geyer's onion,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,ANAL4,1,Antennaria alpina,Antennaria alpina (L.) Gaertn.,alpine pussytoes,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,ARFEF3,6,Arenaria fendleri,Arenaria fendleri A. Gray var. fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,ARSC,7,Artemisia scopulorum,Artemisia scopulorum A. Gray,alpine sagebrush,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,CAOC4,0.25,Castilleja occidentalis,Castilleja occidentalis Torr.,western Indian paintbrush,Dicot,Scrophulariaceae,Figwort family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,CAPU,2,Calamagrostis purpurascens,Calamagrostis purpurascens R. Br.,purple reedgrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,CARO2,3,Campanula rotundifolia,Campanula rotundifolia L.,bluebell bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,CARUD,12,Carex rupestris,Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey,Drummond's sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,CASC12,8,Carex scopulorum,Carex scopulorum T. Holm,mountain sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,CAUN2,4,Campanula uniflora,Campanula uniflora L.,arctic bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,CEARS2,1,Cerastium arvense,Cerastium arvense L. ssp. strictum (L.) Ugborogho,field chickweed,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,DECE,2,Deschampsia cespitosa,Deschampsia cespitosa (L.) P. Beauv.,tufted hairgrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,ERME2,0.25,Erigeron melanocephalus,Erigeron melanocephalus (A. Nelson) A. Nelson,blackhead fleabane,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,ERNA,1,Eritrichium nanum,Eritrichium nanum (Vill.) Schrad. ex Gaudin,arctic alpine forget-me-not,Dicot,Boraginaceae,Borage family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,FEBR,3,Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,alpine fescue,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,GERO2,10,Geum rossii,Geum rossii (R. Br.) Ser.,Ross' avens,Dicot,Rosaceae,Rose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,KOMY,26,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,LEPY2,0.25,Lewisia pygmaea,Lewisia pygmaea (A. Gray) B.L. Rob.,alpine lewisia,Dicot,Portulacaceae,Purslane family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-26,B1_4,B1,4,dry,no snow,never affected,N,N,LLSE,7,Lloydia serotina,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
