"spp_gains","event","year","sitekey","local_site","site","plot","rem","nut","USDA_code","USDA_name","growth_habit"
NA,9,2010,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,10,2011,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,11,2012,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,12,2013,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,13,2014,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
"CERARV",14,2015,"7_CAC","Subalpine",7,"CAC","A","C","CEARS2","Cerastium arvense ssp. strictum","forb"
"ERISIM",2,2003,"1_CAN","Longs",1,"CAN","A","N","ERSI3","Erigeron simplex","forb"
NA,3,2004,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,4,2005,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
"FESBRA",5,2006,"1_CAN","Longs",1,"CAN","A","N","FEBR","Festuca brachyphylla","graminoid"
"LLOSER",6,2007,"1_CAN","Longs",1,"CAN","A","N","LLSE","Lloydia serotina","forb"
"STELON",7,2008,"1_CAN","Longs",1,"CAN","A","N","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,8,2009,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,9,2010,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,10,2011,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,11,2012,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
"POAALP",12,2013,"1_CAN","Longs",1,"CAN","A","N","POAL2","Poa alpina","graminoid"
"RHOINT",12,2013,"1_CAN","Longs",1,"CAN","A","N","RHIN11","Rhodiola integrifolia","forb"
NA,13,2014,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,14,2015,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
"STEUMB",15,2016,"1_CAN","Longs",1,"CAN","A","N","STUM","Stellaria umbellata","forb"
"DRACRA2",16,2017,"1_CAN","Longs",1,"CAN","A","N","DRCR2","Draba crassifolia","forb"
"LUZSPI",17,2018,"1_CAN","Longs",1,"CAN","A","N","LUSP4","Luzula spicata","graminoid"
NA,2,2003,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,3,2004,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
"AREFEN",4,2005,"2_CAN","Edge",2,"CAN","A","N","ARFE3","Arenaria fendleri","forb"
"BISVIV",5,2006,"2_CAN","Edge",2,"CAN","A","N","POVI3","Polygonum viviparum","forb"
"STELON",6,2007,"2_CAN","Edge",2,"CAN","A","N","STLOL7","Stellaria longipes ssp. longipes","forb"
"POAALP",7,2008,"2_CAN","Edge",2,"CAN","A","N","POAL2","Poa alpina","graminoid"
NA,8,2009,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,9,2010,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,10,2011,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,11,2012,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,12,2014,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,13,2015,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,14,2016,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,15,2017,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
"CASOCC",16,2018,"2_CAN","Edge",2,"CAN","A","N","CAOC4","Castilleja occidentalis","forb"
"CARSCO",2,2003,"3_CAN","Edge",3,"CAN","A","N","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,3,2004,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
"LEWPYG",4,2005,"3_CAN","Edge",3,"CAN","A","N","LEPY2","Lewisia pygmaea","forb"
"LLOSER",4,2005,"3_CAN","Edge",3,"CAN","A","N","LLSE","Lloydia serotina","forb"
NA,5,2006,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,6,2007,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,7,2008,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,8,2009,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,9,2010,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,10,2011,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,11,2012,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,12,2013,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,13,2014,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
"FESBRA",14,2015,"3_CAN","Edge",3,"CAN","A","N","FEBR","Festuca brachyphylla","graminoid"
"GENAMA",14,2015,"3_CAN","Edge",3,"CAN","A","N","GEAM3","Gentianella amarella","forb"
NA,15,2016,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,16,2017,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,17,2018,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
"CALLEP",2,2003,"4_CAN","Tundra Lab",4,"CAN","A","N","CALE4","Caltha leptosepala","forb"
"TRISPI",2,2003,"4_CAN","Tundra Lab",4,"CAN","A","N","TRSP2","Trisetum spicatum","graminoid"
"BISVIV",3,2004,"4_CAN","Tundra Lab",4,"CAN","A","N","POVI3","Polygonum viviparum","forb"
"LLOSER",4,2005,"4_CAN","Tundra Lab",4,"CAN","A","N","LLSE","Lloydia serotina","forb"
"FESBRA",5,2006,"4_CAN","Tundra Lab",4,"CAN","A","N","FEBR","Festuca brachyphylla","graminoid"
"PHLALP",5,2006,"4_CAN","Tundra Lab",4,"CAN","A","N","PHAL2","Phleum alpinum","graminoid"
"STELON",5,2006,"4_CAN","Tundra Lab",4,"CAN","A","N","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,6,2007,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,7,2008,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,8,2009,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,9,2010,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,10,2011,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,11,2012,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,12,2013,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
"CARHET",13,2014,"4_CAN","Tundra Lab",4,"CAN","A","N","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
NA,14,2015,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,15,2016,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,16,2017,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,17,2018,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
"CARSCO",2,2003,"5_CAN","Watershed",5,"CAN","A","N","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"CHIJAM",3,2004,"5_CAN","Watershed",5,"CAN","A","N","CHJA","Chionophila jamesii","forb"
"ACHMIL",4,2005,"5_CAN","Watershed",5,"CAN","A","N","ACMIA","Achillea millefolium var. alpicola","forb"
"AREFEN",4,2005,"5_CAN","Watershed",5,"CAN","A","N","ARFE3","Arenaria fendleri","forb"
NA,5,2006,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,6,2007,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,7,2008,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,8,2009,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
"POAGLA",9,2010,"5_CAN","Watershed",5,"CAN","A","N","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,10,2011,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,11,2012,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
"LEWPYG",12,2013,"5_CAN","Watershed",5,"CAN","A","N","LEPY2","Lewisia pygmaea","forb"
"POAALP",12,2013,"5_CAN","Watershed",5,"CAN","A","N","POAL2","Poa alpina","graminoid"
NA,13,2014,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
"CERARV",14,2015,"5_CAN","Watershed",5,"CAN","A","N","CEARS2","Cerastium arvense ssp. strictum","forb"
NA,15,2016,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,16,2017,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
"CARNOV",17,2018,"5_CAN","Watershed",5,"CAN","A","N","CANO3","Carex nova","graminoid"
"BISVIV",2,2003,"6_CAN","Lefty",6,"CAN","A","N","POVI3","Polygonum viviparum","forb"
"LEWPYG",2,2003,"6_CAN","Lefty",6,"CAN","A","N","LEPY2","Lewisia pygmaea","forb"
NA,3,2004,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
"TRIPAR",4,2005,"6_CAN","Lefty",6,"CAN","A","N","TRPAP","Trifolium parryi ssp. parryi","forb"
"MINOBT",5,2006,"6_CAN","Lefty",6,"CAN","A","N","MIOB2","Minuartia obtusiloba","forb"
NA,6,2007,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
"LLOSER",7,2008,"6_CAN","Lefty",6,"CAN","A","N","LLSE","Lloydia serotina","forb"
"POAGLA",8,2009,"6_CAN","Lefty",6,"CAN","A","N","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,9,2010,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,10,2011,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,11,2012,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
"DANINT",12,2013,"6_CAN","Lefty",6,"CAN","A","N","DAIN","Danthonia intermedia","graminoid"
NA,13,2014,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,14,2015,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,15,2016,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,16,2017,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,17,2018,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,2,2003,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
"LEWPYG",3,2004,"7_CAN","Subalpine",7,"CAN","A","N","LEPY2","Lewisia pygmaea","forb"
"DANINT",4,2005,"7_CAN","Subalpine",7,"CAN","A","N","DAIN","Danthonia intermedia","graminoid"
"RANADO",4,2005,"7_CAN","Subalpine",7,"CAN","A","N","RAAD","Ranunculus adoneus","forb"
NA,5,2006,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
"STELON",6,2007,"7_CAN","Subalpine",7,"CAN","A","N","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,7,2008,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
"CARSCO",8,2009,"7_CAN","Subalpine",7,"CAN","A","N","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,9,2010,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
NA,10,2011,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
NA,11,2012,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
NA,12,2013,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
NA,13,2014,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
NA,14,2015,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
NA,15,2016,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
NA,16,2017,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
"GENAMA",17,2018,"7_CAN","Subalpine",7,"CAN","A","N","GEAM3","Gentianella amarella","forb"
"BISVIV",2,2003,"1_CAX","Longs",1,"CAX","A","X","POVI3","Polygonum viviparum","forb"
"CHIJAM",3,2004,"1_CAX","Longs",1,"CAX","A","X","CHJA","Chionophila jamesii","forb"
"AREFEN",4,2005,"1_CAX","Longs",1,"CAX","A","X","ARFE3","Arenaria fendleri","forb"
"FESBRA",4,2005,"1_CAX","Longs",1,"CAX","A","X","FEBR","Festuca brachyphylla","graminoid"
NA,5,2006,"1_CAX","Longs",1,"CAX","A","X",NA,NA,NA
NA,6,2007,"1_CAX","Longs",1,"CAX","A","X",NA,NA,NA
"LUZSPI",7,2008,"1_CAX","Longs",1,"CAX","A","X","LUSP4","Luzula spicata","graminoid"
NA,8,2009,"1_CAX","Longs",1,"CAX","A","X",NA,NA,NA
NA,9,2010,"1_CAX","Longs",1,"CAX","A","X",NA,NA,NA
"POAALP",10,2011,"1_CAX","Longs",1,"CAX","A","X","POAL2","Poa alpina","graminoid"
NA,11,2012,"1_CAX","Longs",1,"CAX","A","X",NA,NA,NA
NA,12,2013,"1_CAX","Longs",1,"CAX","A","X",NA,NA,NA
NA,13,2014,"1_CAX","Longs",1,"CAX","A","X",NA,NA,NA
NA,14,2015,"1_CAX","Longs",1,"CAX","A","X",NA,NA,NA
NA,15,2016,"1_CAX","Longs",1,"CAX","A","X",NA,NA,NA
"MINOBT",16,2017,"1_CAX","Longs",1,"CAX","A","X","MIOB2","Minuartia obtusiloba","forb"
"PRIANG",17,2018,"1_CAX","Longs",1,"CAX","A","X","PRAN","Primula angustifolia","forb"
"SEDLAN",17,2018,"1_CAX","Longs",1,"CAX","A","X","SELA","Sedum lanceolatum","forb"
"CALLEP",2,2003,"2_CAX","Edge",2,"CAX","A","X","CALE4","Caltha leptosepala","forb"
"CARSCO",2,2003,"2_CAX","Edge",2,"CAX","A","X","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"STELON",2,2003,"2_CAX","Edge",2,"CAX","A","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,3,2004,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
"AREFEN",4,2005,"2_CAX","Edge",2,"CAX","A","X","ARFE3","Arenaria fendleri","forb"
NA,5,2006,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
NA,6,2007,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
"POAALP",7,2008,"2_CAX","Edge",2,"CAX","A","X","POAL2","Poa alpina","graminoid"
NA,8,2009,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
"POAGLA",9,2010,"2_CAX","Edge",2,"CAX","A","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,10,2011,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
NA,11,2012,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
"SEDLAN",12,2013,"2_CAX","Edge",2,"CAX","A","X","SELA","Sedum lanceolatum","forb"
"TRISPI",12,2013,"2_CAX","Edge",2,"CAX","A","X","TRSP2","Trisetum spicatum","graminoid"
NA,13,2014,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
"FESBRA",14,2015,"2_CAX","Edge",2,"CAX","A","X","FEBR","Festuca brachyphylla","graminoid"
"GENAMA",14,2015,"2_CAX","Edge",2,"CAX","A","X","GEAM3","Gentianella amarella","forb"
NA,15,2016,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
NA,16,2017,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
NA,17,2018,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
NA,2,2003,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
"SWEPER",3,2004,"3_CAX","Edge",3,"CAX","A","X","SWPE","Swertia perennis","forb"
"ERISIM",4,2005,"3_CAX","Edge",3,"CAX","A","X","ERSI3","Erigeron simplex","forb"
"STELON",4,2005,"3_CAX","Edge",3,"CAX","A","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,5,2006,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
"CHIJAM",6,2007,"3_CAX","Edge",3,"CAX","A","X","CHJA","Chionophila jamesii","forb"
"GENAMA",7,2008,"3_CAX","Edge",3,"CAX","A","X","GEAM3","Gentianella amarella","forb"
"LEWPYG",7,2008,"3_CAX","Edge",3,"CAX","A","X","LEPY2","Lewisia pygmaea","forb"
NA,8,2009,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,9,2010,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,10,2011,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,11,2012,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
"TRISPI",12,2013,"3_CAX","Edge",3,"CAX","A","X","TRSP2","Trisetum spicatum","graminoid"
NA,13,2014,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
"FESBRA",14,2015,"3_CAX","Edge",3,"CAX","A","X","FEBR","Festuca brachyphylla","graminoid"
"POTDIV",15,2016,"3_CAX","Edge",3,"CAX","A","X","PODI2","Potentilla diversifolia","forb"
NA,16,2017,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
"LUZSPI",17,2018,"3_CAX","Edge",3,"CAX","A","X","LUSP4","Luzula spicata","graminoid"
"LLOSER",2,2003,"4_CAX","Tundra Lab",4,"CAX","A","X","LLSE","Lloydia serotina","forb"
"CASOCC",3,2004,"4_CAX","Tundra Lab",4,"CAX","A","X","CAOC4","Castilleja occidentalis","forb"
"TRISPI",3,2004,"4_CAX","Tundra Lab",4,"CAX","A","X","TRSP2","Trisetum spicatum","graminoid"
NA,4,2005,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
"PHLALP",5,2006,"4_CAX","Tundra Lab",4,"CAX","A","X","PHAL2","Phleum alpinum","graminoid"
"STELON",5,2006,"4_CAX","Tundra Lab",4,"CAX","A","X","STLOL7","Stellaria longipes ssp. longipes","forb"
"FESBRA",6,2007,"4_CAX","Tundra Lab",4,"CAX","A","X","FEBR","Festuca brachyphylla","graminoid"
"LUZSPI",6,2007,"4_CAX","Tundra Lab",4,"CAX","A","X","LUSP4","Luzula spicata","graminoid"
"POTDIV",6,2007,"4_CAX","Tundra Lab",4,"CAX","A","X","PODI2","Potentilla diversifolia","forb"
NA,7,2008,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,8,2009,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,9,2010,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,10,2011,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,11,2012,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,12,2013,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
"CARHET",13,2014,"4_CAX","Tundra Lab",4,"CAX","A","X","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
NA,14,2015,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,15,2016,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
