LTER_site,local_site,date,yr,mon,doy,ppt_mm,ppt_qcflag,ppt_qaflag
NWT,University Camp Snotel (838),1979-01-02,1979,1,2,3,V,U
NWT,University Camp Snotel (838),1979-01-03,1979,1,3,8,V,U
NWT,University Camp Snotel (838),1979-01-04,1979,1,4,15,V,U
NWT,University Camp Snotel (838),1979-01-05,1979,1,5,8,V,U
NWT,University Camp Snotel (838),1979-01-06,1979,1,6,10,V,U
NWT,University Camp Snotel (838),1979-01-07,1979,1,7,0,V,U
NWT,University Camp Snotel (838),1979-01-08,1979,1,8,0,V,U
NWT,University Camp Snotel (838),1979-01-09,1979,1,9,0,V,U
NWT,University Camp Snotel (838),1979-01-10,1979,1,10,0,V,U
NWT,University Camp Snotel (838),1979-01-11,1979,1,11,23,V,U
NWT,University Camp Snotel (838),1979-01-12,1979,1,12,10,V,U
NWT,University Camp Snotel (838),1979-01-13,1979,1,13,0,V,U
NWT,University Camp Snotel (838),1979-01-14,1979,1,14,5,V,U
NWT,University Camp Snotel (838),1979-01-15,1979,1,15,NA,NA,NA
NWT,University Camp Snotel (838),1979-01-16,1979,1,16,NA,NA,NA
NWT,University Camp Snotel (838),1979-01-17,1979,1,17,NA,NA,NA
NWT,University Camp Snotel (838),1979-01-18,1979,1,18,NA,NA,NA
NWT,University Camp Snotel (838),1979-01-19,1979,1,19,NA,NA,NA
NWT,University Camp Snotel (838),1979-01-20,1979,1,20,NA,NA,NA
NWT,University Camp Snotel (838),1979-01-21,1979,1,21,NA,NA,NA
NWT,University Camp Snotel (838),1979-01-22,1979,1,22,NA,NA,NA
NWT,University Camp Snotel (838),1979-01-23,1979,1,23,NA,NA,NA
NWT,University Camp Snotel (838),1979-01-24,1979,1,24,0,E,U
NWT,University Camp Snotel (838),1979-01-25,1979,1,25,0,E,U
NWT,University Camp Snotel (838),1979-01-26,1979,1,26,0,V,U
NWT,University Camp Snotel (838),1979-01-27,1979,1,27,0,E,U
NWT,University Camp Snotel (838),1979-01-28,1979,1,28,0,E,U
NWT,University Camp Snotel (838),1979-01-29,1979,1,29,3,V,U
NWT,University Camp Snotel (838),1979-01-30,1979,1,30,5,V,U
NWT,University Camp Snotel (838),1979-01-31,1979,1,31,3,V,U
NWT,University Camp Snotel (838),1979-02-01,1979,2,32,0,V,U
NWT,University Camp Snotel (838),1979-02-02,1979,2,33,15,V,U
NWT,University Camp Snotel (838),1979-02-03,1979,2,34,0,V,U
NWT,University Camp Snotel (838),1979-02-04,1979,2,35,0,V,U
NWT,University Camp Snotel (838),1979-02-05,1979,2,36,0,V,U
NWT,University Camp Snotel (838),1979-02-06,1979,2,37,0,V,U
NWT,University Camp Snotel (838),1979-02-07,1979,2,38,10,V,U
NWT,University Camp Snotel (838),1979-02-08,1979,2,39,NA,NA,NA
NWT,University Camp Snotel (838),1979-02-09,1979,2,40,NA,NA,NA
NWT,University Camp Snotel (838),1979-02-10,1979,2,41,0,E,U
NWT,University Camp Snotel (838),1979-02-11,1979,2,42,0,E,U
NWT,University Camp Snotel (838),1979-02-12,1979,2,43,0,V,U
NWT,University Camp Snotel (838),1979-02-13,1979,2,44,0,V,U
NWT,University Camp Snotel (838),1979-02-14,1979,2,45,0,V,U
NWT,University Camp Snotel (838),1979-02-15,1979,2,46,0,V,U
NWT,University Camp Snotel (838),1979-02-16,1979,2,47,0,V,U
NWT,University Camp Snotel (838),1979-02-17,1979,2,48,0,V,U
NWT,University Camp Snotel (838),1979-02-18,1979,2,49,0,V,U
NWT,University Camp Snotel (838),1979-02-19,1979,2,50,0,V,U
NWT,University Camp Snotel (838),1979-02-20,1979,2,51,0,V,U
NWT,University Camp Snotel (838),1979-02-21,1979,2,52,3,V,U
NWT,University Camp Snotel (838),1979-02-22,1979,2,53,0,V,U
NWT,University Camp Snotel (838),1979-02-23,1979,2,54,0,V,U
NWT,University Camp Snotel (838),1979-02-24,1979,2,55,0,V,U
NWT,University Camp Snotel (838),1979-02-25,1979,2,56,0,V,U
NWT,University Camp Snotel (838),1979-02-26,1979,2,57,3,V,U
NWT,University Camp Snotel (838),1979-02-27,1979,2,58,NA,NA,NA
NWT,University Camp Snotel (838),1979-02-28,1979,2,59,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-01,1979,3,60,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-02,1979,3,61,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-03,1979,3,62,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-04,1979,3,63,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-05,1979,3,64,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-06,1979,3,65,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-07,1979,3,66,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-08,1979,3,67,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-09,1979,3,68,3,E,U
NWT,University Camp Snotel (838),1979-03-10,1979,3,69,5,E,U
NWT,University Camp Snotel (838),1979-03-11,1979,3,70,0,V,U
NWT,University Camp Snotel (838),1979-03-12,1979,3,71,0,V,U
NWT,University Camp Snotel (838),1979-03-13,1979,3,72,0,E,U
NWT,University Camp Snotel (838),1979-03-14,1979,3,73,0,E,U
NWT,University Camp Snotel (838),1979-03-15,1979,3,74,5,E,U
NWT,University Camp Snotel (838),1979-03-16,1979,3,75,0,V,U
NWT,University Camp Snotel (838),1979-03-17,1979,3,76,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-18,1979,3,77,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-19,1979,3,78,NA,NA,NA
NWT,University Camp Snotel (838),1979-03-20,1979,3,79,3,E,U
NWT,University Camp Snotel (838),1979-03-21,1979,3,80,10,E,U
NWT,University Camp Snotel (838),1979-03-22,1979,3,81,3,V,U
NWT,University Camp Snotel (838),1979-03-23,1979,3,82,13,V,U
NWT,University Camp Snotel (838),1979-03-24,1979,3,83,0,V,U
NWT,University Camp Snotel (838),1979-03-25,1979,3,84,0,E,U
NWT,University Camp Snotel (838),1979-03-26,1979,3,85,5,E,U
NWT,University Camp Snotel (838),1979-03-27,1979,3,86,0,E,U
NWT,University Camp Snotel (838),1979-03-28,1979,3,87,0,E,U
NWT,University Camp Snotel (838),1979-03-29,1979,3,88,5,E,U
NWT,University Camp Snotel (838),1979-03-30,1979,3,89,3,V,U
NWT,University Camp Snotel (838),1979-03-31,1979,3,90,23,V,U
NWT,University Camp Snotel (838),1979-04-01,1979,4,91,15,V,U
NWT,University Camp Snotel (838),1979-04-02,1979,4,92,5,E,U
NWT,University Camp Snotel (838),1979-04-03,1979,4,93,0,E,U
NWT,University Camp Snotel (838),1979-04-04,1979,4,94,13,E,U
NWT,University Camp Snotel (838),1979-04-05,1979,4,95,0,V,U
NWT,University Camp Snotel (838),1979-04-06,1979,4,96,0,E,U
NWT,University Camp Snotel (838),1979-04-07,1979,4,97,0,E,U
NWT,University Camp Snotel (838),1979-04-08,1979,4,98,0,E,U
NWT,University Camp Snotel (838),1979-04-09,1979,4,99,0,E,U
NWT,University Camp Snotel (838),1979-04-10,1979,4,100,13,E,U
NWT,University Camp Snotel (838),1979-04-11,1979,4,101,0,E,U
NWT,University Camp Snotel (838),1979-04-12,1979,4,102,8,E,U
NWT,University Camp Snotel (838),1979-04-13,1979,4,103,5,E,U
NWT,University Camp Snotel (838),1979-04-14,1979,4,104,0,E,U
NWT,University Camp Snotel (838),1979-04-15,1979,4,105,0,E,U
NWT,University Camp Snotel (838),1979-04-16,1979,4,106,0,E,U
NWT,University Camp Snotel (838),1979-04-17,1979,4,107,0,E,U
NWT,University Camp Snotel (838),1979-04-18,1979,4,108,0,E,U
NWT,University Camp Snotel (838),1979-04-19,1979,4,109,0,E,U
NWT,University Camp Snotel (838),1979-04-20,1979,4,110,0,E,U
NWT,University Camp Snotel (838),1979-04-21,1979,4,111,0,E,U
NWT,University Camp Snotel (838),1979-04-22,1979,4,112,0,E,U
NWT,University Camp Snotel (838),1979-04-23,1979,4,113,0,E,U
NWT,University Camp Snotel (838),1979-04-24,1979,4,114,0,E,U
NWT,University Camp Snotel (838),1979-04-25,1979,4,115,5,E,U
NWT,University Camp Snotel (838),1979-04-26,1979,4,116,0,V,U
NWT,University Camp Snotel (838),1979-04-27,1979,4,117,0,V,U
NWT,University Camp Snotel (838),1979-04-28,1979,4,118,0,E,U
NWT,University Camp Snotel (838),1979-04-29,1979,4,119,0,E,U
NWT,University Camp Snotel (838),1979-04-30,1979,4,120,0,V,U
NWT,University Camp Snotel (838),1979-05-01,1979,5,121,13,V,U
NWT,University Camp Snotel (838),1979-05-02,1979,5,122,20,V,U
NWT,University Camp Snotel (838),1979-05-03,1979,5,123,0,E,U
NWT,University Camp Snotel (838),1979-05-04,1979,5,124,5,E,U
NWT,University Camp Snotel (838),1979-05-05,1979,5,125,3,V,U
NWT,University Camp Snotel (838),1979-05-06,1979,5,126,0,V,U
NWT,University Camp Snotel (838),1979-05-07,1979,5,127,18,E,U
NWT,University Camp Snotel (838),1979-05-08,1979,5,128,18,E,U
NWT,University Camp Snotel (838),1979-05-09,1979,5,129,5,V,U
NWT,University Camp Snotel (838),1979-05-10,1979,5,130,5,V,U
NWT,University Camp Snotel (838),1979-05-11,1979,5,131,0,V,U
NWT,University Camp Snotel (838),1979-05-12,1979,5,132,8,E,U
NWT,University Camp Snotel (838),1979-05-13,1979,5,133,0,E,U
NWT,University Camp Snotel (838),1979-05-14,1979,5,134,0,V,U
NWT,University Camp Snotel (838),1979-05-15,1979,5,135,0,V,U
NWT,University Camp Snotel (838),1979-05-16,1979,5,136,0,V,U
NWT,University Camp Snotel (838),1979-05-17,1979,5,137,0,E,U
NWT,University Camp Snotel (838),1979-05-18,1979,5,138,0,E,U
NWT,University Camp Snotel (838),1979-05-19,1979,5,139,0,V,U
NWT,University Camp Snotel (838),1979-05-20,1979,5,140,0,V,U
NWT,University Camp Snotel (838),1979-05-21,1979,5,141,3,V,U
NWT,University Camp Snotel (838),1979-05-22,1979,5,142,0,V,U
NWT,University Camp Snotel (838),1979-05-23,1979,5,143,0,V,U
NWT,University Camp Snotel (838),1979-05-24,1979,5,144,0,V,U
NWT,University Camp Snotel (838),1979-05-25,1979,5,145,5,V,U
NWT,University Camp Snotel (838),1979-05-26,1979,5,146,0,V,U
NWT,University Camp Snotel (838),1979-05-27,1979,5,147,0,V,U
NWT,University Camp Snotel (838),1979-05-28,1979,5,148,0,V,U
NWT,University Camp Snotel (838),1979-05-29,1979,5,149,10,V,U
NWT,University Camp Snotel (838),1979-05-30,1979,5,150,23,V,U
NWT,University Camp Snotel (838),1979-05-31,1979,5,151,0,V,U
NWT,University Camp Snotel (838),1979-06-01,1979,6,152,0,E,U
NWT,University Camp Snotel (838),1979-06-02,1979,6,153,0,E,U
NWT,University Camp Snotel (838),1979-06-03,1979,6,154,3,V,U
NWT,University Camp Snotel (838),1979-06-04,1979,6,155,0,V,U
NWT,University Camp Snotel (838),1979-06-05,1979,6,156,0,V,U
NWT,University Camp Snotel (838),1979-06-06,1979,6,157,0,V,U
NWT,University Camp Snotel (838),1979-06-07,1979,6,158,25,V,U
NWT,University Camp Snotel (838),1979-06-08,1979,6,159,18,V,U
NWT,University Camp Snotel (838),1979-06-09,1979,6,160,0,V,U
NWT,University Camp Snotel (838),1979-06-10,1979,6,161,0,E,U
NWT,University Camp Snotel (838),1979-06-11,1979,6,162,0,E,U
NWT,University Camp Snotel (838),1979-06-12,1979,6,163,0,V,U
NWT,University Camp Snotel (838),1979-06-13,1979,6,164,0,V,U
NWT,University Camp Snotel (838),1979-06-14,1979,6,165,0,V,U
NWT,University Camp Snotel (838),1979-06-15,1979,6,166,0,V,U
NWT,University Camp Snotel (838),1979-06-16,1979,6,167,0,E,U
NWT,University Camp Snotel (838),1979-06-17,1979,6,168,0,E,U
NWT,University Camp Snotel (838),1979-06-18,1979,6,169,8,V,U
NWT,University Camp Snotel (838),1979-06-19,1979,6,170,3,E,U
NWT,University Camp Snotel (838),1979-06-20,1979,6,171,0,E,U
NWT,University Camp Snotel (838),1979-06-21,1979,6,172,0,E,U
NWT,University Camp Snotel (838),1979-06-22,1979,6,173,0,E,U
NWT,University Camp Snotel (838),1979-06-23,1979,6,174,0,E,U
NWT,University Camp Snotel (838),1979-06-24,1979,6,175,0,V,U
NWT,University Camp Snotel (838),1979-06-25,1979,6,176,0,E,U
NWT,University Camp Snotel (838),1979-06-26,1979,6,177,0,E,U
NWT,University Camp Snotel (838),1979-06-27,1979,6,178,3,V,U
NWT,University Camp Snotel (838),1979-06-28,1979,6,179,0,V,U
NWT,University Camp Snotel (838),1979-06-29,1979,6,180,0,V,U
NWT,University Camp Snotel (838),1979-06-30,1979,6,181,0,V,U
NWT,University Camp Snotel (838),1979-07-01,1979,7,182,3,E,U
NWT,University Camp Snotel (838),1979-07-02,1979,7,183,0,E,U
NWT,University Camp Snotel (838),1979-07-03,1979,7,184,18,E,U
NWT,University Camp Snotel (838),1979-07-04,1979,7,185,3,V,U
NWT,University Camp Snotel (838),1979-07-05,1979,7,186,0,V,U
NWT,University Camp Snotel (838),1979-07-06,1979,7,187,8,V,U
NWT,University Camp Snotel (838),1979-07-07,1979,7,188,0,V,U
NWT,University Camp Snotel (838),1979-07-08,1979,7,189,0,V,U
NWT,University Camp Snotel (838),1979-07-09,1979,7,190,0,V,U
NWT,University Camp Snotel (838),1979-07-10,1979,7,191,0,V,U
NWT,University Camp Snotel (838),1979-07-11,1979,7,192,0,V,U
NWT,University Camp Snotel (838),1979-07-12,1979,7,193,0,V,U
NWT,University Camp Snotel (838),1979-07-13,1979,7,194,0,V,U
NWT,University Camp Snotel (838),1979-07-14,1979,7,195,0,V,U
NWT,University Camp Snotel (838),1979-07-15,1979,7,196,0,V,U
NWT,University Camp Snotel (838),1979-07-16,1979,7,197,0,V,U
NWT,University Camp Snotel (838),1979-07-17,1979,7,198,0,V,U
NWT,University Camp Snotel (838),1979-07-18,1979,7,199,3,V,U
NWT,University Camp Snotel (838),1979-07-19,1979,7,200,0,E,U
NWT,University Camp Snotel (838),1979-07-20,1979,7,201,0,E,U
NWT,University Camp Snotel (838),1979-07-21,1979,7,202,0,E,U
NWT,University Camp Snotel (838),1979-07-22,1979,7,203,0,E,U
NWT,University Camp Snotel (838),1979-07-23,1979,7,204,0,E,U
NWT,University Camp Snotel (838),1979-07-24,1979,7,205,3,V,U
NWT,University Camp Snotel (838),1979-07-25,1979,7,206,0,E,U
NWT,University Camp Snotel (838),1979-07-26,1979,7,207,0,E,U
NWT,University Camp Snotel (838),1979-07-27,1979,7,208,5,E,U
NWT,University Camp Snotel (838),1979-07-28,1979,7,209,0,E,U
NWT,University Camp Snotel (838),1979-07-29,1979,7,210,0,E,U
NWT,University Camp Snotel (838),1979-07-30,1979,7,211,0,V,U
NWT,University Camp Snotel (838),1979-07-31,1979,7,212,3,V,U
NWT,University Camp Snotel (838),1979-08-01,1979,8,213,0,E,U
NWT,University Camp Snotel (838),1979-08-02,1979,8,214,0,E,U
NWT,University Camp Snotel (838),1979-08-03,1979,8,215,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-04,1979,8,216,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-05,1979,8,217,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-06,1979,8,218,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-07,1979,8,219,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-08,1979,8,220,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-09,1979,8,221,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-10,1979,8,222,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-11,1979,8,223,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-12,1979,8,224,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-13,1979,8,225,20,E,U
NWT,University Camp Snotel (838),1979-08-14,1979,8,226,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-15,1979,8,227,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-16,1979,8,228,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-17,1979,8,229,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-18,1979,8,230,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-19,1979,8,231,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-20,1979,8,232,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-21,1979,8,233,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-22,1979,8,234,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-23,1979,8,235,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-24,1979,8,236,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-25,1979,8,237,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-26,1979,8,238,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-27,1979,8,239,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-28,1979,8,240,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-29,1979,8,241,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-30,1979,8,242,NA,NA,NA
NWT,University Camp Snotel (838),1979-08-31,1979,8,243,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-01,1979,9,244,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-02,1979,9,245,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-03,1979,9,246,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-04,1979,9,247,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-05,1979,9,248,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-06,1979,9,249,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-07,1979,9,250,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-08,1979,9,251,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-09,1979,9,252,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-10,1979,9,253,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-11,1979,9,254,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-12,1979,9,255,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-13,1979,9,256,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-14,1979,9,257,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-15,1979,9,258,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-16,1979,9,259,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-17,1979,9,260,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-18,1979,9,261,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-19,1979,9,262,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-20,1979,9,263,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-21,1979,9,264,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-22,1979,9,265,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-23,1979,9,266,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-24,1979,9,267,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-25,1979,9,268,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-26,1979,9,269,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-27,1979,9,270,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-28,1979,9,271,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-29,1979,9,272,NA,NA,NA
NWT,University Camp Snotel (838),1979-09-30,1979,9,273,NA,NA,NA
NWT,University Camp Snotel (838),1979-10-01,1979,10,274,0,V,U
NWT,University Camp Snotel (838),1979-10-02,1979,10,275,0,V,U
NWT,University Camp Snotel (838),1979-10-03,1979,10,276,0,V,U
NWT,University Camp Snotel (838),1979-10-04,1979,10,277,0,V,U
NWT,University Camp Snotel (838),1979-10-05,1979,10,278,0,V,U
NWT,University Camp Snotel (838),1979-10-06,1979,10,279,0,V,U
NWT,University Camp Snotel (838),1979-10-07,1979,10,280,0,E,U
NWT,University Camp Snotel (838),1979-10-08,1979,10,281,0,E,U
NWT,University Camp Snotel (838),1979-10-09,1979,10,282,5,V,U
NWT,University Camp Snotel (838),1979-10-10,1979,10,283,0,V,U
NWT,University Camp Snotel (838),1979-10-11,1979,10,284,0,V,U
NWT,University Camp Snotel (838),1979-10-12,1979,10,285,0,V,U
NWT,University Camp Snotel (838),1979-10-13,1979,10,286,0,V,U
NWT,University Camp Snotel (838),1979-10-14,1979,10,287,0,V,U
NWT,University Camp Snotel (838),1979-10-15,1979,10,288,0,V,U
NWT,University Camp Snotel (838),1979-10-16,1979,10,289,0,V,U
NWT,University Camp Snotel (838),1979-10-17,1979,10,290,0,V,U
NWT,University Camp Snotel (838),1979-10-18,1979,10,291,0,V,U
NWT,University Camp Snotel (838),1979-10-19,1979,10,292,0,V,U
NWT,University Camp Snotel (838),1979-10-20,1979,10,293,3,V,U
NWT,University Camp Snotel (838),1979-10-21,1979,10,294,3,E,U
NWT,University Camp Snotel (838),1979-10-22,1979,10,295,0,E,U
