year,month,frosts0,frostsneg3
1995,5,30,29
1996,5,22,8
1997,5,26,17
1998,5,22,16
1999,5,28,16
2000,5,19,11
2001,5,15,9
2002,5,21,15
2003,5,16,15
2004,5,18,11
2005,5,23,11
2006,5,20,12
2007,5,19,11
2008,5,25,18
2009,5,20,11
2010,5,28,21
2011,5,26,22
2012,5,21,13
2013,5,21,17
2014,5,17,11
2015,5,29,13
2016,5,26,14
2017,5,23,15
2018,5,12,6
1982,6,25,13
1983,6,22,11
1984,6,15,10
1985,6,14,7
1986,6,14,5
1987,6,14,2
1988,6,6,1
1989,6,23,10
1990,6,8,3
1991,6,13,3
1992,6,18,7
1993,6,16,8
1994,6,5,1
1995,6,17,3
1996,6,4,2
1997,6,8,0
1998,6,16,8
1999,6,12,3
2000,6,7,2
2001,6,6,2
2002,6,5,0
2003,6,8,3
2004,6,7,3
2005,6,11,4
2006,6,1,0
2007,6,3,3
2008,6,10,6
2009,6,8,0
2010,6,4,0
2011,6,7,0
2012,6,2,0
2013,6,3,1
2014,6,6,2
2015,6,0,0
2016,6,2,0
2017,6,1,0
2018,6,1,0
1982,7,8,1
1983,7,5,0
1984,7,2,0
1985,7,5,0
1986,7,9,1
1987,7,7,0
1988,7,2,0
1989,7,0,0
1990,7,10,1
1991,7,5,0
1992,7,11,4
1993,7,8,3
1994,7,4,1
1995,7,4,0
1996,7,0,0
1997,7,1,0
1998,7,0,0
1999,7,0,0
2000,7,0,0
2001,7,0,0
2002,7,0,0
2003,7,0,0
2004,7,0,0
2005,7,0,0
2006,7,0,0
2007,7,0,0
2008,7,0,0
2009,7,0,0
2010,7,0,0
2011,7,0,0
2012,7,0,0
2013,7,0,0
2014,7,1,0
2015,7,0,0
2016,7,0,0
2017,7,0,0
2018,7,0,0
1982,8,1,0
1983,8,0,0
1984,8,2,0
1985,8,12,3
1986,8,7,0
1987,8,8,1
1988,8,2,0
1989,8,3,0
1990,8,12,1
1991,8,1,0
1992,8,11,6
1993,8,2,1
1994,8,0,0
1995,8,0,0
1996,8,0,0
1997,8,1,0
1998,8,1,0
1999,8,0,0
2000,8,0,0
2001,8,0,0
2002,8,0,0
2003,8,0,0
2004,8,2,0
2005,8,0,0
2006,8,0,0
2007,8,0,0
2008,8,3,0
2009,8,0,0
2010,8,0,0
2011,8,0,0
2012,8,0,0
2013,8,0,0
2014,8,0,0
2015,8,2,0
2016,8,0,0
2017,8,0,0
2018,8,0,0
1982,9,16,2
1983,9,15,10
1984,9,16,7
1985,9,15,9
1986,9,17,12
1987,9,18,9
1988,9,20,10
1989,9,19,13
1990,9,14,10
1991,9,15,1
1992,9,17,8
1993,9,15,9
1994,9,25,10
1995,9,13,6
1996,9,15,8
1997,9,10,9
1998,9,7,1
1999,9,4,0
2000,9,17,5
2001,9,6,4
2002,9,5,3
2003,9,11,3
2004,9,12,4
2005,9,12,5
2006,9,4,1
2007,9,13,7
2008,9,7,3
2009,9,6,0
2010,9,8,5
2011,9,4,0
2012,9,11,1
2013,9,6,0
2014,9,8,3
2015,9,4,4
2016,9,2,0
2017,9,7,3
2018,9,10,3
1982,10,30,28
1983,10,31,26
1984,10,31,27
1985,10,31,31
1986,10,31,26
1987,10,31,27
1988,10,28,23
1989,10,31,17
1990,10,28,24
1991,10,30,24
1992,10,24,14
1993,10,26,20
1994,10,27,26
1995,10,31,27
1996,10,29,24
1997,10,23,16
1998,10,24,19
1999,10,30,18
2000,10,22,13
2001,10,26,17
2002,10,21,17
2003,10,31,24
2004,10,17,8
2005,10,29,16
2006,10,22,13
2007,10,26,21
2008,10,20,16
2009,10,20,13
2010,10,29,26
2011,10,22,13
2012,10,22,16
2013,10,23,15
2014,10,27,20
2015,10,20,10
2016,10,18,8
2017,10,15,10
2018,10,26,21
1982,11,30,27
1983,11,30,30
1984,11,30,30
1985,11,30,30
1986,11,30,30
1987,11,30,30
1988,11,29,28
1989,11,30,30
1990,11,29,27
1991,11,30,28
1992,11,30,30
1993,11,30,30
1994,11,30,30
1995,11,30,29
1996,11,30,30
1997,11,30,29
1998,11,30,29
1999,11,30,28
2000,11,24,16
2001,11,30,30
2002,11,29,23
2003,11,30,29
2004,11,30,29
2005,11,30,27
2006,11,29,23
2007,11,29,25
2008,11,29,21
2009,11,29,27
2010,11,28,22
2011,11,29,26
2012,11,30,29
2013,11,29,24
2014,11,30,29
2015,11,29,26
2016,11,28,27
2017,11,29,19
2018,11,30,22
1982,12,31,31
1983,12,31,31
1984,12,31,31
1985,12,31,31
1986,12,31,31
1987,12,31,31
1988,12,31,30
1989,12,31,31
1990,12,31,31
1991,12,31,31
1992,12,31,31
1993,12,31,31
1994,12,31,31
1995,12,31,31
1996,12,31,31
1997,12,31,31
1998,12,31,31
1999,12,31,29
2000,12,31,31
2001,12,31,31
2002,12,31,31
2003,12,31,31
2004,12,31,29
2005,12,31,31
2006,12,31,31
2007,12,31,31
2008,12,31,31
2009,12,31,31
2010,12,31,31
2011,12,31,31
2012,12,31,30
2013,12,31,30
2014,12,31,31
2015,12,31,28
2016,12,31,31
2017,12,31,31
2018,12,31,31
