LTER_site,local_site,date,doy,year,month,day,precipitation.mm,flag.1,flag.2,source.station,pvalue,rsquared,x.obs.in.regression,regression.equation,raw_ppt_tot,raw_qdays
NWT,C1,1952-01-25,25,1952,1,25,4.278053614,D,A,53113,0.002825536,0.294898651,28,y=0.268023812757521x+1.06143496485606,NA,NA
NWT,C1,1952-01-26,26,1952,1,26,4.305141696,D,A,53113,0.002143865,0.330059264,26,y=0.31072920910546x+1.0886352036136,NA,NA
NWT,C1,1952-01-27,27,1952,1,27,2.855969408,D,A,53113,0.007518159,0.271874992,25,y=0.315656608219453x+1.26319729348155,NA,NA
NWT,C1,1952-01-28,28,1952,1,28,0,D,A,50183,5.51931e-4,0.226258443,49,y=0.247484933495848x+1.22521458987023,NA,NA
NWT,C1,1952-01-29,29,1952,1,29,0,D,A,53113,7.16861e-4,0.330539355,31,y=0.377697094150982x+1.22414021869487,NA,NA
NWT,C1,1952-01-30,30,1952,1,30,0,D,A,50183,1.25e-5,0.361715833,45,y=0.332217276719655x+1.16249697716668,NA,NA
NWT,C1,1952-01-31,31,1952,1,31,0,D,A,50183,7.34e-7,0.488957157,39,y=0.415293431166759x+1.03860758497389,NA,NA
NWT,C1,1952-02-01,32,1952,2,1,0,D,A,50183,2.49e-6,0.483764556,36,y=0.426195120897778x+1.07412968188628,NA,NA
NWT,C1,1952-02-02,33,1952,2,2,0,D,A,50183,1.09e-5,0.469513028,33,y=0.448257316110094x+1.09473662950332,NA,NA
NWT,C1,1952-02-03,34,1952,2,3,2.635357898,D,A,53113,8.84e-5,0.405821197,32,y=0.439294021525895x+0.86402030210146,NA,NA
NWT,C1,1952-02-04,35,1952,2,4,1.869925216,D,A,53113,6.91455e-4,0.341827027,30,y=0.404555067456635x+0.899892999155021,NA,NA
NWT,C1,1952-02-05,36,1952,2,5,2.541153037,D,A,53113,0.004417081,0.302214979,25,y=0.399474507029824x+0.764303957191017,NA,NA
NWT,C1,1952-02-06,37,1952,2,6,0,D,A,53113,0.003031334,0.362444571,22,y=0.445398236084667x+0.888187999245941,NA,NA
NWT,C1,1952-02-07,38,1952,2,7,0,D,A,53496,3.25621e-4,0.129022103,96,y=0.221058065379049x+0.774092291752018,NA,NA
NWT,C1,1952-02-08,39,1952,2,8,0,D,A,53496,9.99e-5,0.146580273,98,y=0.224045662794071x+0.785782872982715,NA,NA
NWT,C1,1952-02-09,40,1952,2,9,0,D,A,53496,1.69e-5,0.172864193,100,y=0.243674498309017x+0.747639173901881,NA,NA
NWT,C1,1952-02-10,41,1952,2,10,0,D,A,53496,8.88e-7,0.211779541,104,y=0.26079589589067x+0.733471598744558,NA,NA
NWT,C1,1952-02-11,42,1952,2,11,0,D,A,53496,5.81e-6,0.164280873,117,y=0.233266647335259x+0.824420399220371,NA,NA
NWT,C1,1952-02-12,43,1952,2,12,0,D,A,53496,2e-5,0.146846552,117,y=0.232638663398042x+0.87733530592111,NA,NA
NWT,C1,1952-02-13,44,1952,2,13,2.556031244,D,A,53496,1.42e-7,0.223469694,112,y=0.286258578230938x+0.870035122319322,NA,NA
NWT,C1,1952-02-14,45,1952,2,14,1.319928957,D,A,53496,8.4e-7,0.205434792,108,y=0.276942605878368x+0.910865824044774,NA,NA
NWT,C1,1952-02-15,46,1952,2,15,0,D,A,53496,2.54e-7,0.213704723,113,y=0.294909488223747x+0.897142022879889,NA,NA
NWT,C1,1952-02-16,47,1952,2,16,0,D,A,53496,6.16e-7,0.196703812,116,y=0.280200306207209x+0.955681692299075,NA,NA
NWT,C1,1952-02-17,48,1952,2,17,3.673466036,D,A,53496,5.5e-7,0.190728976,121,y=0.272110302186557x+0.997872616561701,NA,NA
NWT,C1,1952-02-18,49,1952,2,18,2.320695122,D,A,53496,3.69e-7,0.215508296,109,y=0.287230477930946x+0.919938511906838,NA,NA
NWT,C1,1952-02-19,50,1952,2,19,1.555435778,D,A,53113,0.004179047,0.250018159,31,y=0.307849031724772x+0.863638530771465,NA,NA
NWT,C1,1952-02-20,51,1952,2,20,1.355908552,D,A,53113,0.02045008,0.171756061,31,y=0.259355748361199x+0.897543583512753,NA,NA
NWT,C1,1952-02-21,52,1952,2,21,3.523344394,D,A,53496,3.84e-5,0.149716797,107,y=0.219986506058113x+0.980327779568606,NA,NA
NWT,C1,1952-02-22,53,1952,2,22,0,D,A,50183,0.009365621,0.157082091,42,y=0.168054298178272x+1.42023178244515,NA,NA
NWT,C1,1952-02-23,54,1952,2,23,0,D,A,50183,4.12895e-4,0.264976188,43,y=0.226981696301422x+1.34019387093366,NA,NA
NWT,C1,1952-02-24,55,1952,2,24,0,D,A,50183,0.001660696,0.237294388,39,y=0.238509562450031x+1.27453093892513,NA,NA
NWT,C1,1952-02-25,56,1952,2,25,0,D,A,50183,3.10505e-4,0.274579616,43,y=0.257745776417699x+1.27869393146409,NA,NA
NWT,C1,1952-02-26,57,1952,2,26,0,D,A,50183,2.96e-5,0.349826072,43,y=0.300415189643975x+1.20686525592499,NA,NA
NWT,C1,1952-02-27,58,1952,2,27,0,D,A,50183,9.39e-6,0.356576333,47,y=0.311016802353568x+1.17898972745297,NA,NA
NWT,C1,1952-02-28,59,1952,2,28,1.511295455,D,A,50183,3.7e-8,0.451004448,53,y=0.34754992471089x+1.2077136946354,NA,NA
NWT,C1,1952-02-29,60,1952,2,29,6.616267583,D,A,50183,3.7e-8,0.451004448,53,y=0.34754992471089x+1.2077136946354,NA,NA
NWT,C1,1952-03-01,61,1952,3,1,1.433320376,D,A,50183,6.24e-11,0.56368871,54,y=0.388430911489638x+1.24822322069635,NA,NA
NWT,C1,1952-03-02,62,1952,3,2,9.298966788,D,A,50183,7.32e-12,0.59074282,55,y=0.426637194361972x+1.24076269095563,NA,NA
NWT,C1,1952-03-03,63,1952,3,3,1.455179208,D,A,50183,8.32e-11,0.558892398,54,y=0.398373369623538x+1.2860941228028,NA,NA
NWT,C1,1952-03-04,64,1952,3,4,0,D,A,50183,9.5e-11,0.536401199,57,y=0.381862084379978x+1.29762779928949,NA,NA
NWT,C1,1952-03-05,65,1952,3,5,0,D,A,50183,2.57e-10,0.500893666,60,y=0.371807971583266x+1.29778110230342,NA,NA
NWT,C1,1952-03-06,66,1952,3,6,0,D,A,50183,1.3e-12,0.589448441,59,y=0.393396608387585x+1.28457249632193,NA,NA
NWT,C1,1952-03-07,67,1952,3,7,0,D,A,50183,2.12e-11,0.547690683,59,y=0.355322238880024x+1.27973311088952,NA,NA
NWT,C1,1952-03-08,68,1952,3,8,0,D,A,50183,4.17e-9,0.469264306,57,y=0.309433052309225x+1.3262087438748,NA,NA
NWT,C1,1952-03-09,69,1952,3,9,2.146085232,D,A,50183,7.7e-7,0.366487872,56,y=0.260636993380033x+1.35964703387091,NA,NA
NWT,C1,1952-03-10,70,1952,3,10,5.357139464,D,A,50183,1.33e-6,0.329295269,61,y=0.254584286798803x+1.24038696795652,NA,NA
NWT,C1,1952-03-11,71,1952,3,11,0,D,A,50183,6.81e-6,0.30556541,58,y=0.26097982406896x+1.24568494320897,NA,NA
NWT,C1,1952-03-12,72,1952,3,12,0,D,A,50183,4.41e-5,0.255665559,59,y=0.231771393598735x+1.23588351405438,NA,NA
NWT,C1,1952-03-13,73,1952,3,13,0,D,A,52759,5.2462e-4,0.194781577,58,y=0.267451049142025x+1.46608817027297,NA,NA
NWT,C1,1952-03-14,74,1952,3,14,4.422147491,D,A,52759,3.07e-5,0.281709705,55,y=0.346767898319551x+1.48112106781648,NA,NA
NWT,C1,1952-03-15,75,1952,3,15,0,D,A,52759,3.34e-7,0.354401654,62,y=0.385840854300641x+1.43842027414247,NA,NA
NWT,C1,1952-03-16,76,1952,3,16,0,D,A,52759,1.29e-6,0.308634536,66,y=0.327389642970306x+1.35674455560493,NA,NA
NWT,C1,1952-03-17,77,1952,3,17,0,D,A,52759,7.12e-7,0.342990296,61,y=0.325834875817407x+1.38939799383125,NA,NA
NWT,C1,1952-03-18,78,1952,3,18,0,D,A,52759,7.37e-8,0.366171188,66,y=0.331127770681707x+1.32993786557083,NA,NA
NWT,C1,1952-03-19,79,1952,3,19,0,D,A,52759,1.53e-5,0.262156113,64,y=0.292573579795522x+1.33522052086429,NA,NA
NWT,C1,1952-03-20,80,1952,3,20,6.521010413,D,A,52759,3.18e-5,0.245220059,64,y=0.280412987721735x+1.35669859844007,NA,NA
NWT,C1,1952-03-21,81,1952,3,21,7.981761753,D,A,52759,5.77e-5,0.21880205,68,y=0.260858288426342x+1.34572131934064,NA,NA
NWT,C1,1952-03-22,82,1952,3,22,0,D,A,53496,8.31e-7,0.205586934,108,y=0.268308231484774x+1.03355156755899,NA,NA
NWT,C1,1952-03-23,83,1952,3,23,1.653586028,D,A,53496,9.97e-6,0.167440185,109,y=0.244177319932225x+1.06130942474327,NA,NA
NWT,C1,1952-03-24,84,1952,3,24,4.422492851,D,A,53496,1.46848e-4,0.126561121,109,y=0.210577066930415x+1.09746133771034,NA,NA
NWT,C1,1952-03-25,85,1952,3,25,0,D,A,52759,0.006390362,0.10888972,67,y=0.199501001630603x+1.35086543331479,NA,NA
NWT,C1,1952-03-26,86,1952,3,26,3.97284417,D,A,52759,0.00290541,0.123074268,70,y=0.196797300046149x+1.33244437312048,NA,NA
NWT,C1,1952-03-27,87,1952,3,27,0,D,A,52759,0.009384027,0.092524579,72,y=0.170236926262534x+1.39193091056953,NA,NA
NWT,C1,1952-03-28,88,1952,3,28,0,D,A,50183,0.00289923,0.128465932,67,y=0.162160844237428x+1.35359414584605,NA,NA
NWT,C1,1952-03-29,89,1952,3,29,0,D,A,50183,0.003928793,0.119226292,68,y=0.161236467897363x+1.29292353960493,NA,NA
NWT,C1,1952-03-30,90,1952,3,30,0,D,A,50183,0.002418704,0.120739316,74,y=0.16917834877721x+1.27520189783133,NA,NA
NWT,C1,1952-03-31,91,1952,3,31,5.969993331,D,A,50183,2.84e-5,0.220060085,73,y=0.227893427536441x+1.33966824474437,NA,NA
NWT,C1,1952-04-01,92,1952,4,1,0,D,A,50183,2.28527e-4,0.182222158,70,y=0.205031355880602x+1.38010903460483,NA,NA
NWT,C1,1952-04-02,93,1952,4,2,0,D,A,50183,2.72697e-4,0.193777505,64,y=0.211626573947544x+1.40865088291408,NA,NA
NWT,C1,1952-04-03,94,1952,4,3,0,D,A,50183,3.41498e-4,0.196868837,61,y=0.219035106094577x+1.41495650211403,NA,NA
NWT,C1,1952-04-04,95,1952,4,4,0,D,A,50183,1.5663e-4,0.234365394,56,y=0.238357130523668x+1.38660144338384,NA,NA
NWT,C1,1952-04-05,96,1952,4,5,0,D,A,50183,1.24408e-4,0.276390759,48,y=0.264070529643679x+1.42948599336094,NA,NA
NWT,C1,1952-04-06,97,1952,4,6,0,D,A,50183,8.98e-5,0.328490873,41,y=0.260727068649677x+1.51439362447903,NA,NA
NWT,C1,1952-04-07,98,1952,4,7,0,D,A,53113,0.01113832,0.26948472,23,y=0.402669334408165x+1.10784183800421,NA,NA
NWT,C1,1952-04-08,99,1952,4,8,3.177753225,D,A,53113,0.007776278,0.29194314,23,y=0.417658401970622x+0.91581654056603,NA,NA
NWT,C1,1952-04-09,100,1952,4,9,3.194361189,D,A,53113,0.006412046,0.281055243,25,y=0.434256869536149x+0.911477015924804,NA,NA
NWT,C1,1952-04-10,101,1952,4,10,0,D,A,53113,5.7868e-4,0.395534392,26,y=0.468660721137659x+0.983517353749939,NA,NA
NWT,C1,1952-04-11,102,1952,4,11,0.962133244,D,A,53113,3.16e-5,0.506366087,27,y=0.473738163055839x+1.04470029065341,NA,NA
NWT,C1,1952-04-12,103,1952,4,12,5.853119945,D,A,53113,2.75e-5,0.497772714,28,y=0.475269328212383x+1.13124071688551,NA,NA
NWT,C1,1952-04-13,104,1952,4,13,2.52637301,D,A,53113,1.19e-5,0.542423173,27,y=0.458298416975036x+1.05135418895052,NA,NA
NWT,C1,1952-04-14,105,1952,4,14,0,D,A,53113,4.30282e-4,0.362613205,30,y=0.368836566726254x+1.21041086647358,NA,NA
NWT,C1,1952-04-15,106,1952,4,15,3.882345782,D,A,53113,2.94e-5,0.446323946,32,y=0.385867786789465x+1.35031453975788,NA,NA
NWT,C1,1952-04-16,107,1952,4,16,4.671296359,D,A,53113,2.92e-6,0.500234497,34,y=0.4242982979498x+1.36266343590075,NA,NA
NWT,C1,1952-04-17,108,1952,4,17,0,D,A,50183,1.17e-7,0.413983116,55,y=0.350920054129359x+1.33088149349071,NA,NA
NWT,C1,1952-04-18,109,1952,4,18,0,D,A,50183,2.09e-7,0.379204564,59,y=0.327354128120721x+1.38821732181796,NA,NA
NWT,C1,1952-04-19,110,1952,4,19,0,D,A,50183,4.01e-5,0.250396598,61,y=0.286717126293119x+1.35925587267252,NA,NA
NWT,C1,1952-04-20,111,1952,4,20,0,D,A,50183,1.24619e-4,0.232938513,58,y=0.264546558856223x+1.38912657188592,NA,NA
NWT,C1,1952-04-21,112,1952,4,21,15.10178481,D,A,52759,3.08e-6,0.242132625,81,y=0.287553081339708x+1.70920719138083,NA,NA
NWT,C1,1952-04-22,113,1952,4,22,8.305370131,D,A,52759,5.69e-6,0.230671347,81,y=0.283322204325738x+1.71963706279904,NA,NA
NWT,C1,1952-04-23,114,1952,4,23,0,D,A,50183,1.59e-5,0.276590922,60,y=0.275608085562899x+1.43473082310083,NA,NA
NWT,C1,1952-04-24,115,1952,4,24,0,D,A,50183,2.14444e-4,0.215278785,59,y=0.238229924500966x+1.35607631929692,NA,NA
NWT,C1,1952-04-25,116,1952,4,25,0,D,A,52759,2.57e-5,0.216710365,75,y=0.278005706687405x+1.4741802967548,NA,NA
NWT,C1,1952-04-26,117,1952,4,26,0,D,A,50183,6.64e-6,0.341802304,51,y=0.293580473359398x+1.3972105279589,NA,NA
NWT,C1,1952-04-27,118,1952,4,27,0,D,A,50183,4.44e-8,0.422601661,57,y=0.334732465908147x+1.41169913949355,NA,NA
NWT,C1,1952-04-28,119,1952,4,28,0,D,A,50183,8.01e-7,0.355108092,58,y=0.301982726435739x+1.35889359889563,NA,NA
NWT,C1,1952-04-29,120,1952,4,29,6.751487171,D,A,50183,1.6327e-4,0.249518338,52,y=0.253204742300548x+1.31036422885922,NA,NA
NWT,C1,1952-04-30,121,1952,4,30,5.590975044,D,A,50183,7.18571e-4,0.226642463,47,y=0.247137183005932x+1.27442041583249,NA,NA
NWT,C1,1952-05-01,122,1952,5,1,0,D,A,52759,7.83e-6,0.222182562,82,y=0.303505420078505x+1.3728551819161,NA,NA
NWT,C1,1952-05-02,123,1952,5,2,0,D,A,50183,4.9e-5,0.27388971,54,y=0.256242752296415x+1.30990502558807,NA,NA
NWT,C1,1952-05-03,124,1952,5,3,0,D,A,50183,7.63e-6,0.312193057,56,y=0.289204694277677x+1.37159398151174,NA,NA
NWT,C1,1952-05-04,125,1952,5,4,0,D,A,50183,2.28e-5,0.303932949,52,y=0.291767280236573x+1.32575194903882,NA,NA
NWT,C1,1952-05-05,126,1952,5,5,0,D,A,50183,1.48e-7,0.42745415,52,y=0.361424912896787x+1.30321437831172,NA,NA
NWT,C1,1952-05-06,127,1952,5,6,0,D,A,50183,1.49e-9,0.501329137,55,y=0.376776917117526x+1.32845756658179,NA,NA
NWT,C1,1952-05-07,128,1952,5,7,0,D,A,50183,5.66e-8,0.423458578,56,y=0.344402175120672x+1.34108906094654,NA,NA
NWT,C1,1952-05-08,129,1952,5,8,0,D,A,50183,6.78e-8,0.438127839,53,y=0.374525836362156x+1.3159150224642,NA,NA
NWT,C1,1952-05-09,130,1952,5,9,3.905475465,D,A,53113,2.76552e-4,0.370969947,31,y=0.522421815954328x+1.14226313187323,NA,NA
NWT,C1,1952-05-10,131,1952,5,10,0,D,A,50183,3.3e-6,0.359734251,51,y=0.336400845079129x+1.22688900625915,NA,NA
NWT,C1,1952-05-11,132,1952,5,11,1.657953273,D,A,50183,2.65e-5,0.315754821,49,y=0.31624041553169x+1.22873454592931,NA,NA
NWT,C1,1952-05-12,133,1952,5,12,0,D,A,50183,1.7781e-4,0.26562304,48,y=0.295611684333625x+1.19304068724868,NA,NA
NWT,C1,1952-05-13,134,1952,5,13,0,D,A,50183,1.0058e-4,0.293604924,46,y=0.322773480721615x+1.29117937064668,NA,NA
NWT,C1,1952-05-14,135,1952,5,14,0,D,A,50183,5.79e-6,0.376442422,46,y=0.374883989053571x+1.24733465582423,NA,NA
NWT,C1,1952-05-15,136,1952,5,15,4.975744336,D,A,50183,8.42e-6,0.366095496,46,y=0.377084045199989x+1.18432022207575,NA,NA
NWT,C1,1952-05-16,137,1952,5,16,10.77305168,D,A,50183,3.66e-6,0.363063977,50,y=0.374376995208468x+1.20133987347525,NA,NA
NWT,C1,1952-05-17,138,1952,5,17,5.845669728,D,A,50183,7.82e-5,0.290204241,48,y=0.339489479205312x+1.12485518851499,NA,NA
NWT,C1,1952-05-18,139,1952,5,18,4.396242208,D,A,53113,0.012577365,0.391643831,15,y=0.30910097460828x+1.35051400451866,NA,NA
NWT,C1,1952-05-19,140,1952,5,19,6.755486123,D,A,53113,0.013275079,0.32631684,18,y=0.290233931533543x+1.31143800472612,NA,NA
NWT,C1,1952-05-20,141,1952,5,20,4.334010189,D,A,53113,0.043859729,0.218010581,19,y=0.214342946948353x+1.17978187181786,NA,NA
NWT,C1,1952-05-21,142,1952,5,21,0,D,A,50183,0.002197492,0.160740801,56,y=0.234645958251986x+1.08395328021395,NA,NA
NWT,C1,1952-05-22,143,1952,5,22,3.032899139,D,A,52759,2e-5,0.202255407,83,y=0.280043053850666x+1.18563711870984,NA,NA
NWT,C1,1952-05-23,144,1952,5,23,7.492162269,D,A,50183,3.21e-5,0.259652717,60,y=0.297147914075946x+1.09064389335803,NA,NA
NWT,C1,1952-05-24,145,1952,5,24,0,D,A,50183,9.12e-6,0.28984675,60,y=0.316974480161371x+1.08048183117305,NA,NA
NWT,C1,1952-05-25,146,1952,5,25,0,D,A,50183,1.73e-6,0.323594909,61,y=0.323686631514578x+1.1400283385908,NA,NA
NWT,C1,1952-05-26,147,1952,5,26,4.985839291,D,A,50183,9.85e-7,0.345492746,59,y=0.319607164807396x+1.20113649596711,NA,NA
NWT,C1,1952-05-27,148,1952,5,27,1.388662936,D,A,50183,2.92e-7,0.372106292,59,y=0.36848830551006x+1.17096790315429,NA,NA
NWT,C1,1952-05-28,149,1952,5,28,0,D,A,50183,2.37e-5,0.252111607,64,y=0.286097954673025x+1.18293365211371,NA,NA
NWT,C1,1952-05-29,150,1952,5,29,0,D,A,50183,2.05e-5,0.262702362,62,y=0.287096353568875x+1.23354907368083,NA,NA
NWT,C1,1952-05-30,151,1952,5,30,0,D,A,50183,2.17881e-4,0.218277205,58,y=0.248618123349769x+1.2991218530041,NA,NA
NWT,C1,1952-05-31,152,1952,5,31,0,D,A,50183,1.66278e-4,0.229017389,57,y=0.257504339553177x+1.23650310766226,NA,NA
NWT,C1,1952-06-01,153,1952,6,1,4.859196039,D,A,52759,0.003976844,0.10951973,74,y=0.200589599186365x+1.31255849729453,NA,NA
NWT,C1,1952-06-02,154,1952,6,2,0,D,A,52759,8.48207e-4,0.146057499,73,y=0.227319286817299x+1.24233256731686,NA,NA
NWT,C1,1952-06-03,155,1952,6,3,0,D,A,52759,0.002466763,0.121893977,73,y=0.204011831004235x+1.26807638761562,NA,NA
NWT,C1,1952-06-04,156,1952,6,4,0,D,A,50183,0.026094729,0.088357746,56,y=0.181148276657947x+1.18754905070275,NA,NA
NWT,C1,1952-06-05,157,1952,6,5,0,D,A,50183,0.00503878,0.129939111,59,y=0.227761285813419x+1.0755333828471,NA,NA
NWT,C1,1952-06-06,158,1952,6,6,0,D,A,50183,0.006446992,0.115422594,63,y=0.211902964791314x+1.07930796471564,NA,NA
NWT,C1,1952-06-07,159,1952,6,7,0,D,A,53113,0.032101169,0.131756816,35,y=0.26061081250873x+1.36463819337336,NA,NA
NWT,C1,1952-06-08,160,1952,6,8,0,D,A,50183,9.69e-5,0.225349808,62,y=0.307023964590013x+0.939537423538664,NA,NA
NWT,C1,1952-06-09,161,1952,6,9,0,D,A,50183,6.90894e-4,0.184326948,59,y=0.270157807584551x+1.00824388047167,NA,NA
NWT,C1,1952-06-10,162,1952,6,10,0,D,A,50183,1.93391e-4,0.214619877,60,y=0.272914720322946x+0.995318414839471,NA,NA
NWT,C1,1952-06-11,163,1952,6,11,0,D,A,50183,7.63e-5,0.270949597,52,y=0.30474141984812x+0.949139061491458,NA,NA
NWT,C1,1952-06-12,164,1952,6,12,0,D,A,53113,0.009780203,0.19647048,33,y=0.375213666290161x+0.974044527360164,NA,NA
NWT,C1,1952-06-13,165,1952,6,13,0,D,A,53113,0.018371819,0.161763877,34,y=0.340884836777481x+1.09873924911334,NA,NA
NWT,C1,1952-06-14,166,1952,6,14,0,D,A,53496,1.95e-5,0.190058565,89,y=0.316319614869971x+0.807991549899254,NA,NA
NWT,C1,1952-06-15,167,1952,6,15,0,D,A,53496,1.71e-6,0.227893238,91,y=0.309378462785303x+0.812193393096117,NA,NA
NWT,C1,1952-06-16,168,1952,6,16,0,D,A,53496,5.16e-8,0.290195206,89,y=0.332005425109299x+0.797945758664013,NA,NA
NWT,C1,1952-06-17,169,1952,6,17,0,D,A,53496,9.27e-7,0.250434707,86,y=0.31627553047737x+0.891061488547895,NA,NA
NWT,C1,1952-06-18,170,1952,6,18,0,D,A,53496,5.74e-7,0.272686015,81,y=0.33904373275882x+0.922024480883041,NA,NA
NWT,C1,1952-06-19,171,1952,6,19,2.509595623,D,A,53496,1.03e-5,0.229794478,77,y=0.315728826503226x+0.915109959889473,NA,NA
NWT,C1,1952-06-20,172,1952,6,20,0,D,A,50183,0.003669156,0.29124516,27,y=0.302447917791881x+0.94961339373369,NA,NA
NWT,C1,1952-06-21,173,1952,6,21,0,D,A,53500,7.18e-5,0.229324229,63,y=0.298020339595897x+0.98716237442943,NA,NA
NWT,C1,1952-06-22,174,1952,6,22,0,D,A,50183,0.008854167,0.252752467,26,y=0.271362201398483x+0.884875063944723,NA,NA
NWT,C1,1952-06-23,175,1952,6,23,1.414858573,D,A,53500,7.88052e-4,0.183728966,58,y=0.274827650345898x+0.975481192964408,NA,NA
NWT,C1,1952-06-24,176,1952,6,24,0,D,A,53500,0.00166025,0.165953795,57,y=0.256574258940758x+0.982414157402551,NA,NA
NWT,C1,1952-06-25,177,1952,6,25,3.828288968,D,A,53500,0.011663036,0.11209296,56,y=0.223818035456327x+0.957311848062797,NA,NA
NWT,C1,1952-06-26,178,1952,6,26,3.637921027,D,A,50183,0.023205534,0.150861576,34,y=0.199775837286843x+1.10518851227519,NA,NA
NWT,C1,1952-06-27,179,1952,6,27,2.997175255,D,A,53496,0.023691384,0.091204467,56,y=0.207598714083871x+1.09437497662,NA,NA
NWT,C1,1952-06-28,180,1952,6,28,0,D,A,53496,0.009352586,0.112661394,59,y=0.228816368542675x+1.04587373123097,NA,NA
NWT,C1,1952-06-29,181,1952,6,29,0,D,A,53496,0.030731439,0.083543593,56,y=0.206870106773837x+1.02584082888186,NA,NA
NWT,C1,1952-06-30,182,1952,6,30,0,D,A,50183,0.022019294,0.20778344,25,y=0.210905315724426x+0.976707550913998,NA,NA
NWT,C1,1952-07-01,183,1952,7,1,0,D,A,50183,0.001658438,0.321363505,28,y=0.260780497770061x+1.02455130578401,NA,NA
NWT,C1,1952-07-02,184,1952,7,2,0,D,A,50183,0.001566143,0.324158939,28,y=0.313886889642728x+0.874983346458011,NA,NA
NWT,C1,1952-07-03,185,1952,7,3,0,D,A,50183,0.003611353,0.273407767,29,y=0.279737532287765x+0.91152961612188,NA,NA
NWT,C1,1952-07-04,186,1952,7,4,0,D,A,50183,0.009086765,0.205937719,32,y=0.253728622054751x+0.988266961501656,NA,NA
NWT,C1,1952-07-05,187,1952,7,5,3.930689512,D,A,50183,0.008734005,0.171664579,39,y=0.235199426664842x+0.924834657361422,NA,NA
NWT,C1,1952-07-06,188,1952,7,6,3.785903066,D,A,50183,0.031539057,0.107862852,43,y=0.197619169709716x+0.98247214804068,NA,NA
