site,yr,date,plotid,block,plot,n,p,k,trt,point,hit,clean_code2,simple_name,Common_Name,Category,Family,Growth_Habit,fxnl_grp,nutnet_grp
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,61,1,TEGR3,Tetraneuris grandiflora,graylocks four-nerve daisy,Dicot,Asteraceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,62,1,SEDES,Selaginella densa,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Forb/herb,Forb,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,63,1,CARO2,Campanula rotundifolia,bluebell bellflower,Dicot,Campanulaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,64,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,65,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,65,2,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,66,1,CARO2,Campanula rotundifolia,bluebell bellflower,Dicot,Campanulaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,66,2,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,66,3,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,67,1,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,67,2,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,68,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,69,1,SOSIN,Solidago simplex,dwarf goldenrod,Dicot,Asteraceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,69,2,TEGR3,Tetraneuris grandiflora,graylocks four-nerve daisy,Dicot,Asteraceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,70,1,SIACS2,Silene acaulis,moss campion,Dicot,Caryophyllaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,70,2,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,71,1,TEGR3,Tetraneuris grandiflora,graylocks four-nerve daisy,Dicot,Asteraceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,72,1,TEGR3,Tetraneuris grandiflora,graylocks four-nerve daisy,Dicot,Asteraceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,72,2,CHJA,Chionophila jamesii,Rocky Mountain snowlover,Dicot,Scrophulariaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,73,1,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,74,1,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,75,1,SIACS2,Silene acaulis,moss campion,Dicot,Caryophyllaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,76,1,TEGR3,Tetraneuris grandiflora,graylocks four-nerve daisy,Dicot,Asteraceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,77,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,77,2,FEBR,Festuca brachyphylla,alpine fescue,Monocot,Poaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,78,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,79,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,80,1,POBI6,Polygonum bistortoides,American bistort,Dicot,Polygonaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,81,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,82,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,83,1,2RF,"Rock, fragments","Rock, fragments",NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,84,1,2LICHN,Lichen,Lichen,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,85,1,2LICHN,Lichen,Lichen,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,86,1,CHJA,Chionophila jamesii,Rocky Mountain snowlover,Dicot,Scrophulariaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,87,1,SEDES,Selaginella densa,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Forb/herb,Forb,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,88,1,ORALA,Oreoxis alpina,alpine oreoxis,Dicot,Apiaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,89,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,90,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,90,2,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,90,3,CHJA,Chionophila jamesii,Rocky Mountain snowlover,Dicot,Scrophulariaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,91,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,91,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,92,1,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,93,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,93,2,CHJA,Chionophila jamesii,Rocky Mountain snowlover,Dicot,Scrophulariaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,93,3,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,94,1,TEGR3,Tetraneuris grandiflora,graylocks four-nerve daisy,Dicot,Asteraceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,94,2,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,95,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,95,2,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,96,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,97,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,97,2,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,98,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,98,2,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,99,1,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,99,2,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,100,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,100,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,1,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,2,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,3,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,4,1,CAPU,Calamagrostis purpurascens,purple reedgrass,Monocot,Poaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,4,2,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,5,1,ALGE,Allium geyeri,Geyer's onion,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,5,2,CAPU,Calamagrostis purpurascens,purple reedgrass,Monocot,Poaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,6,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,7,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,8,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,9,1,CAPU,Calamagrostis purpurascens,purple reedgrass,Monocot,Poaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,9,2,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,9,3,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,10,1,CARO2,Campanula rotundifolia,bluebell bellflower,Dicot,Campanulaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,11,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,12,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,13,1,CAPU,Calamagrostis purpurascens,purple reedgrass,Monocot,Poaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,14,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,15,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,16,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_2,B1,2,0,0,1,K,16,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
