site,surveydate,plot,jgs_plot,trt,meadow,snow,clean_code2,hits
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,LLSE,0.25
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,MIOB2,1
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,ORALA,3
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,POBI6,0.25
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,POVI3,5
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,TRDA2,15
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,TRPAP,0.25
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,2BARE,7
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,2LICHN,3
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,2LTR,10
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,ARFEF3,4
sdl,2005-06-27,7,"292, 486 (NN)",N,dry,no snow,ARSC,0.25
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,CARO2,2
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,DECE,1
sdl,2005-06-27,7,"292, 486 (NN)",N,dry,no snow,ERSI3,0.25
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,FEBR,9
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,GERO2,11
sdl,2005-06-27,7,"292, 486 (NN)",N,dry,no snow,LLSE,0.25
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,MIOB2,1
sdl,2005-06-27,7,"292, 486 (NN)",N,dry,no snow,ORALA,0.25
sdl,2005-06-27,7,"292, 486 (NN)",N,dry,no snow,POBI6,0.25
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,POGL,5
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,TRDA2,1
sdl,2005-07-19,7,"292, 486 (NN)",N,dry,no snow,TRSP2,1
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,2LICHN,1
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,2LTR,8
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,ALGE,2
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,ARSC,2
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,CARO2,2
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,CARUD,4
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,CASC12,2
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,DECE,7
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,ELYMU,0.25
sdl,2005-06-27,8,"099, 493 (NN)",N,dry,no snow,ERSI3,0.25
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,FESTU,2
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,GERO2,20
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,KOMY,9
sdl,2005-06-27,8,"099, 493 (NN)",N,dry,no snow,LLSE,0.25
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,MIOB2,5
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,ORALA,2
sdl,2005-06-27,8,"099, 493 (NN)",N,dry,no snow,POBI6,0.25
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,POVI3,1
sdl,2005-07-21,8,"099, 493 (NN)",N,dry,no snow,TEGR3,0.25
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,2BARE,3
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,2LTR,2
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,ARFEF3,0.25
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,ARSC,8
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,CARO2,0.25
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,DECE,1
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,FEBR,6
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,GERO2,20
sdl,2005-06-27,9,"408, 487 (NP)",N+P,dry,no snow,MELA3,0.25
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,NOFEG,0.25
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,ORALA,12
sdl,2005-06-27,9,"408, 487 (NP)",N+P,dry,no snow,POBI6,0.25
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,POGL,6
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,POVI3,1
sdl,2005-07-19,9,"408, 487 (NP)",N+P,dry,no snow,TRSP2,5
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,2LTR,10
sdl,2005-06-30,10,"290, 495 (NP)",N+P,dry,no snow,ARSC,0.25
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,CARO2,4
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,CEARS2,2
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,ERPI6,1
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,FESTU,7
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,GERO2,26
sdl,2005-06-30,10,"290, 495 (NP)",N+P,dry,no snow,MELA3,0.25
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,ORALA,5
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,PHPU5,1
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,POBI6,2
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,POGL,9
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,POVI3,1
sdl,2005-07-22,10,"290, 495 (NP)",N+P,dry,no snow,TRSP2,4
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,2LTR,5
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,ALGE,0.25
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,ARSC,23
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,CARO2,1
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,CASC12,12
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,CEARS2,6
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,DECE,1
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,ERSI3,7
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,FESTU,8
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,GERO2,4
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,MIOB2,0.25
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,POBI6,5
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,POGL,6
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,POVI3,2
sdl,2005-06-27,11,"410, 492 (NP)",N+P,dry,no snow,TEGR3,0.25
sdl,2005-07-21,11,"410, 492 (NP)",N+P,dry,no snow,TRDA2,3
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,2LTR,12
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,ARFEF3,0.25
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,ARSC,4
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,CAPU,3
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,CARO2,5
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,CEARS2,3
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,DECE,0.25
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,FESTU,3
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,GERO2,7
sdl,2005-06-27,12,"261, 498 (NP)",N+P,dry,no snow,LLSE,0.25
sdl,2005-06-27,12,"261, 498 (NP)",N+P,dry,no snow,MELA3,0.25
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,NOFEG,2
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,ORALA,7
sdl,2005-06-27,12,"261, 498 (NP)",N+P,dry,no snow,PHPU5,0.25
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,POBI6,1
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,POGL,8
sdl,2005-06-27,12,"261, 498 (NP)",N+P,dry,no snow,SELA,0.25
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,TRDA2,5
sdl,2005-07-22,12,"261, 498 (NP)",N+P,dry,no snow,TRSP2,5
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,2LICHN,2
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,2LTR,5
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,ALGE,1
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,ARSC,3
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,CAPU,3
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,CARO2,1
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,DECE,0.25
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,ERSI3,3
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,GERO2,4
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,KOMY,35
sdl,2005-06-30,13,"411, 496 (PP)",P,dry,no snow,LLSE,0.25
sdl,2005-06-30,13,"411, 496 (PP)",P,dry,no snow,MELA3,0.25
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,MIOB2,2
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,NOFEG,1
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,ORALA,1
sdl,2005-06-30,13,"411, 496 (PP)",P,dry,no snow,PHPU5,0.25
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,POBI6,1
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,POGL,2
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,TRDA2,2
sdl,2005-07-22,13,"411, 496 (PP)",P,dry,no snow,TRSP2,1
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,2LTR,2
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,ALGE,2
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,ARSC,4
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,CARO2,1
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,CARUD,2
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,CEARS2,0.25
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,DECE,1
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,FESTU,3
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,GERO2,10
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,KOMY,24
sdl,2005-06-27,14,"287, 491 (PP)",P,dry,no snow,LLSE,0.25
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,MIOB2,2
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,NOFEG,1
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,ORALA,4
sdl,2005-06-27,14,"287, 491 (PP)",P,dry,no snow,POBI6,0.25
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,POGL,2
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,POVI3,1
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,TEACC,0.25
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,TEGR3,1
sdl,2005-07-21,14,"287, 491 (PP)",P,dry,no snow,TRDA2,21
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,2LTR,3
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,ALGE,2
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,ARSC,6
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,CARO2,3
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,CEARS2,7
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,DECE,1
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,FESTU,6
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,GERO2,3
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,KOMY,14
sdl,2005-06-27,15,"289, 500 (PP)",P,dry,no snow,LLSE,0.25
sdl,2005-06-27,15,"289, 500 (PP)",P,dry,no snow,NOFEG,0.25
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,ORALA,5
sdl,2005-06-27,15,"289, 500 (PP)",P,dry,no snow,POBI6,0.25
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,SIACS2,1
sdl,2005-06-27,15,"289, 500 (PP)",P,dry,no snow,TEGR3,0.25
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,TRDA2,21
sdl,2005-07-22,15,"289, 500 (PP)",P,dry,no snow,TRSP2,2
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,2LICHN,2
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,2LTR,6
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,ALGE,0.25
sdl,2005-06-27,16,"296, 485 (PP)",P,dry,no snow,ARSC,0.25
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,CARO2,2
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,DECE,0.25
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,FESTU,2
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,GERO2,1
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,KOMY,38
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,MIOB2,1
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,ORALA,2
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,POVI3,1
sdl,2005-07-21,16,"296, 485 (PP)",P,dry,no snow,SIACS2,1
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,ALGE,5
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,ARSC,9
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,CAOC4,1
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,CASC12,1
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,CEARS2,0.25
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,DECE,10
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,ERSI3,5
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,GEAL2,2
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,GERO2,37
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,KOMY,0.25
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,POBI6,3
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,PODI2,3
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,POVI3,0.25
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,RHIN11,0.25
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,STLO2,1
sdl,2005-07-27,17,"870, 230 (CC)",C,mesic,no snow,TRPAP,4
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,2LTR,5
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,ALGE,7
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,ARSC,9
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,CAOC4,8
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,CASC12,1
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,DECE,0.25
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,ERSI3,3
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,GEAL2,3
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,GERO2,10
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,KOMY,0.25
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,LLSE,0.25
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,POBI6,1
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,POVI3,2
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,SAGL,11
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,SANI8,1
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,STLO2,1
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,TRPAP,11
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,2BARE,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,2LICHN,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,2LTR,2
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,2MOSS,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,ALGE,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,ARSC,5
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,CASC12,7
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,DECE,4
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,ERSI3,6
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,GERO2,7
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,KOMY,17
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,MIOB2,2
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,NOFEG,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,POAL2,0.25
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,POBI6,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,POVI3,4
sdl,2005-07-14,19,"267, 444 (CC)",C,mesic,no snow,SELA,0.25
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,STLO2,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,TRPAP,5
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,TRSP2,2
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,2LTR,5
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,ALGE,4
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,ARSC,9
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,CAOC4,0.25
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,CASC12,9
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,CEARS2,0.25
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,DECE,14
