date,plot_2003,plot,trt,meadow,snow,clean_code2,hit,test
2003-07-29T00:00:00Z,264,24,N,mesic,no snow,ARSC,8,1
2003-07-29T00:00:00Z,264,24,N,mesic,no snow,CAAL6,6,1
2003-07-29T00:00:00Z,264,24,N,mesic,no snow,CASC12,16,1
2003-07-29T00:00:00Z,264,24,N,mesic,no snow,DECE,34,1
2003-07-29T00:00:00Z,264,24,N,mesic,no snow,GERO2,29,1
2003-07-29T00:00:00Z,264,24,N,mesic,no snow,POBI6,12,1
2003-07-29T00:00:00Z,264,24,N,mesic,no snow,TRDA2,3,1
2003-08-01T00:00:00Z,266,20,C,mesic,no snow,2LICHN,3,1
2003-08-01T00:00:00Z,266,20,C,mesic,no snow,DECE,47,1
2003-08-01T00:00:00Z,266,20,C,mesic,no snow,GERO2,7,1
2003-08-01T00:00:00Z,266,20,C,mesic,no snow,POBI6,31,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,ARSC,13,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,CARUD,1,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,CASC12,10,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,DECE,5,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,ERSI3,6,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,GERO2,23,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,KOMY,17,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,LLSE,12,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,MIBI9,2,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,ORALA,1,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,POBI6,2,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,POVI3,3,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,SEDES,1,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,TRDA2,1,1
2003-07-31T00:00:00Z,267,19,C,mesic,no snow,TRSP2,1,1
2003-07-31T00:00:00Z,269,NA,N,NA,NA,ARFEF3,6,2
2003-07-31T00:00:00Z,269,NA,N,NA,NA,ARSC,8,2
2003-07-31T00:00:00Z,269,NA,N,NA,NA,CASC12,10,2
2003-07-31T00:00:00Z,269,NA,N,NA,NA,DECE,16,2
2003-07-31T00:00:00Z,269,NA,N,NA,NA,ERSI3,1,1
2003-07-31T00:00:00Z,269,NA,N,NA,NA,GERO2,30,2
2003-07-31T00:00:00Z,269,NA,N,NA,NA,KOMY,1,1
2003-07-31T00:00:00Z,269,NA,N,NA,NA,LLSE,11,1
2003-07-31T00:00:00Z,269,NA,N,NA,NA,MIBI9,1,1
2003-07-31T00:00:00Z,269,NA,N,NA,NA,POBI6,7,2
2003-07-31T00:00:00Z,269,NA,N,NA,NA,TRDA2,1,2
2003-07-31T00:00:00Z,269,NA,N,NA,NA,TRSP2,3,1
2003-08-01T00:00:00Z,270,45,P,snowbed,snow,2LICHN,1,1
2003-08-01T00:00:00Z,270,45,P,snowbed,snow,ARSC,4,1
2003-08-01T00:00:00Z,270,45,P,snowbed,snow,CAOC4,21,1
2003-08-01T00:00:00Z,270,45,P,snowbed,snow,DECE,16,1
2003-08-01T00:00:00Z,270,45,P,snowbed,snow,ERSI3,3,1
2003-08-01T00:00:00Z,270,45,P,snowbed,snow,GERO2,48,1
2003-08-01T00:00:00Z,270,45,P,snowbed,snow,LUSP4,1,1
2003-08-01T00:00:00Z,270,45,P,snowbed,snow,MIBI9,2,1
2003-08-01T00:00:00Z,270,45,P,snowbed,snow,POBI6,9,1
2003-08-01T00:00:00Z,272,44,N+P,snowbed,snow,DECE,90,1
2003-08-01T00:00:00Z,272,44,N+P,snowbed,snow,POBI6,10,1
2003-08-01T00:00:00Z,274,42,N+P,snowbed,snow,2LICHN,2,1
2003-08-01T00:00:00Z,274,42,N+P,snowbed,snow,CASC12,23,1
2003-08-01T00:00:00Z,274,42,N+P,snowbed,snow,DECE,59,1
2003-08-01T00:00:00Z,274,42,N+P,snowbed,snow,GERO2,2,1
2003-08-01T00:00:00Z,274,42,N+P,snowbed,snow,POBI6,7,1
2003-08-01T00:00:00Z,274,42,N+P,snowbed,snow,SELA,2,1
2003-08-01T00:00:00Z,274,42,N+P,snowbed,snow,TRDA2,3,1
2003-08-01T00:00:00Z,275,46,P,snowbed,snow,ARSC,15,1
2003-08-01T00:00:00Z,275,46,P,snowbed,snow,CAOC4,9,1
2003-08-01T00:00:00Z,275,46,P,snowbed,snow,CASC12,15,1
2003-08-01T00:00:00Z,275,46,P,snowbed,snow,DECE,18,1
2003-08-01T00:00:00Z,275,46,P,snowbed,snow,ERSI3,2,1
2003-08-01T00:00:00Z,275,46,P,snowbed,snow,GERO2,37,1
2003-08-01T00:00:00Z,275,46,P,snowbed,snow,POBI6,6,1
2003-08-01T00:00:00Z,275,46,P,snowbed,snow,POVI3,1,1
2003-08-01T00:00:00Z,276,48,P,snowbed,snow,ARSC,1,1
2003-08-01T00:00:00Z,276,48,P,snowbed,snow,CASC12,3,1
2003-08-01T00:00:00Z,276,48,P,snowbed,snow,DECE,39,1
2003-08-01T00:00:00Z,276,48,P,snowbed,snow,GERO2,21,1
2003-08-01T00:00:00Z,276,48,P,snowbed,snow,KOMY,2,1
2003-08-01T00:00:00Z,276,48,P,snowbed,snow,MIBI9,2,1
2003-08-01T00:00:00Z,276,48,P,snowbed,snow,POBI6,22,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,ARSC,6,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,CAOC4,7,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,CASC12,10,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,DECE,22,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,ERSI3,1,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,GERO2,33,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,KOMY,1,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,MIBI9,1,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,POBI6,21,1
2003-08-01T00:00:00Z,277,47,P,snowbed,snow,POVI3,2,1
2003-08-01T00:00:00Z,278,39,N,snowbed,snow,ARSC,5,1
2003-08-01T00:00:00Z,278,39,N,snowbed,snow,DECE,53,1
2003-08-01T00:00:00Z,278,39,N,snowbed,snow,GERO2,8,1
2003-08-01T00:00:00Z,278,39,N,snowbed,snow,POBI6,16,1
2003-08-01T00:00:00Z,278,39,N,snowbed,snow,POVI3,4,1
2003-07-31T00:00:00Z,279,23,N,mesic,no snow,ARFEF3,7,1
2003-07-31T00:00:00Z,279,23,N,mesic,no snow,CASC12,2,1
2003-07-31T00:00:00Z,279,23,N,mesic,no snow,DECE,43,1
2003-07-31T00:00:00Z,279,23,N,mesic,no snow,GERO2,16,1
2003-07-31T00:00:00Z,279,23,N,mesic,no snow,LLSE,1,1
2003-07-31T00:00:00Z,279,23,N,mesic,no snow,POBI6,10,1
2003-07-31T00:00:00Z,279,23,N,mesic,no snow,TRDA2,1,1
2003-07-31T00:00:00Z,279,23,N,mesic,no snow,TRSP2,2,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,ARFEF3,2,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,ARSC,6,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,CAOC4,1,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,DECE,5,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,ERSI3,1,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,GERO2,20,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,KOMY,24,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,LLSE,11,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,LUSP4,1,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,POBI6,5,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,POVI3,2,1
2003-07-31T00:00:00Z,280,31,P,mesic,no snow,TRDA2,6,1
2003-07-31T00:00:00Z,281,26,N+P,mesic,no snow,CASC12,61,1
2003-07-31T00:00:00Z,281,26,N+P,mesic,no snow,DECE,5,1
2003-07-31T00:00:00Z,281,26,N+P,mesic,no snow,GERO2,14,1
2003-07-31T00:00:00Z,281,26,N+P,mesic,no snow,POBI6,7,1
2003-07-31T00:00:00Z,283,30,P,mesic,no snow,ARFEF3,3,1
2003-07-31T00:00:00Z,283,30,P,mesic,no snow,ARSC,7,1
2003-07-31T00:00:00Z,283,30,P,mesic,no snow,CAOC4,5,1
2003-07-31T00:00:00Z,283,30,P,mesic,no snow,GERO2,25,1
2003-07-31T00:00:00Z,283,30,P,mesic,no snow,LLSE,11,1
2003-07-31T00:00:00Z,283,30,P,mesic,no snow,POBI6,4,1
2003-07-31T00:00:00Z,283,30,P,mesic,no snow,POVI3,5,1
2003-07-31T00:00:00Z,283,30,P,mesic,no snow,TRDA2,13,1
2003-07-31T00:00:00Z,283,30,P,mesic,no snow,TRSP2,2,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,2LICHN,3,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,2MOSS,1,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,ARSC,3,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,CARO2,3,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,GERO2,14,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,KOMY,31,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,LLSE,3,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,MELA3,1,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,MIBI9,3,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,NOFEG,1,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,ORALA,3,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,POAL2,2,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,POBI6,2,1
2003-07-24T00:00:00Z,287,14,P,dry,no snow,TRDA2,30,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,2LICHN,1,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,2MOSS,1,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,ARSC,5,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,CAPU,2,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,CARO2,10,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,CEARS2,4,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,GERO2,3,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,KOMY,32,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,LLSE,4,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,ORALA,6,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,PHPU5,2,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,POAL2,4,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,POBI6,1,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,SEDES,2,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,SIACS2,1,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,TEACC,1,1
2003-07-24T00:00:00Z,289,15,P,dry,no snow,TRDA2,16,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,ARFEF3,5,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,ARSC,2,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,CARO2,16,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,CEARS2,1,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,ERPI6,1,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,ERSI3,2,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,GERO2,35,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,KOMY,9,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,LLSE,2,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,LUSP4,2,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,MELA3,3,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,NOFEG,1,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,ORALA,10,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,POAL2,1,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,POBI6,5,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,TRDA2,3,1
2003-07-24T00:00:00Z,290,10,N+P,dry,no snow,TRSP2,4,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,2LICHN,2,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,ARFEF3,8,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,CARO2,12,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,CARUD,2,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,GERO2,13,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,KOMY,22,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,LLSE,1,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,MIBI9,4,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,ORALA,4,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,POBI6,1,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,POVI3,2,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,TRDA2,4,1
2003-08-01T00:00:00Z,292,7,N,dry,no snow,TRSP2,12,1
2003-07-31T00:00:00Z,293,28,N+P,mesic,no snow,ARFEF3,3,1
2003-07-31T00:00:00Z,293,28,N+P,mesic,no snow,CASC12,7,1
2003-07-31T00:00:00Z,293,28,N+P,mesic,no snow,DECE,58,1
2003-07-31T00:00:00Z,293,28,N+P,mesic,no snow,GERO2,6,1
2003-07-31T00:00:00Z,293,28,N+P,mesic,no snow,POBI6,5,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,ARSC,12,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,CASC12,5,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,DECE,36,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,ERSI3,1,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,GEAL2,2,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,GERO2,30,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,KOMY,3,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,LLSE,1,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,POBI6,2,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,POVI3,2,1
2003-07-31T00:00:00Z,294,21,N,mesic,no snow,TRDA2,12,1
2003-07-31T00:00:00Z,295,22,N,mesic,no snow,ARSC,21,1
2003-07-31T00:00:00Z,295,22,N,mesic,no snow,DECE,21,1
2003-07-31T00:00:00Z,295,22,N,mesic,no snow,ERSI3,1,1
2003-07-31T00:00:00Z,295,22,N,mesic,no snow,GERO2,36,1
2003-07-31T00:00:00Z,295,22,N,mesic,no snow,LLSE,4,1
2003-07-31T00:00:00Z,295,22,N,mesic,no snow,POBI6,5,1
2003-07-31T00:00:00Z,295,22,N,mesic,no snow,TRDA2,4,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,2LICHN,5,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,2MOSS,1,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,ARSC,1,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,CARO2,3,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,GERO2,5,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,KOMY,72,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,MIBI9,1,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,NOFEG,2,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,ORALA,2,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,POBI6,1,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,POVI3,1,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,SELA,3,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,SIACS2,2,1
2003-07-24T00:00:00Z,296,16,P,dry,no snow,TEACC,1,1
2003-08-01T00:00:00Z,297,38,N,snowbed,snow,DECE,82,1
2003-08-01T00:00:00Z,297,38,N,snowbed,snow,MIBI9,1,1
2003-08-01T00:00:00Z,297,38,N,snowbed,snow,POBI6,17,1
2003-08-01T00:00:00Z,297,38,N,snowbed,snow,TRDA2,1,1
2003-07-31T00:00:00Z,298,25,N+P,mesic,no snow,ARFEF3,1,1
2003-07-31T00:00:00Z,298,25,N+P,mesic,no snow,ARSC,1,1
2003-07-31T00:00:00Z,298,25,N+P,mesic,no snow,CASC12,18,1
2003-07-31T00:00:00Z,298,25,N+P,mesic,no snow,DECE,50,1
2003-07-31T00:00:00Z,298,25,N+P,mesic,no snow,GERO2,23,1
2003-07-31T00:00:00Z,298,25,N+P,mesic,no snow,POBI6,2,1
2003-07-31T00:00:00Z,298,25,N+P,mesic,no snow,TRDA2,2,1
2003-08-01T00:00:00Z,299,40,N,snowbed,snow,ARSC,4,1
2003-08-01T00:00:00Z,299,40,N,snowbed,snow,DECE,64,1
2003-08-01T00:00:00Z,299,40,N,snowbed,snow,GERO2,5,1
2003-08-01T00:00:00Z,299,40,N,snowbed,snow,POBI6,13,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,2LICHN,1,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,CAOC4,6,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,DECE,5,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,ERSI3,2,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,GEAL2,2,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,GERO2,43,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,LLSE,7,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,MIBI9,3,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,POBI6,4,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,POVI3,3,1
2003-08-01T00:00:00Z,389,35,C,snowbed,snow,SEDES,1,1
2003-08-01T00:00:00Z,392,43,N+P,snowbed,snow,CASC12,15,1
2003-08-01T00:00:00Z,392,43,N+P,snowbed,snow,DECE,46,1
2003-08-01T00:00:00Z,392,43,N+P,snowbed,snow,MIBI9,4,1
2003-08-01T00:00:00Z,392,43,N+P,snowbed,snow,POBI6,12,1
2003-08-01T00:00:00Z,392,43,N+P,snowbed,snow,TRDA2,7,1
2003-08-01T00:00:00Z,393,41,N+P,snowbed,snow,DECE,63,1
2003-08-01T00:00:00Z,393,41,N+P,snowbed,snow,GERO2,1,1
2003-08-01T00:00:00Z,393,41,N+P,snowbed,snow,KOMY,2,1
2003-08-01T00:00:00Z,393,41,N+P,snowbed,snow,MIBI9,1,1
2003-08-01T00:00:00Z,393,41,N+P,snowbed,snow,POBI6,10,1
2003-08-01T00:00:00Z,393,41,N+P,snowbed,snow,TRDA2,3,1
2003-08-01T00:00:00Z,394,34,C,snowbed,snow,2LICHN,19,1
2003-08-01T00:00:00Z,394,34,C,snowbed,snow,ARSC,12,1
2003-08-01T00:00:00Z,394,34,C,snowbed,snow,GEAL2,1,1
2003-08-01T00:00:00Z,394,34,C,snowbed,snow,GERO2,65,1
2003-08-01T00:00:00Z,394,34,C,snowbed,snow,POBI6,5,1
2003-08-01T00:00:00Z,394,34,C,snowbed,snow,POVI3,2,1
2003-08-01T00:00:00Z,394,34,C,snowbed,snow,SELA,4,1
2003-08-01T00:00:00Z,395,33,C,snowbed,snow,2LICHN,1,1
2003-08-01T00:00:00Z,395,33,C,snowbed,snow,ARSC,4,1
2003-08-01T00:00:00Z,395,33,C,snowbed,snow,CASC12,7,1
2003-08-01T00:00:00Z,395,33,C,snowbed,snow,DECE,18,1
2003-08-01T00:00:00Z,395,33,C,snowbed,snow,GERO2,51,1
2003-08-01T00:00:00Z,395,33,C,snowbed,snow,POBI6,8,1
2003-08-01T00:00:00Z,396,36,C,snowbed,snow,ARSC,34,1
2003-08-01T00:00:00Z,396,36,C,snowbed,snow,CAOC4,16,1
2003-08-01T00:00:00Z,396,36,C,snowbed,snow,CASC12,2,1
2003-08-01T00:00:00Z,396,36,C,snowbed,snow,DECE,23,1
2003-08-01T00:00:00Z,396,36,C,snowbed,snow,ERSI3,12,1
2003-08-01T00:00:00Z,396,36,C,snowbed,snow,GERO2,12,1
2003-08-01T00:00:00Z,396,36,C,snowbed,snow,KOMY,5,1
2003-08-01T00:00:00Z,396,36,C,snowbed,snow,MIBI9,1,1
2003-08-01T00:00:00Z,396,36,C,snowbed,snow,POBI6,2,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,ARSC,4,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,CAOC4,3,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,CASC12,4,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,DECE,3,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,ERSI3,3,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,GERO2,44,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,KOMY,2,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,LLSE,3,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,POBI6,2,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,PODI2,7,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,RHIN11,2,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,RHRH4,1,1
2003-07-28T00:00:00Z,400,61,P,dry,snow,TRDA2,11,1
2003-07-31T00:00:00Z,403,27,N+P,mesic,no snow,CASC12,32,1
2003-07-31T00:00:00Z,403,27,N+P,mesic,no snow,DECE,32,1
2003-07-31T00:00:00Z,403,27,N+P,mesic,no snow,GERO2,15,1
2003-07-31T00:00:00Z,403,27,N+P,mesic,no snow,POBI6,4,1
2003-07-31T00:00:00Z,403,27,N+P,mesic,no snow,SAGL,2,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,ARFEF3,3,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,ARSC,4,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,CAOC4,6,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,CAREX,1,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,CASC12,4,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,DECE,37,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,ERSI3,3,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,GERO2,26,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,KOMY,2,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,LLSE,1,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,POBI6,3,1
2003-07-29T00:00:00Z,406,32,P,mesic,no snow,TRDA2,8,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,ARSC,8,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,CARO2,1,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,GERO2,28,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,KOMY,12,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,LUSP4,3,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,MELA3,6,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,ORALA,13,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,POAL2,13,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,POBI6,4,1
2003-08-01T00:00:00Z,408,9,N+P,dry,no snow,POVI3,1,1
2003-07-29T00:00:00Z,409,6,N,dry,no snow,ARFEF3,3,1
2003-07-29T00:00:00Z,409,6,N,dry,no snow,ARSC,4,1
2003-07-29T00:00:00Z,409,6,N,dry,no snow,CAOC4,6,1
2003-07-29T00:00:00Z,409,6,N,dry,no snow,CAREX,1,1
2003-07-29T00:00:00Z,409,6,N,dry,no snow,CASC12,4,1
2003-07-29T00:00:00Z,409,6,N,dry,no snow,DECE,37,1
2003-07-29T00:00:00Z,409,6,N,dry,no snow,ERSI3,3,1
2003-07-29T00:00:00Z,409,6,N,dry,no snow,GERO2,26,1
