"","site","yr","plotid","clean_code2","hits","trt","meadow","snow"
"33","sdl",2003,"869 (old number)","TRDA2",1,"N+P","dry","?"
"34","sdl",2012,"11","2BARE",2,"N+P","dry","no snow"
"35","sdl",2012,"11","2LTR",13,"N+P","dry","no snow"
"36","sdl",2012,"11","ARSC",45,"N+P","dry","no snow"
"37","sdl",2012,"11","CARO2",1,"N+P","dry","no snow"
"38","sdl",2012,"11","CEARS2",2,"N+P","dry","no snow"
"39","sdl",2012,"11","DECE",13,"N+P","dry","no snow"
"40","sdl",2012,"11","ERSI3",2,"N+P","dry","no snow"
"41","sdl",2012,"11","FEBR",10,"N+P","dry","no snow"
"42","sdl",2012,"11","GERO2",27,"N+P","dry","no snow"
"43","sdl",2012,"11","JUNCU",15,"N+P","dry","no snow"
"44","sdl",2012,"11","LLSE",2,"N+P","dry","no snow"
"45","sdl",2012,"11","ORALA",1,"N+P","dry","no snow"
"46","sdl",2012,"11","POBI6",7,"N+P","dry","no snow"
"47","sdl",2012,"11","SOSIN",1,"N+P","dry","no snow"
"48","sdl",2012,"11","TRDA2",1,"N+P","dry","no snow"
"49","sdl",2012,"60","2BARE",2,"N+P","dry","snow"
"50","sdl",2012,"60","2LTR",17,"N+P","dry","snow"
"51","sdl",2012,"60","CEARS2",6,"N+P","dry","snow"
"52","sdl",2012,"60","DECE",26,"N+P","dry","snow"
"53","sdl",2012,"60","ERSI3",2,"N+P","dry","snow"
"54","sdl",2012,"60","GERO2",47,"N+P","dry","snow"
"55","sdl",2012,"60","LLSE",3,"N+P","dry","snow"
"56","sdl",2012,"60","ORALA",2,"N+P","dry","snow"
"57","sdl",2012,"60","POAL2",7,"N+P","dry","snow"
"58","sdl",2012,"60","POBI6",3,"N+P","dry","snow"
"59","sdl",2012,"60","STLO2",3,"N+P","dry","snow"
"60","sdl",2012,"60","TRDA2",6,"N+P","dry","snow"
"61","sdl",2012,"60","TRSP2",10,"N+P","dry","snow"
"62","sdl",2016,"11","2BARE",5,"N+P","dry","no snow"
"63","sdl",2016,"11","2LTR",2,"N+P","dry","no snow"
"64","sdl",2016,"11","ARSC",40,"N+P","dry","no snow"
"65","sdl",2016,"11","CASC12",19,"N+P","dry","no snow"
"66","sdl",2016,"11","CEARS2",1,"N+P","dry","no snow"
"67","sdl",2016,"11","ERSI3",2,"N+P","dry","no snow"
"68","sdl",2016,"11","FEBR",13,"N+P","dry","no snow"
"69","sdl",2016,"11","GERO2",36,"N+P","dry","no snow"
"70","sdl",2016,"11","POBI6",9,"N+P","dry","no snow"
"71","sdl",2016,"11","TRDA2",1,"N+P","dry","no snow"
"72","sdl",2016,"60","2BARE",3,"N+P","dry","snow"
"73","sdl",2016,"60","2LTR",13,"N+P","dry","snow"
"74","sdl",2016,"60","CARO2",1,"N+P","dry","snow"
"75","sdl",2016,"60","DECE",4,"N+P","dry","snow"
"76","sdl",2016,"60","ERSI3",6,"N+P","dry","snow"
"77","sdl",2016,"60","GERO2",56,"N+P","dry","snow"
"78","sdl",2016,"60","KOMY",15,"N+P","dry","snow"
"79","sdl",2016,"60","LLSE",1,"N+P","dry","snow"
"80","sdl",2016,"60","ORALA",1,"N+P","dry","snow"
"81","sdl",2016,"60","POBI6",3,"N+P","dry","snow"
"82","sdl",2016,"60","STLO2",1,"N+P","dry","snow"
"83","sdl",2016,"60","TRPAP",4,"N+P","dry","snow"
"84","sdl",2016,"60","TRSP2",5,"N+P","dry","snow"
