"Site","Yr","Date","Plot","Meadow","Snow","SnowNotes","Trt","USDA_Symbol","Hits","SimpleName","USDA_Scientific_Name","USDA_Common_Name","USDA_Category","USDA_Family","USDA_Family_Common_Name","USDA_Duration","USDA_Growth_Habit"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","CARUD",16,"Carex rupestris","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","CEARS2",1,"Cerastium arvense","Cerastium arvense L. ssp. strictum (L.) Ugborogho","field chickweed","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","DRAU",1,"Draba aurea","Draba aurea Vahl ex Hornem.","golden draba","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","ERCA14",1,"Erysimum capitatum","Erysimum capitatum (Douglas ex Hook.) Greene","sanddune wallflower","Dicot","Brassicaceae","Mustard family","Biennial, Perennial","Forb/herb, Subshrub"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","ERSI3",0.25,"Erigeron simplex","Erigeron simplex Greene","onestem fleabane","Dicot","Asteraceae","Aster family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","GERO2",6,"Geum rossii","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","KOMY",15,"Kobresia myosuroides","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","LLSE",2,"Lloydia serotina","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","MELA3",2,"Mertensia lanceolata","Mertensia lanceolata (Pursh) DC.","prairie bluebells","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","MIOB2",2,"Minuartia obtusiloba","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","NOFEG",1,"Noccaea fendleri","Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch","alpine pennycress","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","ORALA",13,"Oreoxis alpina","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","PHPU5",2,"Phlox pulvinata","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","POBI6",0.25,"Polygonum bistortoides","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","POVI3",2,"Polygonum viviparum","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","SEDES",3,"Selaginella densa","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss","Lycopod","Selaginellaceae","Spike-moss family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","TEACC",1,"Tetraneuris acaulis","Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson","caespitose four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","TRDA2",11,"Trifolium dasyphyllum","Trifolium dasyphyllum Torr. & A. Gray","alpine clover","Dicot","Fabaceae","Pea family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","VIAD",0.25,"Viola adunca","Viola adunca Sm.","hookedspur violet","Dicot","Violaceae","Violet family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","2BARE",1,"Bare Ground",NA,"Bare Ground",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","2LICHN",2,"Lichen",NA,"Lichen",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","2LTR",6,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","2RF",5,"Rock, fragments",NA,"Rock, fragments",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","ARFEF3",0.25,"Arenaria fendleri","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","ARSC",3,"Artemisia scopulorum","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","CAOC4",0.25,"Castilleja occidentalis","Castilleja occidentalis Torr.","western Indian paintbrush","Dicot","Scrophulariaceae","Figwort family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","CAPU",0.25,"Calamagrostis purpurascens","Calamagrostis purpurascens R. Br.","purple reedgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","CARO2",3,"Campanula rotundifolia","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","CARUD",11,"Carex rupestris","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","ERSI3",2,"Erigeron simplex","Erigeron simplex Greene","onestem fleabane","Dicot","Asteraceae","Aster family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","FEBR",1,"Festuca brachyphylla","Festuca brachyphylla Schult. ex Schult. & Schult. f.","alpine fescue","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","GERO2",4,"Geum rossii","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","KOMY",12,"Kobresia myosuroides","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","LLSE",0.25,"Lloydia serotina","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","MIOB2",0.25,"Minuartia obtusiloba","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","ORALA",13,"Oreoxis alpina","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","PHPU5",0.25,"Phlox pulvinata","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","POVI3",0.25,"Polygonum viviparum","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","TEGR3",0.25,"Tetraneuris grandiflora","Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","graylocks four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",4,"DM","no snow","never affected","CC","TRDA2",35,"Trifolium dasyphyllum","Trifolium dasyphyllum Torr. & A. Gray","alpine clover","Dicot","Fabaceae","Pea family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","2LICHN",8,"Lichen",NA,"Lichen",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","2LTR",22,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","ALGE",0.25,"Allium geyeri","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","ARFEF3",3,"Arenaria fendleri","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","ARSC",0.25,"Artemisia scopulorum","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","CAPU",3,"Calamagrostis purpurascens","Calamagrostis purpurascens R. Br.","purple reedgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","CARUD",4,"Carex rupestris","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","GERO2",5,"Geum rossii","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","KOMY",35,"Kobresia myosuroides","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","MIBI9",2,"Minuartia biflora","Minuartia biflora (L.) Schinz & Thell.","mountain stitchwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","MIOB2",4,"Minuartia obtusiloba","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","NOFEG",1,"Noccaea fendleri","Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch","alpine pennycress","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","POARG",3,"Poa arctica","Poa arctica R. Br. ssp. grayana (Vasey) Á. Löve & D. Löve & Kapoor","arctic bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","POBI6",5,"Polygonum bistortoides","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",5,"DM","no snow","never affected","NN","SIACS2",0.25,"Silene acaulis","Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John","moss campion","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","2LICHN",4,"Lichen",NA,"Lichen",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","2LTR",17,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","ALGE",1,"Allium geyeri","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","CAPU",2,"Calamagrostis purpurascens","Calamagrostis purpurascens R. Br.","purple reedgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","CARUD",4,"Carex rupestris","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","DRAU",2,"Draba aurea","Draba aurea Vahl ex Hornem.","golden draba","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","DRBRC",1,"Draba breweri","Draba breweri S. Watson var. cana (Rydb.) Rollins","cushion draba","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","GERO2",10,"Geum rossii","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","KOMY",26,"Kobresia myosuroides","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","MIOB2",1,"Minuartia obtusiloba","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","NOFEG",0.25,"Noccaea fendleri","Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch","alpine pennycress","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","ORALA",5,"Oreoxis alpina","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","POARG",4,"Poa arctica","Poa arctica R. Br. ssp. grayana (Vasey) Á. Löve & D. Löve & Kapoor","arctic bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","POBI6",5,"Polygonum bistortoides","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","POGL",6,"Poa glauca","Poa glauca Vahl","glaucous bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","SIACS2",1,"Silene acaulis","Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John","moss campion","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","TRDA2",10,"Trifolium dasyphyllum","Trifolium dasyphyllum Torr. & A. Gray","alpine clover","Dicot","Fabaceae","Pea family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",6,"DM","no snow","never affected","NN","TRPAP",2,"Trifolium parryi","Trifolium parryi A. Gray ssp. parryi","Parry's clover","Dicot","Fabaceae","Pea family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","2LICHN",5,"Lichen",NA,"Lichen",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","2LTR",25,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","AGME3",1,"Agrostis mertensii","Agrostis mertensii Trin.","northern bentgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","ARFEF3",3,"Arenaria fendleri","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","CAPU",2,"Calamagrostis purpurascens","Calamagrostis purpurascens R. Br.","purple reedgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","CARO2",2,"Campanula rotundifolia","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","CARUD",1,"Carex rupestris","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","GERO2",3,"Geum rossii","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","KOMY",30,"Kobresia myosuroides","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-11",7,"DM","no snow","never affected","NN","MIOB2",1,"Minuartia obtusiloba","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
