"Site","Date","Block","Plot","N","P","Micro","K+","FieldCode","FieldName","Hits","USDA_Symbol","USDA_Scientific_Name","USDA_Common_Name","USDA_Category","USDA_Family","USDA_Family_Common_Name","USDA_Duration","USDA_Growth_Habit"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"LLSE","Lloydia serotina",9,"LLSE","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"MIOB2","Minuartia obtusiloba",8,"MIOB2","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"ORALA","Oreoxis alpina ssp. alpina",6,"ORALA","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"PEPA3","Pedicularis parryi",2,"PEPA3","Pedicularis parryi A. Gray","Parry's lousewort","Dicot","Scrophulariaceae","Figwort family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"PHPU5","Phlox pulvinata",0.25,"PHPU5","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"POAL2","Poa alpina",3,"POAL2","Poa alpina L.","alpine bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"POBI6","Polygonum bistortoides",1,"POBI6","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"SEDES","Selaginella densa var. scopulorum",8,"SEDES","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss","Lycopod","Selaginellaceae","Spike-moss family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"SELA","Sedum lanceolatum",1,"SELA","Sedum lanceolatum Torr.","spearleaf stonecrop","Dicot","Crassulaceae","Stonecrop family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"SIACS2","Silene acaulis var. subacaulescens",4,"SIACS2","Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John","moss campion","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"SOSIN","Solidago simplex ssp. simplex var. nana",1,"SOSIN","Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius","dwarf goldenrod","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"TEAC","Tetraneuris acaulis",1,"TEACC","Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson","caespitose four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"TEGR3","Tetraneuris grandiflora",4,"TEGR3","Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","graylocks four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"TRPAP","Trifolium parryi ssp. parryi",0.25,"TRPAP","Trifolium parryi A. Gray ssp. parryi","Parry's clover","Dicot","Fabaceae","Pea family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"VIOLET","Viola spp",1,"VIOLA","Viola L.","violet","Dicot","Violaceae","Violet family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"2BARE","Bare ground",5,"2BARE",NA,"Bare Ground",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"2LICHN","Lichen",2,"2LICHN",NA,"Lichen",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"2LTR","Litter",7,"2LTR",NA,"Litter",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"ACMIA","Achillea millefolium L. var alpicola",2,"ACMIA","Achillea millefolium L. var. alpicola (Rydb.) Garrett","common yarrow","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"ALGE","Allium geyeri",0.25,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"ANAL4","Antennaria alpina",0.25,"ANAL4","Antennaria alpina (L.) Gaertn.","alpine pussytoes","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"ARFEF3","Arenaria fendleri var. fendleri",3,"ARFEF3","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"CAPU","Calamagrostis purpurascens",0.25,"CAPU","Calamagrostis purpurascens R. Br.","purple reedgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"CARUD","Carex rupestris var. drummondiana",4,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"CAUN2","Campanula uniflora",8,"CAUN2","Campanula uniflora L.","arctic bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"CEARS2","Cerastium arvense ssp. strictum",0.25,"CEARS2","Cerastium arvense L. ssp. strictum (L.) Ugborogho","field chickweed","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"DRST4","Draba streptocarpa",0.25,"DRST4","Draba streptocarpa A. Gray","pretty draba","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"ERNA","Eritrichium nanum",0.25,"ERNA","Eritrichium nanum (Vill.) Schrad. ex Gaudin","arctic alpine forget-me-not","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"KOMY","Kobresia myosuroides",66,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"LLSE","Lloydia serotina",5,"LLSE","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"MELA3","Mertensia lanceolata",1,"MELA3","Mertensia lanceolata (Pursh) DC.","prairie bluebells","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"MIOB2","Minuartia obtusiloba",6,"MIOB2","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"ORALA","Oreoxis alpina ssp. alpina",21,"ORALA","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"PHPU5","Phlox pulvinata",5,"PHPU5","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"POAL2","Poa alpina",1,"POAL2","Poa alpina L.","alpine bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"POBI6","Polygonum bistortoides",1,"POBI6","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"POVI3","Polygonum viviparum",2,"POVI3","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"PRAN","Primula angustifolia",0.25,"PRAN","Primula angustifolia Torr.","alpine primrose","Dicot","Primulaceae","Primrose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"SARH2","Saxifraga rhomboidea",1,"SARH2","Saxifraga rhomboidea Greene","diamondleaf saxifrage","Dicot","Saxifragaceae","Saxifrage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"SEDES","Selaginella densa var. scopulorum",6,"SEDES","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss","Lycopod","Selaginellaceae","Spike-moss family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"SELA","Sedum lanceolatum",0.25,"SELA","Sedum lanceolatum Torr.","spearleaf stonecrop","Dicot","Crassulaceae","Stonecrop family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"SOSIN","Solidago simplex ssp. simplex var. nana",0.25,"SOSIN","Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius","dwarf goldenrod","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"TEAC","Tetraneuris acaulis",4,"TEACC","Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson","caespitose four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,2,0,0,1,0,"VIOLET","Viola spp",1,"VIOLA","Viola L.","violet","Dicot","Violaceae","Violet family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"2BARE","Bare ground",3,"2BARE",NA,"Bare Ground",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"2LTR","Litter",10,"2LTR",NA,"Litter",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"2MOSS","Moss",3,"2MOSS",NA,"Moss",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"ALGE","Allium geyeri",0.25,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"ANAL4","Antennaria alpina",2,"ANAL4","Antennaria alpina (L.) Gaertn.","alpine pussytoes","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"ARFEF3","Arenaria fendleri var. fendleri",0.25,"ARFEF3","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"ARSC","Artemisia scopulorum",18,"ARSC","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"CAPU","Calamagrostis purpurascens",1,"CAPU","Calamagrostis purpurascens R. Br.","purple reedgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"CARO2","Campanula rotundifolia",4,"CARO2","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"CARUD","Carex rupestris var. drummondiana",12,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"CASC12","Carex scopulorum",2,"CASC12","Carex scopulorum T. Holm","mountain sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"CAUN2","Campanula uniflora",1,"CAUN2","Campanula uniflora L.","arctic bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"CEARS2","Cerastium arvense ssp. strictum",1,"CEARS2","Cerastium arvense L. ssp. strictum (L.) Ugborogho","field chickweed","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"CHJA","Chionophila jamesii",7,"CHJA","Chionophila jamesii Benth.","Rocky Mountain snowlover","Dicot","Scrophulariaceae","Figwort family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"DECE","Deschampsia caespitosa",0.25,"DECE","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"FEBR","Festuca brachyphylla",4,"FEBR","Festuca brachyphylla Schult. ex Schult. & Schult. f.","alpine fescue","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"GERO2","Geum rossii",25,"GERO2","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"KOMY","Kobresia myosuroides",5,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"LEPY2","Lewisia pygmaea",1,"LEPY2","Lewisia pygmaea (A. Gray) B.L. Rob.","alpine lewisia","Dicot","Portulacaceae","Purslane family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"LLSE","Lloydia serotina",3,"LLSE","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"MIOB2","Minuartia obtusiloba",8,"MIOB2","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"ORALA","Oreoxis alpina ssp. alpina",0.25,"ORALA","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"PHPU5","Phlox pulvinata",2,"PHPU5","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"POARG","Poa arctica ssp. grayana",0.25,"POARG","Poa arctica R. Br. ssp. grayana (Vasey) Á. Löve & D. Löve & Kapoor","arctic bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"POBI6","Polygonum bistortoides",2,"POBI6","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"PODI2","Potentilla diversifolia",1,"PODI2","Potentilla diversifolia Lehm.","varileaf cinquefoil","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"POVI3","Polygonum viviparum",5,"POVI3","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"SEDES","Selaginella densa var. scopulorum",15,"SEDES","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss","Lycopod","Selaginellaceae","Spike-moss family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"SELA","Sedum lanceolatum",3,"SELA","Sedum lanceolatum Torr.","spearleaf stonecrop","Dicot","Crassulaceae","Stonecrop family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"TEGR3","Tetraneuris grandiflora",3,"TEGR3","Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","graylocks four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"TRSP2","Trisetum spicatum",3,"TRSP2","Trisetum spicatum (L.) K. Richt.","spike trisetum","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,3,0,1,0,0,"VIOLET","Viola spp",0.25,"VIOLA","Viola L.","violet","Dicot","Violaceae","Violet family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"2BARE","Bare ground",1,"2BARE",NA,"Bare Ground",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"2LTR","Litter",2,"2LTR",NA,"Litter",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"ALGE","Allium geyeri",8,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"ANAL4","Antennaria alpina",1,"ANAL4","Antennaria alpina (L.) Gaertn.","alpine pussytoes","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"ARFEF3","Arenaria fendleri var. fendleri",6,"ARFEF3","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"ARSC","Artemisia scopulorum",7,"ARSC","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"CAOC4","Castilleja occidentalis",0.25,"CAOC4","Castilleja occidentalis Torr.","western Indian paintbrush","Dicot","Scrophulariaceae","Figwort family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"CAPU","Calamagrostis purpurascens",2,"CAPU","Calamagrostis purpurascens R. Br.","purple reedgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"CARO2","Campanula rotundifolia",3,"CARO2","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"CARUD","Carex rupestris var. drummondiana",12,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"CASC12","Carex scopulorum",8,"CASC12","Carex scopulorum T. Holm","mountain sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"CAUN2","Campanula uniflora",4,"CAUN2","Campanula uniflora L.","arctic bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"CEARS2","Cerastium arvense ssp. strictum",1,"CEARS2","Cerastium arvense L. ssp. strictum (L.) Ugborogho","field chickweed","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"DECE","Deschampsia caespitosa",2,"DECE","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"ERME2","Erigeron melanocephalus",0.25,"ERME2","Erigeron melanocephalus (A. Nelson) A. Nelson","blackhead fleabane","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"ERNA","Eritrichium nanum",1,"ERNA","Eritrichium nanum (Vill.) Schrad. ex Gaudin","arctic alpine forget-me-not","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"FEBR","Festuca brachyphylla",3,"FEBR","Festuca brachyphylla Schult. ex Schult. & Schult. f.","alpine fescue","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"GERO2","Geum rossii",10,"GERO2","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"KOMY","Kobresia myosuroides",26,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"LEPY2","Lewisia pygmaea",0.25,"LEPY2","Lewisia pygmaea (A. Gray) B.L. Rob.","alpine lewisia","Dicot","Portulacaceae","Purslane family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"LLSE","Lloydia serotina",7,"LLSE","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"LUSP4","Luzula spicata",9,"LUSP4","Luzula spicata (L.) DC.","spiked woodrush","Monocot","Juncaceae","Rush family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"MELA3","Mertensia lanceolata",4,"MELA3","Mertensia lanceolata (Pursh) DC.","prairie bluebells","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"MIOB2","Minuartia obtusiloba",9,"MIOB2","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"ORALA","Oreoxis alpina ssp. alpina",14,"ORALA","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"PHPU5","Phlox pulvinata",9,"PHPU5","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"POARG","Poa arctica ssp. grayana",0.25,"POARG","Poa arctica R. Br. ssp. grayana (Vasey) Á. Löve & D. Löve & Kapoor","arctic bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"POBI6","Polygonum bistortoides",3,"POBI6","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"PODI2","Potentilla diversifolia",5,"PODI2","Potentilla diversifolia Lehm.","varileaf cinquefoil","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"POVI3","Polygonum viviparum",3,"POVI3","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,4,1,0,0,0,"PRAN","Primula angustifolia",0.25,"PRAN","Primula angustifolia Torr.","alpine primrose","Dicot","Primulaceae","Primrose family","Perennial","Forb/herb"
