"LTER_site","local_site","year","plot_num","old_plot_num","fert","veg_class","snow","snow_recovery","spp_rich"
"Niwot Ridge LTER","SDL snowfence",1997,"32","406","PP","MM",0,0,13
"Niwot Ridge LTER","SDL snowfence",1997,"33","395","CC","WM",0,0,9
"Niwot Ridge LTER","SDL snowfence",1997,"34","394","CC","WM",0,0,8
"Niwot Ridge LTER","SDL snowfence",1997,"35","389","CC","WM",0,0,9
"Niwot Ridge LTER","SDL snowfence",1997,"36","396","CC","WM",0,0,8
"Niwot Ridge LTER","SDL snowfence",1997,"37","269","NN","WM",0,0,6
"Niwot Ridge LTER","SDL snowfence",1997,"38","297","NN","WM",0,0,10
"Niwot Ridge LTER","SDL snowfence",1997,"39","278","NN","WM",0,0,6
"Niwot Ridge LTER","SDL snowfence",1997,"40","299","NN","WM",0,0,9
"Niwot Ridge LTER","SDL snowfence",1997,"41","393","NP","WM",0,0,10
"Niwot Ridge LTER","SDL snowfence",1997,"42","274","NP","WM",0,0,8
"Niwot Ridge LTER","SDL snowfence",1997,"43","392","NP","WM",0,0,5
"Niwot Ridge LTER","SDL snowfence",1997,"44","272","NP","WM",0,0,8
"Niwot Ridge LTER","SDL snowfence",1997,"45","270","PP","WM",0,0,10
"Niwot Ridge LTER","SDL snowfence",1997,"46","275","PP","WM",0,0,10
"Niwot Ridge LTER","SDL snowfence",1997,"47","277","PP","WM",0,0,9
"Niwot Ridge LTER","SDL snowfence",1997,"48","276","PP","WM",0,0,7
"Niwot Ridge LTER","SDL snowfence",1997,"49","888","CC","DM",1,0,28
"Niwot Ridge LTER","SDL snowfence",1997,"50","889","CC","DM",1,0,18
"Niwot Ridge LTER","SDL snowfence",1997,"51","890","CC","DM",1,0,20
"Niwot Ridge LTER","SDL snowfence",1997,"52","891","CC","DM",1,0,20
"Niwot Ridge LTER","SDL snowfence",1997,"53","417","NN","DM",1,0,13
"Niwot Ridge LTER","SDL snowfence",1997,"54","415","NN","DM",1,0,16
"Niwot Ridge LTER","SDL snowfence",1997,"55","864","NN","DM",1,0,16
"Niwot Ridge LTER","SDL snowfence",1997,"56","413","NN","DM",1,0,18
"Niwot Ridge LTER","SDL snowfence",1997,"57","868","NP","DM",1,0,19
"Niwot Ridge LTER","SDL snowfence",1997,"58","894","NP","DM",1,0,17
"Niwot Ridge LTER","SDL snowfence",1997,"59","866","NP","DM",1,0,15
"Niwot Ridge LTER","SDL snowfence",1997,"60","869","NP","DM",1,0,17
"Niwot Ridge LTER","SDL snowfence",1997,"61","400","PP","DM",1,0,18
"Niwot Ridge LTER","SDL snowfence",1997,"62","416","PP","DM",1,0,18
"Niwot Ridge LTER","SDL snowfence",1997,"63","414","PP","DM",1,0,18
"Niwot Ridge LTER","SDL snowfence",1997,"64","412","PP","DM",1,0,20
"Niwot Ridge LTER","SDL snowfence",1997,"65","885","CC","MM",1,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"66","883","CC","MM",1,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"67","882","CC","MM",1,0,11
"Niwot Ridge LTER","SDL snowfence",1997,"68","887","CC","MM",1,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"69","875","NN","MM",1,0,10
"Niwot Ridge LTER","SDL snowfence",1997,"70","884","NN","MM",1,0,11
"Niwot Ridge LTER","SDL snowfence",1997,"71","419","NN","MM",1,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"72","880","NN","MM",1,0,9
"Niwot Ridge LTER","SDL snowfence",1997,"73","877","NP","MM",1,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"74","873","NP","MM",1,0,10
"Niwot Ridge LTER","SDL snowfence",1997,"75","871","NP","MM",1,0,9
"Niwot Ridge LTER","SDL snowfence",1997,"76","886","NP","MM",1,0,10
"Niwot Ridge LTER","SDL snowfence",1997,"77","420","PP","MM",1,0,10
"Niwot Ridge LTER","SDL snowfence",1997,"78","418","PP","MM",1,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"79","872","PP","MM",1,0,9
"Niwot Ridge LTER","SDL snowfence",1997,"80","881","PP","MM",1,0,17
