"LTER_site","local_site","year","collect_date","plot_num","old_plot_num","veg_class","fert","snow","snow_recovery","group","rep","anpp_g"
"Niwot Ridge LTER","SDL snowfence",1996,NA,44,"272","WM","NP",0,0,"Total",1,108
"Niwot Ridge LTER","SDL snowfence",1996,NA,45,"270","WM","PP",0,0,"Total",1,75
"Niwot Ridge LTER","SDL snowfence",1996,NA,46,"275","WM","PP",0,0,"Total",1,32
"Niwot Ridge LTER","SDL snowfence",1996,NA,47,"277","WM","PP",0,0,"Total",1,77
"Niwot Ridge LTER","SDL snowfence",1996,NA,48,"276","WM","PP",0,0,"Total",1,62
"Niwot Ridge LTER","SDL snowfence",1996,NA,49,"888","DM","CC",1,0,"Total",1,63.7
"Niwot Ridge LTER","SDL snowfence",1996,NA,50,"889","DM","CC",1,0,"Total",1,53.4
"Niwot Ridge LTER","SDL snowfence",1996,NA,51,"890","DM","CC",1,0,"Total",1,49.1
"Niwot Ridge LTER","SDL snowfence",1996,NA,52,"891","DM","CC",1,0,"Total",1,7.7
"Niwot Ridge LTER","SDL snowfence",1996,NA,53,"417","DM","NN",1,0,"Total",1,97.2
"Niwot Ridge LTER","SDL snowfence",1996,NA,54,"415","DM","NN",1,0,"Total",1,106.2
"Niwot Ridge LTER","SDL snowfence",1996,NA,55,"864","DM","NN",1,0,"Total",1,42.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,56,"413","DM","NN",1,0,"Total",1,15.3
"Niwot Ridge LTER","SDL snowfence",1996,NA,57,"868","DM","NP",1,0,"Total",1,145.5
"Niwot Ridge LTER","SDL snowfence",1996,NA,58,"894","DM","NP",1,0,"Total",1,80.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,59,"866","DM","NP",1,0,"Total",1,148.2
"Niwot Ridge LTER","SDL snowfence",1996,NA,60,"869","DM","NP",1,0,"Total",1,56.9
"Niwot Ridge LTER","SDL snowfence",1996,NA,61,"400","DM","PP",1,0,"Total",1,99.9
"Niwot Ridge LTER","SDL snowfence",1996,NA,62,"416","DM","PP",1,0,"Total",1,99.4
"Niwot Ridge LTER","SDL snowfence",1996,NA,63,"414","DM","PP",1,0,"Total",1,40.9
"Niwot Ridge LTER","SDL snowfence",1996,NA,64,"412","DM","PP",1,0,"Total",1,11
"Niwot Ridge LTER","SDL snowfence",1996,NA,65,"885","MM","CC",1,0,"Total",1,83.9
"Niwot Ridge LTER","SDL snowfence",1996,NA,66,"883","MM","CC",1,0,"Total",1,71.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,67,"882","MM","CC",1,0,"Total",1,65.3
"Niwot Ridge LTER","SDL snowfence",1996,NA,68,"887","MM","CC",1,0,"Total",1,62.4
"Niwot Ridge LTER","SDL snowfence",1996,NA,69,"875","MM","NN",1,0,"Total",1,129
"Niwot Ridge LTER","SDL snowfence",1996,NA,70,"884","MM","NN",1,0,"Total",1,53.4
"Niwot Ridge LTER","SDL snowfence",1996,NA,71,"419","MM","NN",1,0,"Total",1,126.9
"Niwot Ridge LTER","SDL snowfence",1996,NA,72,"880","MM","NN",1,0,"Total",1,81.3
"Niwot Ridge LTER","SDL snowfence",1996,NA,73,"877","MM","NP",1,0,"Total",1,116.5
"Niwot Ridge LTER","SDL snowfence",1996,NA,74,"873","MM","NP",1,0,"Total",1,93
"Niwot Ridge LTER","SDL snowfence",1996,NA,75,"871","MM","NP",1,0,"Total",1,109.9
"Niwot Ridge LTER","SDL snowfence",1996,NA,76,"886","MM","NP",1,0,"Total",1,93.4
"Niwot Ridge LTER","SDL snowfence",1996,NA,77,"420","MM","PP",1,0,"Total",1,77.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,78,"418","MM","PP",1,0,"Total",1,80.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,79,"872","MM","PP",1,0,"Total",1,80.8
"Niwot Ridge LTER","SDL snowfence",1996,NA,80,"881","MM","PP",1,0,"Total",1,68.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,1,"710","DM","CC",0,0,"Forb",1,25.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,1,"710","DM","CC",0,0,"Graminoid",1,47.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,1,"710","DM","CC",0,0,"Total",1,73
"Niwot Ridge LTER","SDL snowfence",1997,NA,1,"710","DM","CC",0,0,"Forb",2,55.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,1,"710","DM","CC",0,0,"Graminoid",2,37
"Niwot Ridge LTER","SDL snowfence",1997,NA,1,"710","DM","CC",0,0,"Total",2,92.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,2,"712","DM","CC",0,0,"Forb",1,13.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,2,"712","DM","CC",0,0,"Graminoid",1,39.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,2,"712","DM","CC",0,0,"Total",1,52.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,2,"712","DM","CC",0,0,"Forb",2,40.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,2,"712","DM","CC",0,0,"Graminoid",2,63
"Niwot Ridge LTER","SDL snowfence",1997,NA,2,"712","DM","CC",0,0,"Total",2,103.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,3,"709","DM","CC",0,0,"Forb",1,16.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,3,"709","DM","CC",0,0,"Graminoid",1,33.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,3,"709","DM","CC",0,0,"Total",1,50.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,3,"709","DM","CC",0,0,"Forb",2,16.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,3,"709","DM","CC",0,0,"Graminoid",2,57.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,3,"709","DM","CC",0,0,"Total",2,73.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,4,"711","DM","CC",0,0,"Forb",1,94.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,4,"711","DM","CC",0,0,"Graminoid",1,17.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,4,"711","DM","CC",0,0,"Total",1,112.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,4,"711","DM","CC",0,0,"Forb",2,59.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,4,"711","DM","CC",0,0,"Graminoid",2,56.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,4,"711","DM","CC",0,0,"Total",2,115.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,5,"262","DM","NN",0,0,"Forb",1,62
"Niwot Ridge LTER","SDL snowfence",1997,NA,5,"262","DM","NN",0,0,"Graminoid",1,47.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,5,"262","DM","NN",0,0,"Total",1,109.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,5,"262","DM","NN",0,0,"Forb",2,45.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,5,"262","DM","NN",0,0,"Graminoid",2,80.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,5,"262","DM","NN",0,0,"Total",2,125.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,6,"409","DM","NN",0,0,"Forb",1,83.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,6,"409","DM","NN",0,0,"Graminoid",1,36.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,6,"409","DM","NN",0,0,"Total",1,119.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,6,"409","DM","NN",0,0,"Forb",2,25
"Niwot Ridge LTER","SDL snowfence",1997,NA,6,"409","DM","NN",0,0,"Graminoid",2,87.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,6,"409","DM","NN",0,0,"Total",2,112.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,7,"292","DM","NN",0,0,"Forb",1,74.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,7,"292","DM","NN",0,0,"Graminoid",1,25.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,7,"292","DM","NN",0,0,"Total",1,100.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,7,"292","DM","NN",0,0,"Forb",2,33
"Niwot Ridge LTER","SDL snowfence",1997,NA,7,"292","DM","NN",0,0,"Graminoid",2,32.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,7,"292","DM","NN",0,0,"Total",2,65.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,8,"99","DM","NN",0,0,"Forb",1,23.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,8,"99","DM","NN",0,0,"Graminoid",1,37.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,8,"99","DM","NN",0,0,"Total",1,60.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,8,"99","DM","NN",0,0,"Forb",2,6.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,8,"99","DM","NN",0,0,"Graminoid",2,36.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,8,"99","DM","NN",0,0,"Total",2,43.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,9,"408","DM","NP",0,0,"Forb",1,49.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,9,"408","DM","NP",0,0,"Graminoid",1,86.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,9,"408","DM","NP",0,0,"Total",1,135.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,9,"408","DM","NP",0,0,"Forb",2,22.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,9,"408","DM","NP",0,0,"Graminoid",2,95.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,9,"408","DM","NP",0,0,"Total",2,118.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,10,"290","DM","NP",0,0,"Forb",1,83.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,10,"290","DM","NP",0,0,"Graminoid",1,8.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,10,"290","DM","NP",0,0,"Total",1,91.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,10,"290","DM","NP",0,0,"Forb",2,90.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,10,"290","DM","NP",0,0,"Graminoid",2,13.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,10,"290","DM","NP",0,0,"Total",2,104
"Niwot Ridge LTER","SDL snowfence",1997,NA,11,"410","DM","NP",0,0,"Forb",1,48.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,11,"410","DM","NP",0,0,"Graminoid",1,110.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,11,"410","DM","NP",0,0,"Total",1,159.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,11,"410","DM","NP",0,0,"Forb",2,150.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,11,"410","DM","NP",0,0,"Graminoid",2,92
"Niwot Ridge LTER","SDL snowfence",1997,NA,11,"410","DM","NP",0,0,"Total",2,242.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,12,"261","DM","NP",0,0,"Forb",1,39.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,12,"261","DM","NP",0,0,"Graminoid",1,168.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,12,"261","DM","NP",0,0,"Total",1,207.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,12,"261","DM","NP",0,0,"Forb",2,56.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,12,"261","DM","NP",0,0,"Graminoid",2,97.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,12,"261","DM","NP",0,0,"Total",2,154.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,13,"411","DM","PP",0,0,"Forb",1,30.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,13,"411","DM","PP",0,0,"Graminoid",1,30.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,13,"411","DM","PP",0,0,"Total",1,60.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,13,"411","DM","PP",0,0,"Forb",2,48.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,13,"411","DM","PP",0,0,"Graminoid",2,34.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,13,"411","DM","PP",0,0,"Total",2,83.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,14,"287","DM","PP",0,0,"Forb",1,105.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,14,"287","DM","PP",0,0,"Graminoid",1,42.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,14,"287","DM","PP",0,0,"Total",1,148.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,14,"287","DM","PP",0,0,"Forb",2,76.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,14,"287","DM","PP",0,0,"Graminoid",2,39.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,14,"287","DM","PP",0,0,"Total",2,116
"Niwot Ridge LTER","SDL snowfence",1997,NA,15,"289","DM","PP",0,0,"Forb",1,62.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,15,"289","DM","PP",0,0,"Graminoid",1,8.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,15,"289","DM","PP",0,0,"Total",1,70.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,15,"289","DM","PP",0,0,"Forb",2,85.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,15,"289","DM","PP",0,0,"Graminoid",2,52.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,15,"289","DM","PP",0,0,"Total",2,138.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,16,"407","DM","PP",0,0,"Forb",1,5.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,16,"407","DM","PP",0,0,"Graminoid",1,49.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,16,"407","DM","PP",0,0,"Total",1,54.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,16,"407","DM","PP",0,0,"Forb",2,8.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,16,"407","DM","PP",0,0,"Graminoid",2,35.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,16,"407","DM","PP",0,0,"Total",2,43.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,17,"870","MM","CC",0,0,"Forb",1,0.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,17,"870","MM","CC",0,0,"Graminoid",1,112.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,17,"870","MM","CC",0,0,"Total",1,113.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,17,"870","MM","CC",0,0,"Forb",2,38.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,17,"870","MM","CC",0,0,"Graminoid",2,48.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,17,"870","MM","CC",0,0,"Total",2,87.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,18,"268","MM","CC",0,0,"Forb",1,84.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,18,"268","MM","CC",0,0,"Graminoid",1,2.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,18,"268","MM","CC",0,0,"Total",1,86.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,18,"268","MM","CC",0,0,"Forb",2,36
"Niwot Ridge LTER","SDL snowfence",1997,NA,18,"268","MM","CC",0,0,"Graminoid",2,25.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,18,"268","MM","CC",0,0,"Total",2,61.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,19,"267","MM","CC",0,0,"Forb",1,67.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,19,"267","MM","CC",0,0,"Graminoid",1,40
"Niwot Ridge LTER","SDL snowfence",1997,NA,19,"267","MM","CC",0,0,"Total",1,107.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,19,"267","MM","CC",0,0,"Forb",2,30
"Niwot Ridge LTER","SDL snowfence",1997,NA,19,"267","MM","CC",0,0,"Graminoid",2,7.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,19,"267","MM","CC",0,0,"Total",2,37.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,20,"266","MM","CC",0,0,"Forb",1,115.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,20,"266","MM","CC",0,0,"Graminoid",1,38.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,20,"266","MM","CC",0,0,"Total",1,153.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,20,"266","MM","CC",0,0,"Forb",2,136
"Niwot Ridge LTER","SDL snowfence",1997,NA,20,"266","MM","CC",0,0,"Graminoid",2,22.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,20,"266","MM","CC",0,0,"Total",2,158.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,21,"294","MM","NN",0,0,"Forb",1,74.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,21,"294","MM","NN",0,0,"Graminoid",1,12
"Niwot Ridge LTER","SDL snowfence",1997,NA,21,"294","MM","NN",0,0,"Total",1,86.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,21,"294","MM","NN",0,0,"Forb",2,142.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,21,"294","MM","NN",0,0,"Graminoid",2,8.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,21,"294","MM","NN",0,0,"Total",2,151.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,22,"295","MM","NN",0,0,"Forb",1,139.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,22,"295","MM","NN",0,0,"Graminoid",1,48.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,22,"295","MM","NN",0,0,"Total",1,188.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,22,"295","MM","NN",0,0,"Forb",2,87.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,22,"295","MM","NN",0,0,"Graminoid",2,19.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,22,"295","MM","NN",0,0,"Total",2,107.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,23,"279","MM","NN",0,0,"Forb",1,52.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,23,"279","MM","NN",0,0,"Graminoid",1,50.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,23,"279","MM","NN",0,0,"Total",1,103.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,23,"279","MM","NN",0,0,"Forb",2,49.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,23,"279","MM","NN",0,0,"Graminoid",2,20.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,23,"279","MM","NN",0,0,"Total",2,69.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,24,"264","MM","NN",0,0,"Forb",1,92.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,24,"264","MM","NN",0,0,"Graminoid",1,15
"Niwot Ridge LTER","SDL snowfence",1997,NA,24,"264","MM","NN",0,0,"Total",1,107.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,24,"264","MM","NN",0,0,"Forb",2,91.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,24,"264","MM","NN",0,0,"Graminoid",2,0.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,24,"264","MM","NN",0,0,"Total",2,92
"Niwot Ridge LTER","SDL snowfence",1997,NA,25,"298","MM","NP",0,0,"Forb",1,155.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,25,"298","MM","NP",0,0,"Graminoid",1,184
"Niwot Ridge LTER","SDL snowfence",1997,NA,25,"298","MM","NP",0,0,"Total",1,339.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,25,"298","MM","NP",0,0,"Forb",2,127.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,25,"298","MM","NP",0,0,"Graminoid",2,53.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,25,"298","MM","NP",0,0,"Total",2,180.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,26,"281","MM","NP",0,0,"Forb",1,102.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,26,"281","MM","NP",0,0,"Graminoid",1,20.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,26,"281","MM","NP",0,0,"Total",1,122.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,26,"281","MM","NP",0,0,"Forb",2,10.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,26,"281","MM","NP",0,0,"Graminoid",2,237.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,26,"281","MM","NP",0,0,"Total",2,248.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,27,"403","MM","NP",0,0,"Forb",1,49.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,27,"403","MM","NP",0,0,"Graminoid",1,38.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,27,"403","MM","NP",0,0,"Total",1,88
"Niwot Ridge LTER","SDL snowfence",1997,NA,27,"403","MM","NP",0,0,"Forb",2,53.9
"Niwot Ridge LTER","SDL snowfence",1997,NA,27,"403","MM","NP",0,0,"Graminoid",2,30.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,27,"403","MM","NP",0,0,"Total",2,84.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,28,"293","MM","NP",0,0,"Forb",1,97.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,28,"293","MM","NP",0,0,"Graminoid",1,276.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,28,"293","MM","NP",0,0,"Total",1,374
"Niwot Ridge LTER","SDL snowfence",1997,NA,28,"293","MM","NP",0,0,"Forb",2,92.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,28,"293","MM","NP",0,0,"Graminoid",2,39.7
"Niwot Ridge LTER","SDL snowfence",1997,NA,28,"293","MM","NP",0,0,"Total",2,132.1
"Niwot Ridge LTER","SDL snowfence",1997,NA,29.5,"397","MM","PP",0,0,"Forb",1,147
"Niwot Ridge LTER","SDL snowfence",1997,NA,29.5,"397","MM","PP",0,0,"Graminoid",1,26.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,29.5,"397","MM","PP",0,0,"Total",1,173.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,29.5,"397","MM","PP",0,0,"Forb",2,157.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,29.5,"397","MM","PP",0,0,"Graminoid",2,54.5
"Niwot Ridge LTER","SDL snowfence",1997,NA,29.5,"397","MM","PP",0,0,"Total",2,212.3
"Niwot Ridge LTER","SDL snowfence",1997,NA,30,"283","MM","PP",0,0,"Forb",1,71.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,30,"283","MM","PP",0,0,"Graminoid",1,29.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,30,"283","MM","PP",0,0,"Total",1,101.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,30,"283","MM","PP",0,0,"Forb",2,81.2
"Niwot Ridge LTER","SDL snowfence",1997,NA,30,"283","MM","PP",0,0,"Graminoid",2,4.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,30,"283","MM","PP",0,0,"Total",2,85.8
"Niwot Ridge LTER","SDL snowfence",1997,NA,31,"280","MM","PP",0,0,"Forb",1,123.6
"Niwot Ridge LTER","SDL snowfence",1997,NA,31,"280","MM","PP",0,0,"Graminoid",1,6.4
"Niwot Ridge LTER","SDL snowfence",1997,NA,31,"280","MM","PP",0,0,"Total",1,130
